time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,gradient_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,8.534916201117317,8.534916201117317,0.11906619336941618,-1,56.344319167389415,2.01214223764093,,54.332176929748485,54.582176929748485,54.774501300954036,54.749945239523285,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.604314877732115
1.0,9.593861731843576,9.593861731843576,0.10253259205692485,-1,56.281239059214144,1.9632908475444424,,54.3179482116697,54.53957469584771,54.74508859850378,54.69500249056751,55.18147122180658,55.15389108062229,55.73498094097118,55.48148220649729,56.281239059214144,56.34913078455984
2.0,12.978351955307266,12.978351955307266,0.09496500595011735,-1,56.23375295552011,1.9195770823292762,,54.314175873190834,54.74827118281139,54.72766803651099,54.82307351887395,55.15900170131794,55.33025563952314,55.70339382187621,55.3539174485455,56.23375295552011,56.21991091016527
3.0,12.978351955307266,12.978351955307266,0.09253380058237931,-1,56.2045587619689,1.8784864334965832,,54.326072328472314,54.75211311103623,54.72681082065525,54.827927064264095,55.15340144780945,55.30973620728394,55.689172742336744,55.309883288358655,56.2045587619689,56.1625096709833
4.0,12.978351955307266,12.978351955307266,0.09173313178378287,-1,56.17732856443575,1.8385887496013211,,54.338739814834426,54.79093214752357,54.72725113310969,54.849489214842094,55.1490747433032,55.32430291412678,55.67636933092551,55.311575179348495,56.17732856443575,56.12823804889004
5.0,12.978351955307266,12.978351955307266,0.095546714361537,-1,56.15093525848231,1.7994227982368756,,54.35151246024544,54.716800250956254,54.72819634510986,54.819567301434205,55.14513238261988,55.2567396099464,55.663985389836995,55.43418090446114,56.15093525848231,56.156831812686946
6.0,12.978351955307266,12.978351955307266,0.09345512593012492,-1,56.12222739444218,1.759739694837279,,54.3624876996049,54.76801753937865,54.72742676301585,54.845124339989795,55.13906096211958,55.27681399989151,55.649195787711434,55.39571209910248,56.12222739444218,56.105280850947196
7.0,12.978351955307266,12.978351955307266,0.09446626797326094,-1,56.09523020053817,1.7211166182854925,,54.374113582252676,54.72721013558973,54.72776620362193,54.8269018462613,55.13408588097713,55.2345715408359,55.63563379982939,55.42976953984659,56.09523020053817,56.096577878399714
8.0,12.978351955307266,12.978351955307266,0.09596743861943718,-1,56.0678207522358,1.6827088365119494,,54.38511191572385,54.55704901131577,54.72771852688579,54.736195415032896,55.128516342876964,55.094567971005524,55.62140028430688,55.449553226136175,56.0678207522358,56.094653425712075
9.0,12.978351955307266,12.978351955307266,0.09554649036450545,-1,56.03966404570396,1.6443797427755413,,54.39528430292842,54.595074346772826,54.727042465073225,54.75548187749268,55.12208901553639,55.11228989484198,55.60620263968653,55.45199167558683,56.03966404570396,56.06686894364385
10.0,12.978351955307266,12.978351955307266,0.09259707163484335,-1,56.01206408753104,1.6066318844296248,,54.40543220310141,54.57545610867608,54.726652979584514,54.739278052457706,55.11585480437213,55.07004371803598,55.591225642053,55.38824419421984,56.01206408753104,56.00557675054341
11.0,12.994409916201121,12.994409916201121,0.09237727996038941,-1,55.98672780266662,1.5701176199036695,,54.41661018276295,54.73175574482745,54.72775386439545,54.838692377000406,55.111191740176736,55.17438704003883,55.57802044583795,55.41890404880884,55.98672780266662,55.982302075839414
12.0,12.99682960893855,12.99682960893855,0.08805681653549538,-1,55.96185252857072,1.5340985008590025,,54.427754027711714,54.70613271914799,54.7290908160795,54.816095201441264,55.106674439594755,55.11875770289553,55.564979660861866,55.33399099990403,55.96185252857072,55.90424452535315
13.0,13.013327513966484,13.013327513966484,0.08615194520879504,-1,55.940154775249916,1.4996357207766522,,54.44051905447326,54.712898533217896,54.732568810371255,54.81802076686323,55.10448312772466,55.1024520406426,55.55456078076143,55.30452912024791,55.940154775249916,55.86031181033444
14.0,12.978351955307266,12.978351955307266,0.08688734423898271,-1,55.9200358302761,1.4660724827741731,,54.453963347501926,54.684782242649234,54.73707608589147,54.79628444068295,55.10335468153894,55.08108867320053,55.5453396454969,55.31289262603378,55.9200358302761,55.852841938376194
15.0,12.978351955307266,12.978351955307266,0.0828021006605606,-1,55.89950038874835,1.4327060959872568,,54.466794292761094,54.73377943759316,54.741140924815156,54.82850421383496,55.10165216278027,55.07801823478996,55.53550488492425,55.26139791222872,55.89950038874835,55.78056893538004
16.0,12.978351955307266,12.978351955307266,0.08164372664077585,-1,55.88193860373478,1.4007806181784375,,54.481157985556344,54.69738574010333,54.74720519187864,54.794358662858926,55.102136929378325,55.040660253305184,55.528140833401025,55.23686421957768,55.88193860373478,55.749192942451764
17.0,12.978351955307266,12.978351955307266,0.08756563552739532,-1,55.86535759617818,1.3695152239245516,,54.49584237225363,54.73179873044204,54.75385847119521,54.831956520471714,55.10321392146885,55.09587808916323,55.521458580223786,55.33059802621674,55.86535759617818,55.81385150289467
18.0,13.01662709497207,13.01662709497207,0.08546987572893136,-1,55.84497256765092,1.337072531957709,,54.50790003569321,54.84140459784007,54.75770035719636,54.926567983972454,55.101030806134844,55.14126293377312,55.51113926127774,55.32954438024451,55.84497256765092,55.76917271516551
19.0,12.978351955307266,12.978351955307266,0.08172492727280509,-1,55.826353012218014,1.3055300723142196,,54.520822939903795,54.78687713718185,54.762724577167496,54.86430864630217,55.10010607259062,55.07864190917974,55.5022349336826,55.26625833715074,55.826353012218014,55.703175058772594
20.0,12.978351955307266,12.978351955307266,0.0868301945421823,-1,55.81030242194837,1.2752951911803265,,54.535007230768045,54.80649649035616,54.76941949701117,54.890297045758174,55.101038785616396,55.118312573096276,55.49545392738077,55.332985348963454,55.81030242194837,55.75775965859214
21.0,12.978351955307266,12.978351955307266,0.08768380365123377,-1,55.79099370334804,1.2440830225995754,,54.54691068074847,54.756049221609395,54.77368090184743,54.83634393907962,55.09916005683598,55.09018310154956,55.48554684908691,55.32731597640754,55.79099370334804,55.7539541725953
22.0,12.978351955307266,12.978351955307266,0.08946698739146876,-1,55.77130094866377,1.2129913997469544,,54.55830954891682,54.729100628806236,54.777549173669534,54.80800812951776,55.0967894936453,55.081449878278846,55.47511568742009,55.33736124284901,55.77130094866377,55.762750780594885
23.0,12.978351955307266,12.978351955307266,0.0846756744146433,-1,55.75059800020286,1.1817806378822624,,54.568817362320594,54.65148080815009,54.78057521052872,54.708658785665826,55.09342350159949,55.003948141407946,55.4635983052408,55.26182369692639,55.75059800020286,55.682783985754554
24.0,12.978351955307266,12.978351955307266,0.08726342757863755,-1,55.733306779649794,1.152119453953432,,54.58118732569636,54.68461111511399,54.78591367102387,54.749953463958846,55.09264137601058,55.032828054535074,55.45500421496141,55.29487999955273,55.733306779649794,55.703859151539945
25.0,12.978351955307266,12.978351955307266,0.09201598862072968,-1,55.714451320464654,1.122115768504429,,54.592335551960225,54.65818855805468,54.790014490740724,54.726832535577444,55.09042542436257,55.04299650771358,55.44483597715134,55.331470441644434,55.714451320464654,55.75367751830157
26.0,12.978351955307266,12.978351955307266,0.09311870590546034,-1,55.69258288293052,1.0912272203189133,,54.60135566261161,54.616354861727785,54.791836697772204,54.67632797093157,55.085602066703444,55.02241192665134,55.43178262153925,55.326231727635474,55.69258288293052,55.75331101275105
27.0,12.978351955307266,12.978351955307266,0.0920899795295125,-1,55.67016275809791,1.0603853077984553,,54.609777450299454,54.58648892596118,54.793134594207366,54.6349521023589,55.08016274244671,54.99538200365989,55.41807496907444,55.30381893069446,55.67016275809791,55.72423253480544
28.0,12.978351955307266,12.978351955307266,0.08911677923522104,-1,55.648620558595084,1.0301237017598979,,54.618496856835186,54.65512612212475,54.79493039727057,54.714767179160596,55.07526857585977,55.00759193453137,55.405013219602864,55.29082982374523,55.648620558595084,55.66954133813837
