controller,mean_maximum_hotspot_C,mean_maximum_hotspot_after_60s_C,worst_maximum_hotspot_C,mean_hotspot_violation_rmse_C,mean_maximum_gradient_C,mean_gradient_C,mean_gradient_rmse_C,mean_temperature_tracking_rmse_C,mean_fan_energy_proxy_duty2_h,total_direction_switches,mean_hotspot_estimation_rmse_C
FiveNodeMean-PI-SMC,60.146802318618846,60.016323045366434,82.50611415693932,2.0698034166306263,2.01214223764093,0.4124951507028886,0.5224501519302699,1.8912296552124943,0.00411425886263338,136,0.10568077150567591
Hotspot-MPC,60.01168136596038,59.09367561793853,82.01585455738616,1.7282023694491053,2.01214223764093,0.12433407096460374,0.23856797210533626,2.166758973753323,0.004678879960317461,654,0.06977360714109997
Original-PI-SMC,60.21712187098514,60.06237485237973,82.47768400704558,2.1078833150740066,2.01214223764093,0.4137975446845168,0.5243946352356461,1.9229147125834918,0.004087206477456395,136,0.10539249030459606
