time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,gradient_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.1,-1,56.344319167389415,2.01214223764093,85.33854556031898,54.332176929748485,54.582176929748485,54.774501300954036,54.79727981044087,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.49299298361138
1.0,7.106564245810056,7.106564245810056,0.2,-1,56.286521367360905,1.9684722961101357,37.51009925061599,54.31804907125077,54.51388845375883,54.7464596788961,54.70699814150482,55.18411252301017,55.13382401045833,55.73894274564635,55.64753379115497,56.286521367360905,56.46774833135108
2.0,9.613594040968344,9.613594040968344,0.30000000000000004,-1,56.16344608743516,1.8983091224778192,19.639804029686985,54.26513696495734,54.504595539974176,54.6734117137362,54.668996540619496,55.09953004719126,55.091263309295265,55.63850729724947,55.46740672143949,56.16344608743516,56.28137769931156
3.0,9.613594040968344,9.613594040968344,0.2,-1,55.982127659785014,1.8022231513384668,14.725055671871656,54.17990450844655,54.415000059532574,54.56201378662974,54.56166541130842,54.96980894005607,54.93959815576568,55.486089523897675,55.04701847566501,55.982127659785014,55.95280235506388
4.0,9.613594040968344,9.613594040968344,0.30000000000000004,-1,55.87019129069306,1.7343862054695194,14.676962102015217,54.13580508522354,54.26621470329519,54.499008295710986,54.455399326004816,54.89498655851069,54.77752217609162,55.395511150286126,55.05058358836024,55.87019129069306,55.87562889593673
5.0,9.613594040968344,9.613594040968344,0.2,-1,55.69160753154192,1.6409312177300421,8.905713948032595,54.05067631381188,54.36287756319717,54.38899144455921,54.434661012426986,54.76646184794239,54.80034589273142,55.244483056613696,54.857979009467385,55.69160753154192,55.65668014602065
6.0,9.613594040968344,9.613594040968344,0.2,-1,55.58173519837743,1.5753147972341282,8.426460457953823,54.0064204011433,54.26138834567012,54.326958500144094,54.35146292546832,54.69239283822535,54.679990710515135,55.15477966496432,54.80319148502506,55.58173519837743,55.554490466339004
7.0,9.613594040968344,9.613594040968344,0.2,-1,55.472670941443724,1.5106055095319917,7.042136565223381,53.96206543191173,54.2343505250204,54.26528928307783,54.303068943730715,54.61858672894675,54.60067500435432,55.065391739783664,54.63277775314728,55.472670941443724,55.389993328662605
8.0,9.613594040968344,9.613594040968344,0.2,-1,55.3644032242346,1.4467837510618864,7.240120578289591,53.917619473172714,54.10594848965142,54.20397302307358,54.20194185470654,54.545044942586344,54.47283727258287,54.97632517464756,54.61042042664207,55.3644032242346,55.312455301504336
9.0,9.613594040968344,9.613594040968344,0.2,-1,55.25692084545909,1.383830597998326,7.062361818062226,53.873090247460766,53.98084738379072,54.14299950469434,54.09586653241585,54.47176876820032,54.32037638688506,54.88758547782289,54.456861069707635,55.25692084545909,55.16248864986125
10.0,9.613594040968344,9.613594040968344,0.2,-1,55.150212925779314,1.321727776742307,6.75802087359454,53.82848514903701,53.97703924015579,54.08235903892081,54.06795406710857,54.398759369161674,54.31236520001911,54.79917778988974,54.50685998325557,55.150212925779314,55.12646230339082
11.0,9.625488826815644,9.625488826815644,0.2,-1,55.04426889511216,1.2604576357784865,6.345082378747086,53.783811259333675,53.91599557186112,54.02204243616834,53.997219185534355,54.32601779043584,54.204339475179964,54.71110690061877,54.35034733489292,55.04426889511216,54.96466515378045
12.0,9.627281191806333,9.627281191806333,0.2,-1,54.93912203788243,1.2000031188351272,6.176151456480981,53.7391189190473,53.906934790002374,53.96208453808955,53.97202410605293,54.2535885228319,54.197383189336875,54.623420822544226,54.39512457359588,54.93912203788243,54.93949310401779
13.0,9.639501862197395,9.639501862197395,0.2,-1,54.834725184524,1.1403477392853745,6.090331247981568,53.69437744523862,53.79472398522768,53.90243989641179,53.86192697839521,54.181435212575835,54.05923247061413,54.53608650958067,54.246919139762554,54.834725184524,54.78860242390176
14.0,9.613594040968344,9.613594040968344,0.1,-1,54.731106792781155,1.0814755557316431,5.89194782749136,53.64963123704951,53.75221000218886,53.843138842316314,53.81156946245037,54.10959675980533,54.010457195427826,54.4491459642847,54.22012965598141,54.731106792781155,54.72417395618866
15.0,9.613594040968344,9.613594040968344,0.1,-1,54.69312729061198,1.0485258648182523,5.289344558820274,53.64460142579373,53.74760752385002,53.83001083998615,53.80185337273404,54.09019088417932,53.99139855751825,54.421158749142116,54.197468123667996,54.69312729061198,54.68111474462863
16.0,9.613594040968344,9.613594040968344,0.1,-1,54.65539425087365,1.0159443207523324,4.517069668278573,53.639449930121316,53.75302394060467,53.81694134940175,53.80041427610586,54.07078954912984,53.97579243408818,54.39320934528564,54.17051457365811,54.65539425087365,54.6321698641835
17.0,9.613594040968344,9.613594040968344,0.1,-1,54.617903720976734,0.9837237490452537,2.590698275329014,53.63417997193148,53.80651512326768,53.803926407878386,53.834526431664536,54.051394178477196,53.951576914270184,54.36530054924275,54.07580800107082,54.617903720976734,54.5033332008046
18.0,9.641945996275608,9.641945996275608,0.1,-1,54.58065186754005,0.9518572192245642,2.5371231430220975,53.628794648315484,53.81743763985206,53.79096226740866,53.84539338629646,54.03200612712197,53.96397623963297,54.33743501829145,54.10183107505265,54.58065186754005,54.508155723192935
19.0,9.613594040968344,9.613594040968344,0.1,-1,54.54373881495189,0.9203380345011496,2.719039385181657,53.62340078045074,53.73917867903687,53.778149227038654,53.75963844275963,54.01273052774846,53.89269890100926,54.30971911921039,54.042337295676724,54.54373881495189,54.447237623365446
