time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,gradient_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.0180866645426542,-1,56.344319167389415,2.01214223764093,,54.332176929748485,54.582176929748485,54.774501300954036,54.841453360850785,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,55.92248311066194
1.0,7.106564245810056,7.106564245810056,0.024537863684042788,-1,56.34264312889749,1.9907331494589258,,54.35190997943857,54.621310759080174,54.78577778671476,54.98100679888853,55.2288878304597,55.250515673457116,55.789391280139405,55.6893324352313,56.34264312889749,56.08635315272597
2.0,9.613594040968344,9.613594040968344,0.029025881541732444,-1,56.33944014061026,1.9678929828788299,,54.37154715773143,54.645615537851754,54.79682327822806,55.003398337239,55.24007121418118,55.27081289823355,55.79683345875646,55.75534174937722,56.33944014061026,56.22281433926577
3.0,9.613594040968344,9.613594040968344,0.026152144309444243,-1,56.34231095277737,1.9441650089433224,,54.398145943834045,54.568316461702146,54.81482158947024,54.888843545454435,55.25770154457136,55.19492869508688,55.81036483307767,55.772585158365324,56.34231095277737,56.2413630386891
4.0,9.613594040968344,9.613594040968344,0.021077079979459356,-1,56.347323546332966,1.9215444921932487,,54.42577905413972,54.50592686616188,54.83432546393255,54.82589342358961,55.27683302512543,55.12689163602384,55.82555187553182,55.68222195871328,56.347323546332966,56.149537503529785
5.0,9.613594040968344,9.613594040968344,0.019459311202591954,-1,56.35597758586508,1.9006061187678114,,54.455371467097265,54.441422630471145,54.856388085539294,54.777113106255584,55.29867586436188,55.070182755177086,55.8437587784965,55.69945064245391,56.35597758586508,56.16724382774071
6.0,9.613594040968344,9.613594040968344,0.023659408839332326,-1,56.365893139248364,1.8803931163933,,54.485500022855064,54.5420896911318,54.87933991216083,54.846694271834245,55.321339938336145,55.15591296448327,55.86285897132651,55.70632017752656,56.365893139248364,56.16401949197008
7.0,9.613594040968344,9.613594040968344,0.02577421065088743,-1,56.3730755405923,1.8593274862972535,,54.51374805429505,54.51220077141466,54.90036945087249,54.83237975647644,55.34163540843496,55.14684006517414,55.879264761594975,55.803944078034725,56.3730755405923,56.233563161639104
8.0,9.613594040968344,9.613594040968344,0.027898801769284727,-1,56.37895527889661,1.8379745330860757,,54.540980745810536,54.4356617573592,54.92047367595641,54.79119639794439,55.36070705752184,55.117234874853416,55.89426775208352,55.95463407167157,56.37895527889661,56.34245081743559
9.0,9.613594040968344,9.613594040968344,0.02606756285462066,-1,56.38352412610295,1.8163306251094014,,54.56719350099355,54.33155695892067,54.93964011512769,54.73128648615665,55.37855033916037,55.049414249778884,55.907865806838494,55.99073948739417,56.38352412610295,56.38165622234783
10.0,9.613594040968344,9.613594040968344,0.032143414355131066,-1,56.389494500155635,1.7954532505951093,,54.594041249560526,54.51769199935319,54.95977438489638,54.844378761105816,55.397342384984505,55.186075653138445,55.92251013356533,55.96584216351829,56.389494500155635,56.35000851110616
11.0,9.625488826815644,9.625488826815644,0.03814605609262267,-1,56.391435019435534,1.773217378614504,,54.61821764082103,54.67071689409977,54.97704454357017,54.940511112249304,55.4127328720896,55.30109144730448,55.93331132399139,55.97722546132737,56.391435019435534,56.34120072434311
12.0,9.627281191806333,9.627281191806333,0.04721173778667592,-1,56.389444293371504,1.7496553839219544,,54.63978890944955,54.75654293278961,54.991521011368214,55.00314818837489,55.424805110634445,55.418554838877675,55.94036175785335,56.161867803462506,56.389444293371504,56.45633110358595
13.0,9.639501862197395,9.639501862197395,0.05372400350224825,-1,56.3813899396752,1.7239654345690312,,54.65742450510617,54.850491477101905,55.00167476498627,55.0689803770376,55.431834624578705,55.51100212697025,55.94173225635941,56.245884750243455,56.3813899396752,56.50233249052514
14.0,9.613594040968344,9.613594040968344,0.057300057530896176,-1,56.36907611363343,1.69684998300108,,54.67222613063235,54.91461559633162,55.0087763344005,55.113880619406686,55.435270025127096,55.560028681742715,55.93905084636266,56.262686250907706,56.36907611363343,56.5041901782292
15.0,9.613594040968344,9.613594040968344,0.054165348946550354,-1,56.35438769454211,1.6691029825263612,,54.68528471201575,54.80863382172482,55.01410618758242,55.04104255526856,55.43659466510201,55.48811417082968,55.934005338069085,56.23703208768352,56.35438769454211,56.5016102956927
16.0,9.613594040968344,9.613594040968344,0.05039724865457693,-1,56.34202403136031,1.6425038461735397,,54.69952018518677,54.74097901197418,55.02101141439357,54.98856254012965,55.439607336316456,55.42021980411288,55.93085349569573,56.1585947561747,56.34202403136031,56.45207167802306
17.0,9.613594040968344,9.613594040968344,0.0532126660289054,-1,56.33240741500371,1.617200969131133,,54.715206445872575,54.76641666185276,55.02979373301537,55.00990648902723,55.44465716802817,55.452283974017156,55.929988395652394,56.190977615784,56.33240741500371,56.47475765802661
18.0,9.641945996275608,9.641945996275608,0.052816931632937325,-1,56.32101660159044,1.5914414794315306,,54.72957512215891,54.85292384873314,55.037251447025604,55.06529867914287,55.448112818859656,55.45200854310196,55.92733466758486,56.07833893700584,56.32101660159044,56.360644269097214
