time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,gradient_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.1,-1,56.344319167389415,2.01214223764093,101.49551912758156,54.332176929748485,54.582176929748485,54.774501300954036,54.749945239523285,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.604314877732115
1.0,7.106564245810056,7.106564245810056,0.2,-1,56.297381259945354,1.9684722961101357,29.45897398708452,54.32890896383522,54.54428347998389,54.75731957148056,54.702271497980256,55.19497241559463,55.16103612151062,55.749802638230804,55.48980971137222,56.297381259945354,56.360354983396846
2.0,9.613594040968344,9.613594040968344,0.30000000000000004,-1,56.19597860861747,1.8983091224778192,16.463850865682417,54.297669486139654,54.721519392748704,54.70594423491852,54.786447773407694,55.13206256837357,55.293512297501536,55.67103981843179,55.312780796028854,56.19597860861747,56.16739104766067
3.0,9.613594040968344,9.613594040968344,0.2,-1,56.0470279315222,1.8022231513384739,12.187503504137439,54.24480478018373,54.665882398176194,54.62691405836693,54.70053761373194,55.03470921179325,55.187772868273406,55.55098979563486,55.17291435834366,56.0470279315222,55.97755766793667
4.0,9.613594040968344,9.613594040968344,0.2,-1,55.956529462589174,1.7343862054695336,10.079622196484308,54.22214325711964,54.688832529518265,54.5853464676071,54.67928768224836,54.98132473040679,55.17368516570195,55.48184932218224,55.14250796337603,55.956529462589174,55.87875461038124
5.0,9.613594040968344,9.613594040968344,0.2,-1,55.866774229016634,1.6675040417356755,10.131585373568058,54.19927018728096,54.59908413064035,54.544075631205594,54.60717189357245,54.928107534475544,55.07778296631133,55.41291731541422,55.231741398414286,55.866774229016634,55.84319715749749
6.0,9.613594040968344,9.613594040968344,0.2,-1,55.77775026202521,1.6015554121991116,8.276174240673594,54.176194849826096,54.63141741116433,54.503089831241525,54.59269936938402,54.8750597219733,55.067890966445766,55.344200988748106,55.163344396041104,55.77775026202521,55.731230254480735
7.0,9.613594040968344,9.613594040968344,0.2,-1,55.68944595895666,1.5365198199335097,7.748639659126219,54.15292613902315,54.56916012917634,54.4623779710812,54.53388055137791,54.82218323877298,54.99286798490279,55.275707125574,55.16201036744912,55.68944595895666,55.66124744596598
8.0,9.613594040968344,9.613594040968344,0.2,-1,55.60185006863468,1.4723774862137589,8.15891436651807,54.129472582420924,54.37776717282093,54.421929543508,54.40352236800418,54.769479887433576,54.82013795520664,55.207442098734994,55.14403309715445,55.60185006863468,55.599245701348536
9.0,9.613594040968344,9.613594040968344,0.2,-1,55.51495167734856,1.409109319227987,7.16941628217351,54.105842358120576,54.38671948411001,54.381734600477586,54.38353306497,54.716951335457686,54.799227077204215,55.13941188918803,55.107047799624254,55.51495167734856,55.512928722528905
10.0,9.613594040968344,9.613594040968344,0.2,-1,55.42874019543348,1.3466968842402522,6.452715604584653,54.082043311193225,54.33682134356047,54.341783724414746,54.328049693829854,54.664599123052454,54.717610223574454,55.071622103877466,55.00287059670353,55.42874019543348,55.3933535240085
11.0,9.625488826815644,9.625488826815644,0.1,-1,55.34320534442204,1.285122375135579,5.761194561485848,54.05808296928646,54.453636145911375,54.302068000972376,54.38631334510242,54.61242467042475,54.774370712342105,55.00407799285205,54.98574943743865,55.34320534442204,55.31003178995074
12.0,9.627281191806333,9.627281191806333,0.1,-1,55.31385999392371,1.2499656199000384,4.670158413440317,54.06389437402367,54.42850728829519,54.298736183594606,54.365723755690794,54.60296200668213,54.72244523008747,54.985869293907164,54.90762991121132,55.31385999392371,55.23427496519592
13.0,9.639501862197395,9.639501862197395,0.1,-1,55.28476755532102,1.2152176988283045,3.970630279523633,54.06954985649271,54.42852297558346,54.295467585416986,54.36476677137859,54.59348361819254,54.70159636769784,54.96766754812586,54.87474349398572,55.28476755532102,55.186956391325324
14.0,9.613594040968344,9.613594040968344,0.1,-1,55.255961644247684,1.180870098946535,4.1952382841375115,54.07509154530115,54.39161107573334,54.292295379500914,54.33762123216504,54.58402940240514,54.67208276107864,54.94951459821558,54.87373899249961,55.255961644247684,55.17313838129803
15.0,9.613594040968344,9.613594040968344,0.1,-1,55.227298100970515,1.1469146074679912,2.9196203932961358,54.080383493502524,54.42787646803033,54.28907508668661,54.36373300742746,54.57446125453053,54.65929160147227,54.931274192002356,54.813723589384615,55.227298100970515,55.09418176012934
16.0,9.613594040968344,9.613594040968344,0.1,-1,55.198867730106144,1.1133432989626044,2.9487056810173913,54.08552443114354,54.37922102720553,54.28589730760204,54.32105309262361,54.564875817207955,54.6100410945756,54.91304473483676,54.77581398592792,55.198867730106144,55.05274807759257
17.0,9.613594040968344,9.613594040968344,0.1,-1,55.170666382969166,1.0801485230990906,3.2563780972824143,54.090517859870076,54.398268593290524,54.282757797738206,54.349046388636026,54.55527457232964,54.6490250673047,54.89482938414277,54.85042067191447,55.170666382969166,55.106079595529984
18.0,9.641945996275608,9.641945996275608,0.1,-1,55.14269003965703,1.0473228929339484,2.0706968204490046,54.095367146723085,54.49189394689624,54.27965254267169,54.43660805131857,54.5456589321514,54.681778789049886,54.876631143232125,54.836928718956884,55.14269003965703,55.05400995795676
19.0,9.613594040968344,9.613594040968344,0.1,-1,55.11503863828887,1.0148592737226494,2.0482762116203084,54.10017936456622,54.4256178483682,54.276681580828765,54.36638917353408,54.536134077129105,54.60822979745921,54.858556701818294,54.76149864864432,55.11503863828887,54.9791081409049
20.0,9.613594040968344,9.613594040968344,0.1,-1,55.08750050774721,0.9827507722296147,2.215457519723617,54.10474973551759,54.429856414579795,54.27363343011824,54.382421022651094,54.52649339685129,54.63149069588349,54.84040087959517,54.809116092201336,55.08750050774721,55.02209099297918
21.0,9.613594040968344,9.613594040968344,0.1,-1,55.06017604629616,0.950990726514398,2.6087734428886007,54.10918531978176,54.36805882660098,54.27060876078628,54.321057223868586,54.516842176461786,54.59154714086524,54.822270315270096,54.78964459069699,55.06017604629616,55.01017887123514
22.0,9.613594040968344,9.613594040968344,0.1,-1,55.03306170190566,0.9195726961728354,2.9603725420960854,54.11348900573282,54.32931547621191,54.26760437030338,54.28564844129169,54.50718158442099,54.57075764731965,54.80416745689589,54.78575612608647,55.03306170190566,55.01141382650576
23.0,9.613594040968344,9.613594040968344,0.1,-1,55.00615402862136,0.8884904530124942,3.134999404741326,54.117663575608866,54.24174779829855,54.26461723460491,54.18016729435122,54.497512735963696,54.48412161434255,54.78609462785663,54.70003791189717,55.00615402862136,54.925182641009286
24.0,9.613594040968344,9.613594040968344,0.1,-1,54.979449682551355,0.857737972143056,2.942309202357959,54.1217117104083,54.259950411147386,54.261644499239296,54.212829592290085,54.48783669584187,54.4982716135883,54.76805403209259,54.71654048522497,54.979449682551355,54.93665791165279
25.0,9.613594040968344,9.613594040968344,0.1,-1,54.95294541801309,0.8273094234628289,3.778270224216941,54.12563599455026,54.22162531054536,54.25868347095089,54.18238662238571,54.478154480912096,54.49524092614315,54.75004775912173,54.73787584118985,54.95294541801309,54.97861145517117
26.0,9.613594040968344,9.613594040968344,0.1,-1,54.92663808383415,0.7971991635237146,4.45400964377669,54.129438920310434,54.170074883720744,54.255731609675955,54.12687032030292,54.46846706257685,54.464888280013774,54.732077788864835,54.72152332785359,54.92663808383415,54.97363699475646
27.0,9.613594040968344,9.613594040968344,0.1,-1,54.90052461980083,0.7674017277574734,4.6278613779400155,54.13312289204335,54.130457873731515,54.252786520931174,54.080999806681255,54.45877536908837,54.42895519993167,54.714145996281395,54.68919106623719,54.90052461980083,54.9407152839266
28.0,9.613594040968344,9.613594040968344,0.1,-1,54.8746020532486,0.7379118230471491,2.9991408432149718,54.13669023020145,54.18603931195444,54.2498459485753,54.155716524687755,54.449080287723156,54.43127962908421,54.69625415582293,54.665548689145865,54.8746020532486,54.881493728902626
29.0,9.613594040968344,9.613594040968344,0.1,-1,54.848867495788966,0.7087243206280718,1.8052690124323434,54.140143175160894,54.271994775050096,54.24690776792537,54.27616299067988,54.439382666834796,54.45870353037034,54.67840394571036,54.66428330150356,54.848867495788966,54.845432641739976
