time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,gradient_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.11080430266728288,-1,56.344319167389415,2.01214223764093,,54.332176929748485,54.582176929748485,54.774501300954036,54.79727981044087,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.49299298361138
1.0,7.106564245810056,7.106564245810056,0.11061802494621274,-1,56.27911895242472,1.965536107565626,,54.31358284485909,54.50936759617409,54.74127365228876,54.70182080136923,55.178206696187175,55.127922678854965,55.73228862476675,55.640921929819285,56.27911895242472,56.460323820756784
2.0,9.613594040968344,9.613594040968344,0.10352369318234282,-1,56.217200303609474,1.9196098164690838,,54.29759048714039,54.537480398083865,54.71108672668137,54.70667580629249,55.14243222562031,55.13416321283584,55.68683663321297,55.51527705590576,56.217200303609474,56.335234486075855
3.0,9.613594040968344,9.613594040968344,0.0910369040695884,-1,56.16951324003058,1.8762102422746167,,54.293302997755966,54.52985819918599,54.69348078339116,54.69312899037127,55.11951494773818,55.08914552491948,55.65470919985904,55.212250978006125,56.16951324003058,56.14001328092591
4.0,9.613594040968344,9.613594040968344,0.09245506242305188,-1,56.13069618481235,1.8367382453419623,,54.29395793947039,54.42531354558629,54.68201729548063,54.63826443402934,55.10338435034103,54.98478889334626,55.63020605684456,55.282072837179506,56.13069618481235,56.13609289117161
5.0,9.613594040968344,9.613594040968344,0.08822098522770651,-1,56.091225470158626,1.797397638977131,,54.293827831181495,54.610940811507035,54.67002074328045,54.71592768909714,55.086453175180495,55.121541543419255,55.60478515187974,55.21272118710239,56.091225470158626,56.05609266707623
6.0,9.613594040968344,9.613594040968344,0.08768403792127047,-1,56.05494197021789,1.7596918202442566,,54.29525014997363,54.55434243519328,54.66018463116033,54.684836537477935,55.07180012343956,55.05944407603641,55.58191561947012,55.224780949463664,56.05494197021789,56.027524144500745
7.0,9.613594040968344,9.613594040968344,0.08244993377563903,-1,56.01931239391658,1.7226057151975311,,54.29670667871905,54.57401316495275,54.65072934941927,54.688710334129496,55.05741120928495,55.03929058608177,55.559333055416595,55.11823660521482,56.01931239391658,55.93624255941541
8.0,9.613594040968344,9.613594040968344,0.08378113649181586,-1,55.98751367680389,1.687372538135449,,54.300141138668444,54.49151173531475,54.643888345898645,54.64188223221069,55.0458391681074,54.97173538123603,55.53991232697469,55.166884171646466,55.98751367680389,55.93526679093743
9.0,9.613594040968344,9.613594040968344,0.0796087230526779,-1,55.95507308219629,1.6522214652547262,,54.30285161694157,54.41158541807342,54.636515281363096,54.5891746799418,55.03351400996916,54.87760467367643,55.51963921078449,55.07883953840368,55.95507308219629,55.86015422415884
10.0,9.613594040968344,9.613594040968344,0.08398617004509171,-1,55.92571438052302,1.6186004291035871,,54.30711395141943,54.458609263223835,54.631229987077354,54.616770871061654,55.02342625716432,54.934878010738075,55.50187984427606,55.20415415468497,55.92571438052302,55.90176100941046
11.0,9.625488826815644,9.625488826815644,0.07879506103169223,-1,55.893637250984504,1.5842320136528727,,54.30940523733163,54.44445607271611,54.62394407967703,54.59900669526699,55.010934496924556,54.88561613890978,55.48141731303791,55.111554563140906,55.893637250984504,55.81359922722952
12.0,9.627281191806333,9.627281191806333,0.0838769206927847,-1,55.86535839573349,1.551636210864153,,54.313722184869334,54.48626952627638,54.61926141311184,54.62928254204649,55.001278081066175,54.94422804434457,55.46413927203366,55.23218415520718,55.86535839573349,55.86563780429451
13.0,9.639501862197395,9.639501862197395,0.07937346550798213,-1,55.83388594823406,1.518093863805582,,54.31579208442848,54.41825667501651,54.61223718046027,54.5715461878,54.988847294732274,54.86264227589156,55.44374708637401,55.14716612442214,55.83388594823406,55.78747127533586
