cell_group,flow_row,in_plane_column,purpose,measured_C,predicted_C,error_C
1,1,1,validation,51.90476190476191,47.76026948323832,-4.144492421523594
1,1,2,validation,52.35119047619048,49.03982587750369,-3.3113645986867937
1,1,3,validation,49.523809523809526,49.487978627904624,-0.03583089590490118
1,1,4,validation,53.69047619047619,49.56360002228013,-4.126876168196063
1,1,5,validation,52.35119047619048,48.526395902039695,-3.8247945741507863
1,2,1,validation,55.32738095238095,51.29439610380416,-4.032984848576788
1,2,2,validation,55.55059523809524,52.68160531375014,-2.868989924345101
1,2,3,validation,57.85714285714286,53.190887615987705,-4.666255241155156
1,2,4,validation,58.67559523809524,53.26237477440631,-5.41322046368893
1,2,5,validation,56.59226190476191,52.148596584611724,-4.443665320150188
1,3,1,validation,55.55059523809524,54.182098750278364,-1.368496487816877
1,3,2,validation,58.30357142857143,55.63711470943325,-2.666456719138182
1,3,3,validation,59.19642857142857,56.18653818273774,-3.0098903886908275
1,3,4,validation,60.08928571428572,56.261130561760666,-3.8281551525250563
1,3,5,validation,59.79166666666666,55.10386341746641,-4.68780324920025
2,1,1,calibration,52.5,52.5653393900002,0.06533939000019728
2,1,2,calibration,52.648809523809526,53.92115188800476,1.2723423641952323
2,1,3,calibration,56.81547619047619,54.41440282620459,-2.4010733642716033
2,1,4,calibration,53.76488095238095,54.48200163056946,0.7171206781885076
2,1,5,calibration,51.532738095238095,53.389965185398424,1.857227090160329
2,2,1,calibration,57.708333333333336,56.90341217676699,-0.8049211565663441
2,2,2,calibration,58.15476190476191,58.37046586573606,0.21570396097414601
2,2,3,calibration,59.642857142857146,58.92707357321554,-0.7157835696416086
2,2,4,calibration,60.08928571428572,58.992760484306494,-1.0965252299792283
2,2,5,calibration,58.37797619047619,57.82336503942686,-0.554611151049329
2,3,1,calibration,58.52678571428572,60.338996762211856,1.8122110479261337
2,3,2,calibration,60.833333333333336,61.86930013030148,1.0359667969681468
2,3,3,calibration,61.57738095238095,62.46366925900117,0.886288306620223
2,3,4,calibration,62.32142857142857,62.536255128347825,0.214826556919256
2,3,5,calibration,60.907738095238095,61.32906912886866,0.42133103363056534
3,1,1,final_confirmation,55.02976190476191,55.50940236097531,0.4796404562133958
3,1,2,final_confirmation,53.83928571428572,56.907520624576094,3.0682349102903714
3,1,3,final_confirmation,56.36904761904762,57.425392727810035,1.0563451087624145
3,1,4,final_confirmation,55.625,57.48806603002322,1.8630660300232194
3,1,5,final_confirmation,56.29464285714286,56.36515401162532,0.07051115448246037
3,2,1,final_confirmation,57.93154761904762,60.30367054082673,2.372122921779109
3,2,2,final_confirmation,59.86607142857143,61.813371209412644,1.9472997808412131
3,2,3,final_confirmation,60.16369047619048,62.39476225127702,2.2310717750865408
3,2,4,final_confirmation,61.35416666666666,62.45726205977216,1.1030953931055052
3,2,5,final_confirmation,60.08928571428572,61.257892649277274,1.1686069349915513
3,3,1,final_confirmation,59.41964285714285,64.0294314436143,4.609788586471453
3,3,2,final_confirmation,61.80059523809524,65.59848834862841,3.797893110533167
3,3,3,final_confirmation,62.32142857142857,66.21542196648477,3.8939933950561993
3,3,4,final_confirmation,62.91666666666666,66.28725436163792,3.370587694971263
3,3,5,final_confirmation,61.57738095238095,65.05428747261563,3.476906520234678
4,1,1,calibration,50.71428571428572,53.110941662925775,2.3966559486400527
4,1,2,calibration,51.458333333333336,54.474811284384856,3.0164779510515203
4,1,3,calibration,53.98809523809524,54.972773983763844,0.984678745668603
4,1,4,calibration,57.11309523809524,55.03945378784839,-2.0736414502468534
4,1,5,calibration,55.55059523809524,53.94155891995304,-1.609036318142202
4,2,1,calibration,58.60119047619048,57.53570258161185,-1.0654878945786308
4,2,2,calibration,60.61011904761905,59.0109743797581,-1.5991446678609478
4,2,3,calibration,60.68452380952381,59.57238651959196,-1.1121372899318516
4,2,4,calibration,61.205357142857146,59.63745495283839,-1.5679021900187564
4,2,5,calibration,60.98214285714285,58.46229405754308,-2.519848799599764
4,3,1,calibration,60.08928571428572,61.027679376734305,0.9383936624485827
4,3,2,calibration,62.54464285714285,62.56553342785483,0.02089057071198397
4,3,3,calibration,62.61904761904762,63.16433262600687,0.5452850069592472
4,3,4,calibration,62.32142857142857,63.23674605549583,0.9153174840672591
4,3,5,calibration,62.098214285714285,62.024537226926746,-0.07367705878753839
5,1,1,validation,48.333333333333336,48.39003004394796,0.05669671061462367
5,1,2,validation,49.523809523809526,49.680090955195325,0.15628143138579986
5,1,3,validation,50.41666666666666,50.1344962734075,-0.2821703932591575
5,1,4,validation,51.086309523809526,50.20899861040532,-0.8773109134042087
5,1,5,validation,50.9375,49.164251235002496,-1.7732487649975042
5,2,1,validation,56.29464285714286,52.03445157186387,-4.260191285278992
5,2,2,validation,57.708333333333336,53.432922973751204,-4.275410359582132
5,2,3,validation,56.66666666666667,53.94893095222045,-2.7177357144462206
5,2,4,validation,58.60119047619048,54.019509435795825,-4.581681040394656
5,2,5,validation,56.220238095238095,52.897854049085154,-3.3223840461529406
5,3,1,validation,57.55952380952381,55.00086485580798,-2.5586589537158275
5,3,2,validation,59.79166666666666,56.466777161432425,-3.324889505234232
5,3,3,validation,61.13095238095238,57.0227626846919,-4.108189696260482
5,3,4,validation,60.08928571428572,57.09689218382895,-2.9923935304567735
5,3,5,validation,58.67559523809524,55.93232020262607,-2.7432750354691677
