parameter,identified_value,unit,local_95pct_lower,local_95pct_upper
K_cool_times_Kp,2.1622750579720003,W/K²,1.9785623788320719,2.3630457529914644
K_cool_times_Ki,0.044594213317880736,W/(K²·s),0.041319864495802175,0.048128034438319235
