,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks
C_th_J_K,1.0,0.0014543800770776263,-0.18260288038497596,-0.001797299467467164,0.0034593312295896077
K_cool_W_K,0.001454380077143524,1.0,-0.000531254505081281,-0.9998781509866198,-0.9999101132855084
K_node_W_K,-0.18260288038497619,-0.0005312545049801687,1.0,0.0006147698968070879,-0.0008054973356694292
Kp_1_K,-0.0017972994675330518,-0.9998781509866189,0.0006147698969081932,1.0,0.9997869221909008
Ki_1_Ks,0.003459331229523714,-0.9999101132855095,-0.0008054973355683138,0.9997869221909025,1.0
