heat_model,start_index,success,cost,optimality,nfev,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
A_thermoneutral_proxy,0,True,60152.307543017065,4.368896172733985,7,4381.600240346621,31.722471972119184,7.1833293414246695,0.0727170185330114,0.0014992061134433243,,,
A_thermoneutral_proxy,1,True,60152.30785791434,3.46444155350017,15,4381.715926981697,25.303399050896203,7.183274828031044,0.0911745362067821,0.0018797311723229614,,,
A_thermoneutral_proxy,2,True,60152.30800299568,8.438052600366897,7,4381.71299200427,41.91988032796367,7.183259420571612,0.05501213914198553,0.0011346560787897657,,,
A_thermoneutral_proxy,3,True,60152.30769159657,2.554715276681167,16,4381.68192631513,21.921570883546472,7.183286754076171,0.10523552157922449,0.0021696487079452724,,,
A_thermoneutral_proxy,4,True,60152.30776115149,2.7723073756471273,13,4381.640587427472,24.33570223471114,7.183315247321739,0.09479934787387428,0.001954308976326455,,,
A_thermoneutral_proxy,5,True,60152.307855692,2.9529503670546715,13,4381.644842366623,57.57525365664167,7.183315023781234,0.040070719981066844,0.0008260517142031817,,,
B_quadratic_current,0,True,59179.26588176792,96.57935297606203,26,6726.531065432641,38.32684334526657,11.188082668948265,0.09273522366394066,0.001940388268906994,5.425927983801134,15.340639009741588,0.6656761263312913
B_quadratic_current,1,True,59851.66343978971,181.25008399352367,32,4212.311464016204,23.29613641208579,6.910063889278521,0.09745177180288661,0.001994430490032617,0.062266327682877785,9.625307917946042,0.43140622302495846
B_quadratic_current,2,True,60663.45662830107,64.5619563804267,35,6718.210307934862,31.563942266348995,10.990043415373375,0.11570540534137393,0.002367259163121287,0.0904406537885789,12.745875512317228,0.9423436715715314
B_quadratic_current,3,True,59916.99684259845,286.992337626601,25,2552.035464030733,9.08440076879106,4.183378158435167,0.15239982876285463,0.0031094744726226473,10.861261747251906,3.3604839241277857,0.39976943362044376
B_quadratic_current,4,True,60663.32068118603,90.06264416067049,34,4396.178494592654,20.306984147173626,7.191224669461259,0.11755599420015289,0.0024082101545560893,0.02761336503347672,8.344710929690812,0.6164877421374816
B_quadratic_current,5,True,59856.02999179027,2179592136.836039,39,2367.760779485664,15.629842701097305,3.857071823194763,0.08396352857315202,0.0016746244870587716,0.08566994870690821,5.149436713442516,0.2635384971028283
