,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
C_th_J_K,1.0,0.682936056410892,-0.13947055719283644,0.16906288769936284,0.1706350730684368,-0.9985068449123871,-0.9985296787694529,0.9862864420232805
K_cool_W_K,0.6829620554930724,0.9999999999999999,0.10254868207686921,0.8346272624996107,0.10524885482656546,-0.6929342168864371,-0.6928248130120891,0.7122077837484525
K_node_W_K,-0.13947055722346563,0.10255087944931021,1.0,0.1991257345296987,-0.07588737729410455,0.08517260422809703,0.08558815490163478,0.011773521836678229
Kp_1_K,0.1690628875561803,0.8346225380097108,0.1991257345472466,0.9999999999999999,0.015583103073009166,-0.18120520621640368,-0.1810585280345261,0.21220707224755817
Ki_1_Ks,0.17063507286533575,0.10524449307363601,-0.0758873772718962,0.015583103060094979,1.0,-0.1675347993924229,-0.16754484209689227,0.16355628243100556
heat_a0_W,-0.9985068452696956,-0.6929081780468836,0.08517260422820656,-0.18120520642460636,-0.1675347996558147,1.0,0.9999998583004102,-0.9930906610900043
heat_a1_W_A,-0.9985296791267195,-0.6927987741877131,0.08558815490174253,-0.1810585282427207,-0.16754484236027703,0.9999998583003686,1.0000000000000002,-0.993028195121421
heat_a2_W_A2,0.9862864423780672,0.7121819222414473,0.011773521836569847,0.21220707245433698,0.16355628269259856,-0.9930906610899733,-0.9930281951214317,0.9999999999999998
