object_index,noise_seed,C_th_scale,K_cool_scale,K_node_scale,load_input_scale,coolant_offset_C,single_hotspot_rmse_C,single_mean_node_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,gated_hotspot_rmse_C,gated_mean_node_rmse_C,gated_maximum_absolute_error_C,gated_q95_absolute_error_C,gated_hotspot_position_accuracy,hotspot_improvement_percent
0,0,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0713227467573918,1.480894711530049,3.5165103032264184,3.0742119203669067,0.9180327868852459,0.4117405395019461,0.5519836339460131,1.276525472872919,1.0994813709431472,0.9180327868852459,61.56708697279368
0,1,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.077776513731391,1.478978322905326,3.5299535357287013,3.0542405261801533,0.8688524590163934,0.4147009445615648,0.5490187908047078,1.2899487947596384,1.0989583784582522,0.8360655737704918,61.52254764526083
0,2,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0660384309781106,1.4723004300596794,3.476143422615145,3.0520568359177704,0.8524590163934426,0.4057840846034022,0.5425770636865466,1.233248480424237,1.0772625772413051,0.8524590163934426,61.93532307919823
0,3,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0630299475605454,1.47431587044979,3.4934847147799672,3.0831810459823834,0.8360655737704918,0.40241196237237153,0.5456297306858469,1.2592323522725337,1.0951775674379434,0.819672131147541,62.14481414227025
0,4,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0397203126322907,1.4597979594729291,3.4821202103221296,3.053911068927302,0.9016393442622951,0.3784629874701522,0.5297065685442932,1.246748973686536,1.073369280574292,0.9016393442622951,63.59953894600884
0,5,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0640564874596492,1.4742285387703125,3.509701854498985,3.0710832162372994,0.9016393442622951,0.40484199103739044,0.5449465309418401,1.2762995080544215,1.1075794128145904,0.9016393442622951,61.95296059855632
0,6,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0742909927300284,1.4829423069430585,3.515677577367306,3.0975282062320946,0.9016393442622951,0.41189267703543525,0.5535669495378258,1.282465854368752,1.127725306507037,0.8852459016393442,61.659114725637025
0,7,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.059125165134487,1.4637508247019637,3.5124340935452025,3.066341802590047,0.8852459016393442,0.39867376217791833,0.533743722529655,1.2791093685649741,1.1036155809925166,0.8688524590163934,62.358201343719834
0,8,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0796894733874431,1.4871834090937952,3.5290934974389856,3.104926253626566,0.8688524590163934,0.4161795077145612,0.5574744235939679,1.2972828603370203,1.1333150889053911,0.8688524590163934,61.45377740797734
0,9,1.0111033354603067,0.771506687744371,1.0954686915775709,1.0681729686068542,4.219367342208503,1.0649538211041998,1.4741443347854561,3.5188134524679953,3.0614215040181394,0.8852459016393442,0.4039930927518317,0.5442469455644479,1.2778825296353347,1.102448738746162,0.9016393442622951,62.06473137652574
1,0,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3598462392029987,0.4268130983891814,0.8800574347424615,0.8013941010820986,0.9344262295081968,0.19297483328598708,0.23529837003809026,0.7324612656229164,0.4955788266072646,0.7868852459016393,46.37297482574914
1,1,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3630828507900294,0.42997534069320065,0.9121777057064833,0.8157123452342376,0.9016393442622951,0.21634938171576998,0.2531979594148984,0.7519448163068532,0.5264646809350169,0.8032786885245902,40.41321939468722
1,2,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.36542604763050784,0.4426784957848423,0.9231124234690427,0.7987531867473365,0.9016393442622951,0.20524691741898207,0.24462152746122823,0.7224333227147781,0.5039935235006198,0.8360655737704918,43.83352835687488
1,3,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3479242860607521,0.4225614589537673,0.8959875261375458,0.7728022058483106,0.9344262295081968,0.22903820649589862,0.2802078819701684,0.719015593368475,0.6216050903210573,0.7868852459016393,34.1701008891614
1,4,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.35438785537440004,0.4261177535487802,0.9101437964713526,0.8097640619157346,0.9344262295081968,0.18327825245711066,0.2190462669903067,0.7126559765706659,0.5091651665732684,0.8360655737704918,48.28314523829189
1,5,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3616974320604312,0.4284045515144719,0.975250771911071,0.8154130597492129,0.8852459016393442,0.22239452431436935,0.2718547495753243,0.7686084497428496,0.6141989680419843,0.7540983606557377,38.51365682982996
1,6,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.33493543577929896,0.4164604672200832,0.9081095691260685,0.8083916246508268,0.8852459016393442,0.18441153297025156,0.251043047516421,0.8037531421219768,0.5266460474287413,0.8032786885245902,44.94116976868134
1,7,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.3512384592184107,0.41919158115393657,0.8789376673188514,0.777142239557017,0.9180327868852459,0.19724418530740545,0.23286132016110503,0.6926344746024427,0.4993232782371338,0.8360655737704918,43.843226693819126
1,8,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.32767004736691047,0.4045869578745259,0.8780012050326604,0.7711256429323428,0.9180327868852459,0.17489950647661823,0.21846869955157605,0.6296632177582353,0.4500876203308579,0.8688524590163934,46.62328525842538
1,9,0.8595208847830338,1.087562757030631,1.1681277081768469,1.058319094310158,3.940559536722888,0.36068231835491815,0.43473095942344037,0.9027647663869303,0.796199379526189,0.9180327868852459,0.18361618490463227,0.22409602421007246,0.7853129489704642,0.5081341264937181,0.7704918032786885,49.09199160576801
2,0,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.32512355207930244,0.45120906196057825,1.0604819029918957,0.9258258123649742,0.9180327868852459,0.17069594077185501,0.19659531536365138,0.7423318180288234,0.427856327341229,0.7540983606557377,47.4981311934548
2,1,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3345763161845684,0.46524451443037373,1.0692721003789458,0.9269167790092155,0.9180327868852459,0.1677542561256219,0.19789477870810607,0.5131888239358844,0.4400363697528534,0.6885245901639344,49.86069006956231
2,2,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3339762627680353,0.45895126984456247,1.0600268027541162,0.9275334306006771,0.9180327868852459,0.14620345148791503,0.17767511551056123,0.603599829274529,0.35635893443896277,0.7049180327868853,56.223400347029674
2,3,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.31296531731791005,0.43859098540387,1.0269409141086498,0.8912440793567372,0.8852459016393442,0.15583547319325516,0.17423109273666462,0.5747802146726428,0.35972564646747585,0.6885245901639344,50.206791433391466
2,4,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.34615161981857584,0.4705151967804616,1.0882155953970525,0.9572421543118113,0.9180327868852459,0.13841969020242437,0.16898895663182104,0.568175596242412,0.3010377219969841,0.6885245901639344,60.01183230776948
2,5,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3121214023804088,0.43892613265783625,1.0271033570013302,0.8958722241658691,0.9344262295081968,0.1508265247340015,0.17757602728429817,0.6441047138941585,0.3499573890910029,0.8032786885245902,51.67696813364422
2,6,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3241257477179769,0.4524845321725428,1.0503977542913319,0.9297368423920801,0.8852459016393442,0.16695765361353077,0.18886122461835572,0.6853448845742918,0.3790224944709751,0.7868852459016393,48.48985161191166
2,7,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3343722384823557,0.46274265856681257,1.0991406105805055,0.9619208103830361,0.9016393442622951,0.14489372192458322,0.17299022549678883,0.5183188879810885,0.32801745401732635,0.7540983606557377,56.66694023934974
2,8,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.3110741519491175,0.44209384990608586,1.032187957374866,0.8996544561094213,0.9180327868852459,0.24088313839915443,0.25566438216666715,0.794429918237249,0.6418180130570961,0.7377049180327869,22.564077764148085
2,9,0.9751992740438736,0.8798156011180694,1.0859985260783225,1.029465434756251,-0.3040965521317935,0.32758986355890474,0.4519573287882823,1.0273358250604758,0.9178938134049673,0.8852459016393442,0.2231189981742866,0.24530716898075333,0.780739151444557,0.5571515078528168,0.6557377049180327,31.890750296622954
3,0,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.0597612501331523,0.056869826863619743,0.25,0.11314630908979809,0.9180327868852459,0.0597612501331523,0.056869826863619743,0.25,0.11314630908979809,0.9180327868852459,0.0
3,1,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.06407603524260076,0.057092005649972306,0.25,0.11244107023505165,0.8852459016393442,0.06407603524260076,0.057092005649972306,0.25,0.11244107023505165,0.8852459016393442,0.0
3,2,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.06461586230543591,0.06646992612210634,0.25,0.12798092133861733,0.9016393442622951,0.06461586230543591,0.06646992612210634,0.25,0.12798092133861733,0.9016393442622951,0.0
3,3,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.07242092271128193,0.06210045150724253,0.28836524458942137,0.11691924830045226,0.8852459016393442,0.07242092271128193,0.06210045150724253,0.28836524458942137,0.11691924830045226,0.8852459016393442,0.0
3,4,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.0603528935315905,0.05654393352800665,0.25,0.10057559242360274,0.9016393442622951,0.0603528935315905,0.05654393352800665,0.25,0.10057559242360274,0.9016393442622951,0.0
3,5,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.06573528643662588,0.06731672291938802,0.2666077751622282,0.12428284906388573,0.8852459016393442,0.06573528643662588,0.06731672291938802,0.2666077751622282,0.12428284906388573,0.8852459016393442,0.0
3,6,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.06377094315503037,0.06132373939911541,0.25,0.12166159323456614,0.9672131147540983,0.06377094315503037,0.06132373939911541,0.25,0.12166159323456614,0.9672131147540983,0.0
3,7,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.060275909273189335,0.06138223715583019,0.25,0.1094128099936981,0.9016393442622951,0.060275909273189335,0.06138223715583019,0.25,0.1094128099936981,0.9016393442622951,0.0
3,8,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.06551078451612621,0.06473383787230756,0.29071518264147045,0.1242207932068212,0.9180327868852459,0.06551078451612621,0.06473383787230756,0.29071518264147045,0.1242207932068212,0.9180327868852459,0.0
3,9,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769617,1.4669276858965157,0.08385986578592697,0.08037276317388754,0.2791449756708886,0.1353067672005068,0.9016393442622951,0.08385986578592697,0.08037276317388754,0.2791449756708886,0.1353067672005068,0.9016393442622951,0.0
4,0,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7990477011154479,1.1132804746263945,2.657849599495094,2.338234767408578,0.8852459016393442,0.18541870501215352,0.24274078351347203,0.5805792810018033,0.4978706958706426,0.8524590163934426,76.79503930074334
4,1,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.8040519136215322,1.1168015486544822,2.683884043213844,2.349903697468132,0.819672131147541,0.19563760288520501,0.25076265000808784,0.5922250689503059,0.5127461802315482,0.819672131147541,75.66853587798414
4,2,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7802403647619172,1.096377551075516,2.649687025651069,2.3062319361686865,0.8688524590163934,0.16989564711429092,0.22510752948628554,0.5612358667258945,0.4591586611031972,0.8688524590163934,78.2252168963172
4,3,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7987519485910807,1.1089937226010786,2.6805502759517523,2.322501871077681,0.8360655737704918,0.18684201731400502,0.23908280767522172,0.5883825836385057,0.49048903125399773,0.8360655737704918,76.60825521069766
4,4,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.773818380583817,1.0985596105105997,2.6158204010078165,2.306511780298638,0.8688524590163934,0.1598847917299275,0.22682556037907187,0.5384953430377521,0.4517716718629046,0.8688524590163934,79.33820186471915
4,5,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7997949515067879,1.1106464073918045,2.6758291349022088,2.3331363202662914,0.8524590163934426,0.18901519283791438,0.2407123084818372,0.5830607025858612,0.5034067946960507,0.8360655737704918,76.36704351761463
4,6,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7998780627230878,1.1141088611846846,2.6843253076796074,2.343385685022139,0.8524590163934426,0.18814081837824828,0.24369158507758257,0.5982272984322421,0.5154415873125459,0.8524590163934426,76.47881256578714
4,7,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7986135594262158,1.1121454013936525,2.6470088683193964,2.3311444702367328,0.8688524590163934,0.18631237715539467,0.24225902172048483,0.55578721936687,0.482458053269032,0.8360655737704918,76.67052168645176
4,8,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.8128977054066062,1.1226870974516854,2.698388461024571,2.37232778214983,0.8524590163934426,0.20133310061887832,0.2526344925776313,0.6132587904003728,0.5269483078020386,0.8524590163934426,75.2326646661928
4,9,1.1451777205138427,0.8555763235375091,0.9914544528657524,1.1089912537554572,2.7659749538949576,0.7887034127636692,1.1030599288749903,2.656663461614258,2.329840346543476,0.8688524590163934,0.17386095415211758,0.23300956668030645,0.568131295478004,0.48783621537384797,0.8524590163934426,77.95610474881842
5,0,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.8069188777573248,1.0979274252632507,2.5909086924889806,2.2709225790395853,0.9016393442622951,0.19843433920788298,0.23284103670384285,0.54094305840907,0.43432703032617187,0.8852459016393442,75.40839052379182
5,1,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.8101737794770354,1.09807654988512,2.5830341124637144,2.2636511948690146,0.8852459016393442,0.20145845772976184,0.23013793521802944,0.48889430093083774,0.4158501105300417,0.8688524590163934,75.13392029796341
5,2,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.8004903159828665,1.0908304359180168,2.5989059428702888,2.2731439426720375,0.8688524590163934,0.18887422244010285,0.22163287511609175,0.5083753616356219,0.4274413625075852,0.8360655737704918,76.40518333963887
5,3,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.7908471698434568,1.090946446409682,2.6065077279236633,2.2604280490249735,0.9344262295081968,0.1891523297187075,0.22476717267609567,0.5165059057231929,0.4250351088694146,0.9344262295081968,76.08231565699994
5,4,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.7992758698472571,1.099594549203233,2.583617237538647,2.2720069660087105,0.9180327868852459,0.18514845311852615,0.22824810665750744,0.491814564042798,0.4226599834515938,0.9180327868852459,76.83547569703208
5,5,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.7975323061836335,1.0981812986553177,2.593137502606531,2.2471868444273952,0.9180327868852459,0.1883916706741394,0.23265939417341136,0.5013454003770121,0.41262809921818333,0.9016393442622951,76.37817688218365
5,6,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.8064945392888545,1.0966244120191482,2.5548237144121515,2.228030557781891,0.8852459016393442,0.19389864673145635,0.22917299797356547,0.47378607721101673,0.3963561879016737,0.8688524590163934,75.95784753825723
5,7,1.0772203240262055,0.9645094969646936,1.063768949050878,1.1474710047786392,4.4192395656685,0.7914088292359275,1.0884036594432538,2.5740358014882645,2.2481230185713827,0.9016393442622951,0.17562183789117375,0.21612726373431485,0.48255538487575933,0.4146635624822494,0.8852459016393442,77.80896151225286
