object_index,noise_seed,final_max_probability,mean_normalized_entropy,bank_enabled_fraction,maximum_sustained_innovation_evidence
0,0,0.980140832100712,0.15502582277196664,0.9180327868852459,624.7067141699355
0,1,0.980140832100712,0.1549388859162984,0.9344262295081968,611.4426593698798
0,2,0.9801408321007121,0.15158395166549593,0.9344262295081968,621.9086556724524
0,3,0.9801408321007121,0.15910814080027505,0.9344262295081968,623.4978231926268
0,4,0.9801408321007121,0.15941925419231448,0.9344262295081968,627.7346974845055
0,5,0.9801408321007121,0.15683918401794203,0.9180327868852459,620.7164229779921
0,6,0.980140832100712,0.15410178325944854,0.9344262295081968,621.7352003896867
0,7,0.980140832100712,0.16071354958426215,0.9180327868852459,623.2296700757882
0,8,0.9801408321007121,0.1516293233565943,0.9344262295081968,617.5062590868182
0,9,0.980140832100712,0.1563524577474229,0.9344262295081968,625.2062034225362
1,0,0.6061024278557284,0.4282269428161674,0.8360655737704918,43.11641684043491
1,1,0.5538167635687629,0.45013357933818776,0.7704918032786885,44.187533427565114
1,2,0.6370349482806932,0.47662420718334053,0.8032786885245902,44.64889281585837
1,3,0.9483638331018182,0.38620735821105645,0.8032786885245902,43.96597978888057
1,4,0.6082252107097293,0.47530912412662146,0.8360655737704918,46.15731347204185
1,5,0.9715446456514355,0.4179820604706028,0.8524590163934426,44.37056660388652
1,6,0.6415156021951818,0.4100030954484002,0.8524590163934426,45.187361837693
1,7,0.7239564547513354,0.4603870370496112,0.8032786885245902,44.88548131892969
1,8,0.5256735364906892,0.4455132387532007,0.8524590163934426,45.715036561021094
1,9,0.6569260613128111,0.4403253689881467,0.8360655737704918,47.63484904479122
2,0,0.8438184791827471,0.477183311969964,0.8688524590163934,56.4502228645765
2,1,0.6448518202945576,0.5085203272964918,0.8360655737704918,57.90853062857006
2,2,0.846078762195761,0.4877003477015568,0.8360655737704918,54.4479467153577
2,3,0.5911379083055474,0.4669688079156642,0.8524590163934426,58.288518232476946
2,4,0.879896948265117,0.47274454979209674,0.8524590163934426,54.18006106006912
2,5,0.8896512672031087,0.5233959608482696,0.819672131147541,58.32848621262548
2,6,0.7535907218603125,0.505493748284026,0.7704918032786885,54.08906390640592
2,7,0.8073595074660092,0.48844275493777267,0.8524590163934426,54.82381112592252
2,8,0.8103895561691944,0.49199730197201247,0.8360655737704918,56.10754096553107
2,9,0.9032720551970872,0.4291957640262254,0.8524590163934426,55.48296687372947
3,0,0.5932231421546681,0.483195410079518,0.0,0.6937842802382572
3,1,0.5761675544855237,0.48434335772084797,0.0,0.9188781553345411
3,2,0.6401599704246786,0.4446728441244899,0.0,0.8556243054842989
3,3,0.559316000978832,0.5101195316573985,0.0,1.2671668645367542
3,4,0.694492065207923,0.443437968572498,0.0,1.1792974691730276
3,5,0.49775831604332954,0.46392164161530036,0.0,1.139560388115246
3,6,0.7211257266987474,0.46317452840760415,0.0,0.8275056780767734
3,7,0.5508190196512891,0.4757553706469412,0.0,0.8649573968212387
3,8,0.5662250374412988,0.4958556402979204,0.0,0.8881105023605008
3,9,0.6228437953709758,0.437891839493712,0.0,1.1380133062108917
4,0,0.9801408321007121,0.1580984857044865,0.9344262295081968,368.88016324770547
4,1,0.9801408321007121,0.1693657900414128,0.9016393442622951,355.2177358809503
4,2,0.9801408321007121,0.1558696273266634,0.9344262295081968,357.79639612382437
4,3,0.980140832100712,0.15838347811422712,0.9180327868852459,358.3460784622529
4,4,0.9801408321007121,0.1546323117594394,0.9344262295081968,361.7157974574839
4,5,0.9801408321007121,0.16277316766702277,0.9180327868852459,349.9553231041009
4,6,0.9801408321007121,0.15716648301326547,0.9180327868852459,357.1439462963409
4,7,0.9801408321007121,0.15766266233504067,0.9344262295081968,354.90237742514125
4,8,0.9801408321007121,0.16283920254924836,0.9180327868852459,352.9384646689648
4,9,0.980140832100712,0.15978740898057434,0.9180327868852459,358.9539087745426
5,0,0.980140832100712,0.1606526589378429,0.9180327868852459,346.2915367046691
5,1,0.9801408321007121,0.1571754549869626,0.9180327868852459,333.816058036826
5,2,0.980140832100712,0.1627653412399793,0.9180327868852459,335.9602984137002
5,3,0.9801408321007121,0.16077389049855284,0.9180327868852459,330.5654922626088
5,4,0.9801408321007121,0.15790460589719507,0.9344262295081968,325.8720244463801
5,5,0.9801408321007121,0.1599448246462795,0.9344262295081968,330.70738336005354
5,6,0.9801408321007121,0.16014006712310147,0.9016393442622951,334.9006388730721
5,7,0.980140832100712,0.15703385303402329,0.9344262295081968,331.85846586012707
5,8,0.980140832100712,0.16187454570374563,0.9016393442622951,341.304356805338
5,9,0.9801408321007121,0.15833316371600165,0.9180327868852459,334.03309281658017
6,0,0.9801408321007121,0.1568425902837153,0.9180327868852459,310.8463912093217
6,1,0.9801408321007121,0.15466347108965067,0.9180327868852459,301.90010510725847
6,2,0.980140832100712,0.15559279807722326,0.9180327868852459,303.8508575333886
6,3,0.9801408321007121,0.16448090833905865,0.9016393442622951,308.8758620459861
6,4,0.980140832100712,0.16850547649141576,0.9016393442622951,303.7837208335284
6,5,0.980140832100712,0.1548496111460381,0.9180327868852459,305.65756571655646
6,6,0.9801408321007121,0.16096066950900934,0.9016393442622951,307.0162288475086
6,7,0.9801408321007121,0.15852272364067507,0.9180327868852459,306.154091598471
6,8,0.9801408321007121,0.1606747578903422,0.9180327868852459,310.48233814935395
6,9,0.980140832100712,0.15653206346653747,0.9344262295081968,300.59983749474407
7,0,0.9801408321007118,0.1851368863875786,0.8688524590163934,86.37411034834838
7,1,0.9801408321006981,0.1782433940409235,0.8852459016393442,85.512120183768
7,2,0.980140832100712,0.18829716868337684,0.8688524590163934,88.28186292513608
7,3,0.9801408321007118,0.18674310158695004,0.8688524590163934,84.21147256923997
7,4,0.9801408321007115,0.17395873436605785,0.8852459016393442,85.12531575638157
7,5,0.980140832100712,0.18895621709143637,0.8852459016393442,83.53063685886815
7,6,0.9801408321007119,0.1778901164766604,0.8688524590163934,83.10116981497173
7,7,0.9801408321007118,0.18900733419026836,0.8524590163934426,85.6357551594567
7,8,0.9801408321001446,0.1924228450589381,0.8688524590163934,84.23953382161433
7,9,0.9801408321005749,0.180559234373307,0.8524590163934426,85.21237511591124
8,0,0.6446619938049298,0.5010284192478693,0.14754098360655737,3.6947797082588387
8,1,0.6086092396304785,0.4795518212519566,0.2459016393442623,2.656061731237478
