cell_group,flow_row,in_plane_column,temperature_C,x_pixel,y_pixel,rgb_r,rgb_g,rgb_b,colour_distance,digitization_uncertainty_C,source
4,3,2,62.544642857142854,708,875,255,76,0,0.0,0.75,Gong2024 Fig.8(b)
4,3,3,62.61904761904762,738,875,255,74,0,1.0,0.75,Gong2024 Fig.8(b)
4,3,4,62.32142857142857,767,875,255,82,0,0.0,0.75,Gong2024 Fig.8(b)
4,3,5,62.098214285714285,797,875,255,89,0,0.0,0.75,Gong2024 Fig.8(b)
5,1,1,48.333333333333336,833,929,0,163,255,0.0,0.75,Gong2024 Fig.8(b)
5,1,2,49.523809523809526,863,929,0,207,255,0.0,0.75,Gong2024 Fig.8(b)
5,1,3,50.416666666666664,893,929,0,238,255,1.0,0.75,Gong2024 Fig.8(b)
5,1,4,51.086309523809526,923,929,0,255,237,2.0,0.75,Gong2024 Fig.8(b)
5,1,5,50.9375,953,929,0,255,249,1.0,0.75,Gong2024 Fig.8(b)
5,2,1,56.29464285714286,833,902,129,247,0,2.23606797749979,0.75,Gong2024 Fig.8(b)
5,2,2,57.708333333333336,863,902,225,243,0,5.0,0.75,Gong2024 Fig.8(b)
5,2,3,56.66666666666667,893,902,154,247,0,3.605551275463989,0.75,Gong2024 Fig.8(b)
5,2,4,58.601190476190474,923,902,255,219,0,0.0,0.75,Gong2024 Fig.8(b)
5,2,5,56.220238095238095,953,902,124,246,0,2.0,0.75,Gong2024 Fig.8(b)
5,3,1,57.55952380952381,833,875,219,247,0,7.0710678118654755,0.75,Gong2024 Fig.8(b)
5,3,2,59.791666666666664,863,875,255,172,0,2.0,0.75,Gong2024 Fig.8(b)
5,3,3,61.13095238095238,893,875,255,123,0,2.0,0.75,Gong2024 Fig.8(b)
5,3,4,60.089285714285715,923,875,255,165,0,1.0,0.75,Gong2024 Fig.8(b)
5,3,5,58.67559523809524,953,875,255,214,0,1.0,0.75,Gong2024 Fig.8(b)
