controller,mean_max_hotspot_excess_C,mean_hotspot_excess_rmse_C,mean_gradient_rmse_C,mean_fan_energy,total_switches,mean_tracking_rmse_C
AuthorMeasured-PI-SMC,1.3715738963112614,0.4284927544919371,0.4745494974806359,0.0036398412706130164,123,0.28286046430127193
Hotspot-MPC,1.6798156475112822,0.45958375602879126,0.600365768222521,0.005281249999999999,99,0.7161544929624583
MeanTemperature-MPC,2.123258992187425,0.7646538647877019,0.6418560476181766,0.005083333333333333,92,0.6070740547711041
SparseSensor-PI-SMC,1.5364917747451632,0.6115541014685174,0.48234911141884157,0.0034670265845618917,118,0.4448652496482821
