time_s,three_node_mean_C,five_node_mean_C,three_node_hotspot_C,five_node_hotspot_C,five_node_energy_residual_W
0.0,55.29777392309916,55.28967909800521,56.344319167389415,56.344319167389415,-1.5276668818842154e-12
1.0,55.30890749603662,55.300815486477845,56.34770666515438,56.344009756844066,2.4087398742267396e-12
2.0,55.32207579145193,55.313986812469935,56.3530060434994,56.34573929724631,-6.87805368215777e-12
3.0,55.343436959766166,55.335351251445594,56.36635348157852,56.35564022807293,3.836930773104541e-13
4.0,55.363669419276256,55.35558733683977,56.378342957731554,56.36430315332302,1.8047785488306545e-12
5.0,55.382799902576586,55.37472179190313,56.38901002901319,56.37176058604302,-1.9610979506978765e-12
6.0,55.40085519103291,55.39278138867469,56.398390218543845,56.37804507597521,-2.7711166694643907e-12
7.0,55.417862078167396,55.409792911378396,56.40651897061793,56.383189163137786,-4.206412995699793e-12
8.0,55.4338473347889,55.42578312156426,56.41343160813009,56.38722533376294,-8.071765478234738e-12
9.0,55.448837675853106,55.44077872497883,56.41916329228983,56.390185978561284,5.265121671982342e-12
10.0,55.46285972903265,55.45480634014492,56.423748984589885,56.39210335327568,3.709033080667723e-12
11.0,55.475940004973275,55.467892468626964,56.42722341098881,56.393009541483096,3.922195901395753e-12
12.0,55.488148425745656,55.48010702345006,56.42966458480116,56.392979976094786,-4.973799150320701e-14
13.0,55.499472372214676,55.491437377155066,56.43106741428523,56.39200704831462,3.055333763768431e-13
14.0,55.50997579949368,55.50194747606147,56.43150363077612,56.390160031253366,-4.405364961712621e-13
15.0,55.519543008209276,55.511521612768476,56.43086479535199,56.38732808878417,-6.0182969718880486e-12
16.0,55.52829847587975,55.52028425482852,56.429283905716055,56.38364186996944,4.568789790937444e-12
17.0,55.53626747750649,55.52826066873248,56.42679364069189,56.37913176374644,5.972111694063642e-12
18.0,55.54347500717315,55.535475840170555,56.42342625048794,56.37382778497217,2.227551476607914e-12
19.0,55.55004959636593,55.54205829224573,56.419317372559064,56.36786338900993,-5.9827698351000436e-12
20.0,55.55580358162289,55.547820354904765,56.41428527293095,56.361054720965,-4.927613872496295e-12
21.0,55.56086931769639,55.5528943734118,56.40847016061113,56.35353990577273,5.364597654988756e-12
22.0,55.56527051381289,55.557304049112886,56.40190238895804,56.34534726794896,-9.563905223330949e-12
23.0,55.569030523904495,55.561072728197146,56.39461179956248,56.336504669187946,2.69473332537018e-12
24.0,55.572172335448506,55.56422339053921,56.386627710315615,56.3270394953726,4.54036808150704e-12
25.0,55.57471855942784,55.56677863966205,56.37797890488391,56.316978645011154,-1.751487843648647e-12
26.0,55.57669142136595,55.56876069377415,56.3686936235287,56.30634851903736,-3.2009950245992513e-12
27.0,55.57811275339069,55.57019137783509,56.358799555208684,56.295175011912264,-3.6193270602780103e-12
28.0,55.57900398728145,55.57109211660428,56.34832383090462,56.28348350396631,7.096545573404001e-13
29.0,55.57938614845482,55.57148392862778,56.337293018106294,56.27129885492157,5.168421246537491e-12
30.0,55.57927985084467,55.57138742111933,56.325733116403136,56.258645398535116,-3.8054004392051866e-12
