controller,mean_maximum_hotspot_after_60s_C,mean_hotspot_violation_rmse_C,mean_gradient_rmse_C,mean_temperature_tracking_rmse_C,mean_fan_energy_proxy_duty2_h,total_direction_switches,mean_direction_switch_cost_proxy,mean_absolute_duty_rate_per_s
AuthorMeasured-PI-SMC,56.176957906378426,0.4302457943740312,0.45931951911135477,0.29161972860557267,0.0036230862070229463,109,36.333333333333336,0.0003558579827150378
FiveNodeMean-PI-SMC,56.26802452677095,0.4661186943498125,0.4707589869111855,0.30912067124023074,0.0035739923911253034,115,38.333333333333336,0.0014435276574602028
Hotspot-MPC,55.36774774430102,0.11140293403769762,0.24444633652675649,0.6455645398784046,0.004720833333333335,425,141.66666666666666,0.03526388888888889
SparseSensor-PI-SMC,56.32648999326876,0.5056175107380557,0.47301724656750377,0.3408542427380481,0.0035487653130357676,115,38.333333333333336,0.0010146813661303317
