time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,mean_temperature_C,gradient_C,reference_temperature_C,safe_temperature_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.02589920349329038,-1,56.344319167389415,55.28967909800521,2.01214223764093,55.0,,,54.332176929748485,54.582176929748485,54.774501300954036,54.79727981044087,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.49299298361138
1.0,7.106564245810056,7.106564245810056,0.025359622920136264,-1,56.33729047849528,55.295439164091746,1.9886100057376979,55.0,,,54.34868047275758,54.54489462268172,54.782027795982685,54.74250670491815,55.22461735567653,55.17429809817166,55.78457971754671,55.69288085208445,56.33729047849528,56.51866878163032
2.0,9.613594040968344,9.613594040968344,0.026182866417453404,-1,56.3335363141819,55.3042118956069,1.9655654723033962,55.0,,,54.3679708418785,54.608911199001646,54.79268070198378,54.7882559939335,55.23535334182717,55.22718681645898,55.79151827816312,55.6188208488743,56.3335363141819,56.451736206728796
3.0,9.613594040968344,9.613594040968344,0.021409707911330168,-1,56.33836767174829,55.32150022785727,1.9426276442504218,55.0,,,54.395740027497865,54.633739806397394,54.8120472236462,54.811694440760775,55.254541460382576,55.22411835856057,55.806804756011424,55.36077381289624,56.33836767174829,56.3087754727575
4.0,9.613594040968344,9.613594040968344,0.02167393775928269,-1,56.34663737863262,55.34139872233889,1.9213019727135503,55.0,,,54.42533540591907,54.55750830273426,54.833832601807174,54.78998893471329,55.276270679143984,55.15673088590398,55.82491754619156,55.473619457207015,56.34663737863262,56.35200511354503
5.0,9.613594040968344,9.613594040968344,0.028703821859599014,-1,56.354883621742104,55.361142873889705,1.9002043419198458,55.0,,,54.45467927982226,54.775158938434906,54.85560785629191,54.90163650396081,55.29778670929154,55.33372446487465,55.842756902300714,55.446443395200525,56.354883621742104,56.319633986504634
6.0,9.613594040968344,9.613594040968344,0.02914789975816785,-1,56.35846527762235,55.3770130947246,1.8775046404924751,55.0,,,54.480960637129876,54.74282855165901,54.874106050161394,54.89884015613656,55.31538162158967,55.303106841405665,55.85615188711971,55.49491339236579,56.35846527762235,56.33093800836168
7.0,9.613594040968344,9.613594040968344,0.029125364794019438,-1,56.361901244546516,55.392629186776034,1.8549881888045547,55.0,,,54.50691305574196,54.78751176570789,54.892491437276085,54.930588300670365,55.33266787809334,55.31446162429171,55.8691723182223,55.42218134627764,56.361901244546516,56.27859813642901
8.0,9.613594040968344,9.613594040968344,0.02955206201111524,-1,56.365507667700214,55.40824784930278,1.8327732260370766,55.0,,,54.53273444166314,54.7260848351301,54.91098214879462,54.908994413921135,55.349903702603854,55.274685731911674,55.88211128575203,55.50422616751922,56.365507667700214,56.313082532839395
9.0,9.613594040968344,9.613594040968344,0.026388259940348,-1,56.368972322992654,55.42362167194906,1.8107312009531427,55.0,,,54.55824112203951,54.66767397436846,54.929354748345766,54.88190887317645,55.36684433395749,55.208275145132816,55.89469583240987,55.44740058253877,56.368972322992654,56.273779722158636
