time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,mean_temperature_C,gradient_C,reference_temperature_C,safe_temperature_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.01609198279411443,-1,56.344319167389415,55.28967909800521,2.01214223764093,55.0,,,54.332176929748485,,54.774501300954036,,55.21682567215959,,55.7805724197745,,56.344319167389415,
1.0,7.106564245810056,7.106564245810056,0.01739317712258982,-1,56.344009756844066,55.300815486477845,1.9912752262481845,55.0,,,54.35273453059588,,54.786735226814294,,55.229978159501435,,55.79061975863356,,56.344009756844066,
2.0,9.613594040968344,9.613594040968344,0.018857910340522314,-1,56.34569881025136,55.31395440284139,1.9703687365736826,55.0,,,54.37533007367768,,54.80121153263255,,55.24506850612826,,55.80246309151707,,56.34569881025136,
3.0,9.613594040968344,9.613594040968344,0.020946527089728363,-1,56.3555221239377,55.33525662711313,1.9493729980333185,55.0,,,54.406149125904385,,54.82409364033655,,55.26826031566594,,55.82225792972104,,56.3555221239377,
4.0,9.613594040968344,9.613594040968344,0.02297979863797273,-1,56.36407345660634,55.3554031387521,1.9281146988672049,55.0,,,54.43595875773914,,54.84609685620518,,55.29023790952461,,55.84064871368522,,56.36407345660634,
5.0,9.613594040968344,9.613594040968344,0.024958222381254017,-1,56.3713883312471,55.37442300290083,1.9066065098408274,55.0,,,54.46478182140627,,54.86723855850988,,55.31103251747349,,55.857673785867476,,56.3713883312471,
6.0,9.613594040968344,9.613594040968344,0.026882330608612517,-1,56.377502155581865,55.39234522061065,1.8848610549061817,55.0,,,54.492641100675684,,54.8875363884521,,55.33067520857813,,55.8733712497655,,56.377502155581865,
7.0,9.613594040968344,9.613594040968344,0.028752688170309848,-1,56.38245018085379,55.40919869576112,1.862890891311892,55.0,,,54.519559289541895,,54.90700821073188,,55.34919686302742,,55.887778934650605,,56.38245018085379,
8.0,9.613594040968344,9.613594040968344,0.030569890211680547,-1,56.38626746289371,55.42501220369563,1.8407084910155618,55.0,,,54.54555897187815,,54.92567207591658,,55.36662814541463,,55.9009343623751,,56.38626746289371,
9.0,9.613594040968344,9.613594040968344,0.03233455997436208,-1,56.388988825428235,55.43981436155273,1.8183262233598896,55.0,,,54.570662602068346,,54.943546184582615,,55.38299947946596,,55.912874716218475,,56.388988825428235,
10.0,9.613594040968344,9.613594040968344,0.0340473466662418,-1,56.39064882558874,55.45363360026879,1.7957563389729927,55.0,,,54.59489248661575,,54.96064885320019,,55.39834102420557,,55.923636811733694,,56.39064882558874,
11.0,9.625488826815644,9.625488826815644,0.03570892340111943,-1,56.39128172157666,55.466498138224225,1.7730109548525377,55.0,,,54.61827076672412,,54.97699848172825,,55.412682651541424,,55.93325706955064,,56.39128172157666,
12.0,9.627281191806333,9.627281191806333,0.03732321780690836,-1,56.390964998924986,55.478479512990205,1.750102040592644,55.0,,,54.64086295833234,,54.99265707937309,,55.426097481741,,55.94181504657957,,56.390964998924986,
13.0,9.639501862197395,9.639501862197395,0.03888812994357947,-1,56.38969298387019,55.48956663238412,1.7270405456161058,55.0,,,54.662652438254085,,55.007604528130656,,55.43857594169412,,55.94930726997157,,56.38969298387019,
14.0,9.613594040968344,9.613594040968344,0.040407217186704134,-1,56.38753677209315,55.49982489255226,1.7038380077741522,55.0,,,54.683698764319,,55.02189728553118,,55.45018487914994,,55.95580676166802,,56.38753677209315,
15.0,9.613594040968344,9.613594040968344,0.041870793478217844,-1,56.3843872415879,55.509139953153294,1.680505035618097,55.0,,,54.703882205969805,,55.03541253512854,,55.460811347584155,,55.96120643549606,,56.3843872415879,
16.0,9.613594040968344,9.613594040968344,0.04328681735302739,-1,56.380376652463355,55.51763757029867,1.6570548192199865,55.0,,,54.72332183324337,,55.04826711994062,,55.47058242781387,,55.96563981803209,,56.380376652463355,
17.0,9.613594040968344,9.613594040968344,0.04465606634006271,-1,56.375536904331675,55.52534422189333,1.6334984201284897,55.0,,,54.742038484203185,,55.060479351785915,,55.479525875658865,,55.96914049348697,,56.375536904331675,
18.0,9.641945996275608,9.641945996275608,0.04597932941070873,-1,56.36989942720309,55.53228603163185,1.6098466914475154,55.0,,,54.76005273575557,,55.072067443652095,,55.48766904043426,,55.97174151111419,,56.36989942720309,
19.0,9.613594040968344,9.613594040968344,0.04726511176756684,-1,56.363599000070096,55.5385925900945,1.5861102709038022,55.0,,,54.77748872916629,,55.08315332519336,,55.49514268858525,,55.97357920745753,,56.363599000070096,
20.0,9.613594040968344,9.613594040968344,0.0484986399716087,-1,56.356453003826005,55.54407722665301,1.5622975517662212,55.0,,,54.79415545205978,,55.09354342469299,,55.50176128526849,,55.97447296741774,,56.356453003826005,
21.0,9.613594040968344,9.613594040968344,0.04968860356672166,-1,56.348600716387665,55.54887322231534,1.5384208128994175,55.0,,,54.81017990348825,,55.103363316720994,,55.507659187119934,,55.974562987859834,,56.348600716387665,
22.0,9.613594040968344,9.613594040968344,0.050835823119274454,-1,56.340071534654726,55.55300515137786,1.5144900113198503,55.0,,,54.825581523334876,,55.11263063085706,,55.51286200897616,,55.973880059066495,,56.340071534654726,
23.0,9.613594040968344,9.613594040968344,0.05194112379174282,-1,56.33089431629517,55.55649717351764,1.4905148686302567,55.0,,,54.840379447664915,,55.121362810031556,,55.51739491016941,,55.97245438342714,,56.33089431629517,
24.0,9.613594040968344,9.613594040968344,0.05300533416651795,-1,56.32109737024946,55.55937302521424,1.4665048677612802,55.0,,,54.85459250248818,,55.12957709663133,,55.52128258788084,,55.970315568821434,,56.32109737024946,
25.0,9.613594040968344,9.613594040968344,0.054029285129983964,-1,56.310708448552134,55.56165601222032,1.4424692503347956,55.0,,,54.86823919821734,,55.13729051971442,,55.52454927144011,,55.96749262317758,,56.310708448552134,
26.0,9.613594040968344,9.613594040968344,0.05501380881526499,-1,56.299754739408776,55.56336900303428,1.4184170146136026,55.0,,,54.88133772479517,,55.14451988328876,,55.52721871753063,,55.96401395014809,,56.299754739408776,
27.0,9.613594040968344,9.613594040968344,0.05595973760197828,-1,56.28826286146724,55.56453442332967,1.3943569140031045,55.0,,,54.893905947464134,,55.15128175561034,,55.52931420625982,,55.9599073458468,,56.28826286146724,
28.0,9.613594040968344,9.613594040968344,0.05686790317131614,-1,56.276258859223084,55.565174251295424,1.3702974560718104,55.0,,,54.905961403151274,,55.15759245945701,,55.530858538054204,,55.955199996591546,,56.276258859223084,
29.0,9.613594040968344,9.613594040968344,0.05773913561473158,-1,56.263768199500355,55.56531001384302,1.3462469020583683,55.0,,,54.917521297441986,,55.16346806333465,,55.531874031339534,,55.94991847759857,,56.263768199500355,
30.0,9.613594040968344,9.613594040968344,0.05857426259449818,-1,56.25081576895006,55.56496278363638,1.322213266834062,55.0,,,54.928602502116,,55.168924373573546,,55.532382520966706,,55.94408875257558,,56.25081576895006,
31.0,9.613594040968344,9.613594040968344,0.059374108554397495,-1,56.237425872510194,55.56415317690191,1.2982043192907184,55.0,,,54.939221553219475,,55.173976927273216,,55.53240535734492,,55.937736174161756,,56.237425872510194,
32.0,9.613594040968344,9.613594040968344,0.06013949397878636,-1,56.223622232772534,55.562901351976805,1.2742275831251746,55.0,,,54.94939464964736,,55.17864098605524,,55.531963406244216,,55.93088548516462,,56.223622232772534,
33.0,9.613594040968344,9.613594040968344,0.0608712346983018,-1,56.209427990203004,55.561227008554646,1.2502903379924462,55.0,,,54.95913765221056,,55.1829315305844,,55.531077049230404,,55.923560820544886,,56.209427990203004,
34.0,9.613594040968344,9.613594040968344,0.06157014124046641,-1,56.19486570416394,55.55914938758889,1.226399621000958,55.0,,,54.96846608316298,,55.186863255819425,,55.52976618469621,,55.91578571010193,,56.19486570416394,
35.0,9.613594040968344,9.613594040968344,0.0622370182234771,-1,56.179957354688206,55.55668727181516,1.2025622285241937,55.0,,,54.97739512616401,,55.19045056695593,,55.52805022945343,,55.90758308181423,,56.179957354688206,
36.0,9.613594040968344,9.613594040968344,0.06287266379147562,-1,56.16472434495686,55.553858986855325,1.1787847183043212,55.0,,,54.98593962665254,,55.193707576024806,,55.525948120851886,,55.8989752657905,,56.16472434495686,
37.0,9.613594040968344,9.613594040968344,0.06347786908962526,-1,56.14918750443359,55.55068240286685,1.1550734118243895,55.0,,,54.9941140926092,,55.196648099110774,,55.52347831939191,,55.889983998788786,,56.14918750443359,
38.0,9.613594040968344,9.613594040968344,0.0640534177773447,-1,56.133367092610975,55.54717493670258,1.131434396926693,55.0,,,55.00193269568428,,55.19928565415676,,55.52065881179819,,55.88063042926268,,56.133367092610975,
39.0,9.613594040968344,9.613594040968344,0.06460008557808274,-1,56.11728280332516,55.5433535545468,1.107873530656029,55.0,,,55.00940927266913,,55.201633459320874,,55.51750711452388,,55.87093512289492,,56.11728280332516,
40.0,9.633147113594042,9.633147113594042,0.06511863986404541,-1,56.100953769597446,55.539234774995364,1.084396442307586,55.0,,,55.01655732728986,,55.203704431853964,,55.514040277654885,,55.86091806858068,,56.100953769597446,
41.0,9.619622905027937,9.619622905027937,0.06561515354480663,-1,56.08447017420133,55.53490627778693,1.061008536660161,55.0,,,55.02346163754117,,55.20558279270538,,55.51034649442405,,55.85067029006275,,56.08447017420133,
42.0,9.613594040968344,9.613594040968344,0.06608126770367209,-1,56.067725197390175,55.53025951904205,1.03771366294918,55.0,,,55.030011534440995,,55.20715701871634,,55.506317720029045,,55.84008612463368,,56.067725197390175,
43.0,9.613594040968344,9.613594040968344,0.06651984244471941,-1,56.050766438221224,55.525339325695356,1.0145177560999272,55.0,,,55.0362486821213,,55.20846850596879,,55.50199925891503,,55.82921374325048,,56.050766438221224,
44.0,9.613594040968344,9.613594040968344,0.06693328334066322,-1,56.03363409165089,55.52018349967608,0.991425991973756,55.0,,,55.04220809967713,,55.20955189361035,,55.49742937593349,,55.81809403750853,,56.03363409165089,
45.0,9.613594040968344,9.613594040968344,0.06732231099614512,-1,56.01634457398571,55.514806380760504,0.9684429116954973,55.0,,,55.047901662290215,,55.21041859316264,,55.492622859465925,,55.806744214898,,56.01634457398571,
46.0,9.613594040968344,9.613594040968344,0.06768763581710915,-1,55.998913778635654,55.509221887198734,0.945572850202204,55.0,,,55.05334092843345,,55.21107971772946,,55.48759406174215,,55.795180949452956,,55.998913778635654,
47.0,9.613594040968344,9.613594040968344,0.0680299577992664,-1,55.98135708362212,55.503443521096074,0.9228199402382415,55.0,,,55.05853714338388,,55.211546083717835,,55.48235690480057,,55.78342038995595,,55.98135708362212,
48.0,9.613594040968344,9.613594040968344,0.0683499663402487,-1,55.963689359338574,55.497484374020914,0.9001881164265839,55.0,,,55.06350124291199,,55.21182821286301,,55.47692488664717,,55.771478168343876,,55.963689359338574,
49.0,9.613594040968344,9.613594040968344,0.06864834007422715,-1,55.94592497653629,55.49135713281737,0.8776811194041301,55.0,,,55.06824385713216,,55.21193633453522,,55.47131108759284,,55.75936940829037,,55.94592497653629,
50.0,9.613594040968344,9.613594040968344,0.06892574672782625,-1,55.928077814509464,55.485074085601504,0.855302500009472,55.0,,,55.07277531449999,,55.211880388306895,,55.46552817674958,,55.74710873394159,,55.928077814509464,
51.0,9.613594040968344,9.613594040968344,0.06918284299620311,-1,55.91016126945505,55.47864712792167,0.8330556235124789,55.0,,,55.077105645942574,,55.21167002676017,,55.45958841866722,,55.73471027878332,,55.91016126945505,
52.0,9.613594040968344,9.613594040968344,0.06942027443819829,-1,55.892188262984284,55.472087769063975,0.810943673875606,55.0,,,55.08124458910868,,55.211314618515246,,55.45350368009301,,55.72218769461869,,55.892188262984284,
53.0,9.613594040968344,9.613594040968344,0.06963867538951551,-1,55.874171250763844,55.46540713848519,0.7889696580375443,55.0,,,55.0852015927263,,55.21082325146131,,55.44728543683763,,55.70955416063693,,55.874171250763844,
54.0,9.613594040968344,9.613594040968344,0.06983866889292226,-1,55.85612223126614,55.45861599235618,0.7671364102104192,55.0,,,55.08898582105572,,55.210204736172514,,55.440944780731826,,55.69682239255472,,55.85612223126614,
55.0,9.613594040968344,9.613594040968344,0.07002086664451049,-1,55.83805275460925,55.45172472020003,0.7454465961824894,55.0,,,55.09260615842676,,55.2094676094923,,55.434492426658885,,55.68400465181295,,55.83805275460925,
56.0,9.613594040968344,9.613594040968344,0.07018586895508695,-1,55.819973931468226,55.44474335160993,0.7239027176187065,55.0,,,55.09607121384952,,55.2086201382705,,55.427938719648964,,55.67111275481244,,55.819973931468226,
57.0,9.613594040968344,9.613594040968344,0.0703342647258148,-1,55.80189644204063,55.437681563032584,0.7025071163521446,55.0,,,55.099389325688485,,55.207670323238034,,55.42129364202209,,55.65815808217367,,55.80189644204063,
58.0,9.613594040968344,9.613594040968344,0.07046663143725275,-1,55.78383054505019,55.43054868460386,0.6812619786597978,55.0,,,55.102568566390396,,55.20662590300523,,55.41456682056742,,55.645151588006094,,55.78383054505019,
59.0,9.613594040968344,9.613594040968344,0.07058353515098423,-1,55.765786086773595,55.423353707024305,0.6601693395168056,55.0,,,55.10561674725679,,55.20549435817021,,55.407767533747084,,55.632103809173884,,55.765786086773595,
60.0,9.613594040968344,9.613594040968344,0.07068553052306231,-1,55.7477725100762,55.41610528846261,0.6392310868235285,55.0,,,55.108541423252674,,55.20428291552477,,55.40090471891373,,55.619024874545644,,55.7477725100762,
61.0,9.613594040968344,9.613594040968344,0.07077316082853188,-1,55.72979886344374,55.408811761476194,0.6184489656004786,55.0,,,55.11134989784326,,55.202998552345754,,55.39398697953154,,55.60592451421664,,55.72979886344374,
62.0,9.613594040968344,9.613594040968344,0.07084695799632217,-1,55.711873809997606,55.40148113993865,0.597824582146437,55.0,,,55.11404922785117,,55.20164800076063,,55.38702259239109,,55.59281206869279,,55.711873809997606,
63.0,9.613594040968344,9.613594040968344,0.07090744265383817,-1,55.69400563648243,55.39412112596434,0.5773594081554805,55.0,,,55.11664622832695,,55.200237752176605,,55.380019514809156,,55.579696498026564,,55.69400563648243,
64.0,9.613594040968344,9.613594040968344,0.07095512418061183,-1,55.67620226221544,55.38673911682116,0.5570547847891945,55.0,,,55.119147477426246,,55.19877406176334,,55.37298539180515,,55.56658639089563,,55.67620226221544,
65.0,9.613594040968344,9.613594040968344,0.07099050077040249,-1,55.65847124798771,55.37934221182337,0.536911926700455,55.0,,,55.12155932128726,,55.1972629529797,,55.36592756324645,,55.55348997361572,,55.65847124798771,
66.0,9.613594040968344,9.613594040968344,0.07101405950116602,-1,55.64081980490842,55.37193721919649,0.5169319260056753,55.0,,,55.12388787890274,,55.195710222135865,,55.35885307095539,,55.54041511908004,,55.64081980490842,
67.0,9.613594040968344,9.613594040968344,0.07102627641234201,-1,55.62325480318365,55.36453066290725,0.49711575620275283,55.0,,,55.126139046980896,,55.194121442982365,,55.35176866577131,,55.52736935561802,,55.62325480318365,
68.0,9.613594040968344,9.613594040968344,0.07102761658893622,-1,55.605782780822196,55.357128789451814,0.47746427603205177,55.0,,,55.128318504790144,,55.1925019713183,,55.3446808145615,,55.51435987576693,,55.605782780822196,
69.0,9.613594040968344,9.613594040968344,0.07101853425189684,-1,55.58840995226129,55.34973757459628,0.4579782332783324,55.0,,,55.130431718982955,,55.1908569496115,,55.337595707175325,,55.50139354495034,,55.58840995226129,
70.0,9.613594040968344,9.613594040968344,0.07099947285431855,-1,55.57114221690582,55.34236273006368,0.43865826851151013,55.0,,,55.13248394839431,,55.189191311623766,,55.3305192633364,,55.48847691005812,,55.57114221690582,
71.0,9.613594040968344,9.613594040968344,0.07097086518302018,-1,55.55398516757527,55.33500971016233,0.4195049187646376,55.0,,,55.13448024881063,,55.18750978703485,,55.32345713946793,,55.475616207922975,,55.55398516757527,
72.0,9.613594040968344,9.613594040968344,0.07093313346507533,-1,55.53694409885295,55.32768371835076,0.4005186211475049,55.0,,,55.136425477705444,,55.18581690605927,,55.316414735446955,,55.4628173736892,,55.53694409885295,
73.0,9.613594040968344,9.613594040968344,0.07088668947889251,-1,55.52002401533282,55.32038971373488,0.38169971639467803,55.0,,,55.138324298938144,,55.18411700405046,,55.309397201283375,,55.450086049069625,,55.52002401533282,
74.0,9.613594040968344,9.613594040968344,0.07083193466946379,-1,55.50322963975954,55.313132417493385,0.3630484523468098,55.0,,,55.14018118741273,,55.18241422608702,,55.302409443720315,,55.43742759048735,,55.50322963975954,
75.0,9.613594040968344,9.613594040968344,0.07076926026742027,-1,55.48656542105781,55.30591631922782,0.3445649873644214,55.0,,,55.14200043369339,,55.180712531536514,,55.29545613275239,,55.424847077098995,,55.48656542105781,
76.0,9.613594040968344,9.613594040968344,0.0706990474115565,-1,55.4700355422477,55.29874568323403,0.32624939367340744,55.0,,,55.14378614857429,,55.17901569859222,,55.28854170805907,,55.41234931869688,,55.4700355422477,
77.0,9.613594040968344,9.613594040968344,0.07062166727449717,-1,55.45364392824274,55.291624554692135,0.30810166064172506,55.0,,,55.145542267601016,,55.17732732877882,,55.2816703853504,,55.39993886348769,,55.45364392824274,
78.0,9.613594040968344,9.613594040968344,0.07053748119120448,-1,55.43739425352825,55.28455676577229,0.29012169798687637,55.0,,,55.14727255554137,,55.17565085142342,,55.27484616262284,,55.38762000574559,,55.43739425352825,
79.0,9.613594040968344,9.613594040968344,0.07044684079003569,-1,55.42128994971745,55.277545941654054,0.27230933891394926,55.0,,,55.1489806108035,,55.17398952808815,,55.26807282632308,,55.37539679333808,,55.42128994971745,
80.0,9.607076350093111,9.607076350093111,0.07035008812608023,-1,55.40533421298348,55.27059550645712,0.25466434318408204,55.0,,,55.1506698697994,,55.17234645696148,,55.26135395741803,,55.36327303512319,,55.40533421298348,
81.0,9.58100558659218,9.58100558659218,0.07024578485192308,-1,55.38950614913592,55.26368482685217,0.23718640011341563,55.0,,,55.1523197490225,,55.17070071497546,,55.25466907513987,,55.35122844598709,,55.38950614913592,
82.0,9.58100558659218,9.58100558659218,0.0701289823248584,-1,55.37373815928655,55.25674638951551,0.2198755445080991,55.0,,,55.153862614778454,,55.168984429264604,,55.24795081422328,,55.33919593002465,,55.37373815928655,
83.0,9.608542830540038,9.608542830540038,0.07000723163819868,-1,55.35813301504122,55.249882470168004,0.20273296803398466,55.0,,,55.155400047007234,,55.16729923952341,,55.241301593442685,,55.3272784558255,,55.35813301504122,
84.0,9.613594040968344,9.613594040968344,0.0698883169975173,-1,55.3427936796698,55.24319641903846,0.1857580946326891,55.0,,,55.157035585037114,,55.16574832070729,,55.23482490364818,,55.31557960612992,,55.3427936796698,
85.0,9.613594040968344,9.613594040968344,0.06976626173850785,-1,55.32763471655634,55.23660408230751,0.1689485544027889,55.0,,,55.15868616215355,,55.164247813373635,,55.22843672919703,,55.30401499025699,,55.32763471655634,
86.0,9.613594040968344,9.613594040968344,0.06963995038798268,-1,55.31263860626537,55.2300885086353,0.152303400570311,55.0,,,55.160335205695056,,55.16278071911307,,55.222120251988635,,55.29256776011436,,55.31263860626537,
87.0,9.613594040968344,9.613594040968344,0.06950966161811808,-1,55.29780709784896,55.223651875171754,0.136457984367091,55.0,,,55.16198513611229,,55.16134911348187,,55.21587777857029,,55.28124024984531,,55.29780709784896,
88.0,9.613594040968344,9.613594040968344,0.06937566566156617,-1,55.283141759889354,55.21729620222726,0.12318681778921814,55.0,,,55.16363824476456,,55.159954942100136,,55.209711455180475,,55.270034609201794,,55.283141759889354,
89.0,9.613594040968344,9.613594040968344,0.06923822445496668,-1,55.26864398675952,55.21102335834371,0.11004396219843215,55.0,,,55.165296697728415,,55.15860002456109,,55.2036232729209,,55.25895280974863,,55.26864398675952,
90.0,9.613594040968344,9.613594040968344,0.0690975917827535,-1,55.25431500475399,55.2048350652682,0.09702894647418248,55.0,,,55.16696253954182,,55.15728605827981,,55.197615072828,,55.24799665093737,,55.25431500475399,
91.0,9.613594040968344,9.613594040968344,0.06895401342111743,-1,55.240155878090306,55.19873290282983,0.08414125580976872,55.0,,,55.16863769688355,,55.15601462228054,,55.19168855084411,,55.23716776605063,,55.240155878090306,
92.0,9.613594040968344,9.613594040968344,0.0688077272819914,-1,55.226467628017595,55.19271831371941,0.07168044709585786,55.0,,,55.17032398218752,,55.15478718092174,,55.18584526268853,,55.226467628017595,,55.2261675147817,
93.0,9.613594040968344,9.613594040968344,0.06865896355693585,-1,55.21589755510167,55.18679260817247,0.06229246754352147,55.0,,,55.17202309719199,,55.15360508755815,,55.180086628628814,,55.21589755510167,,55.21235067238173,
94.0,9.613594040968344,9.613594040968344,0.06850794486080496,-1,55.205458716461365,55.18095696855572,0.052989128322018075,55.0,,,55.17373663642349,,55.15246958813935,,55.17441393815276,,55.205458716461365,,55.198705963601654,
95.0,9.613594040968344,9.613594040968344,0.06835488637509081,-1,55.19515213758544,55.17521245385767,0.04377031284113286,55.0,,,55.175466090615515,,55.151381824744306,,55.16882835454167,,55.19515213758544,,55.185233861801436,
96.0,9.63445065176909,9.63445065176909,0.0681999959908351,-1,55.18497870560352,55.1695600040836,0.03463586655188777,55.0,,,55.17721285006199,,55.15034283905163,,55.16333091934538,,55.18497870560352,,55.171934706355486,
97.0,9.646182495344508,9.646182495344508,0.06804914288679607,-1,55.17905458521818,55.16407682186813,0.02962463216055511,55.0,,,55.17905458521818,,55.14942995305763,,55.15799893407233,,55.175015551785926,,55.158885085206556,
98.0,9.643901303538176,9.643901303538176,0.06789991849831903,-1,55.18095653243161,55.15872701466702,0.03490870018757164,55.0,,,55.18095653243161,,55.14860773538907,,55.15279660320472,,55.165226370065675,,55.14604783224404,
99.0,9.613594040968344,9.613594040968344,0.06774863139922623,-1,55.182867079857445,55.15345813049568,0.04949756520034754,55.0,,,55.182867079857445,,55.14782406005019,,55.147671568853504,,55.15555842906015,,55.1333695146571,
100.0,9.613594040968344,9.613594040968344,0.06758785890406231,-1,55.18468497104541,55.14816850248171,0.06393705247426595,55.0,,,55.18468497104541,,55.1469773784931,,55.142522255266194,,55.1459099890327,,55.12074791857114,
101.0,9.613594040968344,9.613594040968344,0.0674261922249273,-1,55.186525932618736,55.142974292478854,0.0782264234519161,55.0,,,55.186525932618736,,55.14618355185784,,55.137464912113536,,55.13639755663734,,55.10829950916682,
102.0,9.583286778398511,9.583286778398511,0.06726379875546808,-1,55.18839081837465,55.13787581151314,0.09236689423784128,55.0,,,55.18839081837465,,55.14544308658901,,55.13249993703108,,55.127021291434154,,55.09602392413681,
103.0,9.576280260707636,9.576280260707636,0.06709260637998254,-1,55.19016946807216,55.13276234450812,0.10635970200047495,55.0,,,55.19016946807216,,55.14464547597837,,55.127516699297345,,55.11767031312106,,55.08380976607169,
104.0,9.548417132216017,9.548417132216017,0.06691927892475197,-1,55.191951596275224,55.12772396850041,0.12020424478052405,55.0,,,55.191951596275224,,55.14388055038838,,55.12260535717344,,55.10843498717034,,55.0717473514947,
105.0,9.529678770949722,9.529678770949722,0.06673834390270317,-1,55.19366232735861,55.12268541418306,0.13390143130405363,55.0,,,55.19366232735861,,55.14307317727364,,55.11769072125924,,55.09923994896923,,55.059760896054556,
106.0,9.515828677839853,9.515828677839853,0.06655258612659598,-1,55.195338947038515,55.11768419381825,0.14745092601063448,55.0,,,55.195338947038515,,55.142260699267766,,55.11281038105546,,55.09012292070168,,55.04788802102788,
107.0,9.515828677839853,9.515828677839853,0.06636357819624397,-1,55.197001966456355,55.11274072847482,0.16085302433565118,55.0,,,55.197001966456355,,55.14146353005729,,55.10798483320529,,55.08110437053446,,55.036148942120704,
108.0,9.515828677839853,9.515828677839853,0.06617528729096411,-1,55.1987039253387,55.10790729185677,0.17410837117164846,55.0,,,55.1987039253387,,55.140734028414805,,55.10326642521501,,55.072236526148274,,55.02459555416705,
109.0,9.501652700186222,9.501652700186222,0.06598783571361853,-1,55.20044494276968,55.10318329530495,0.18721849282761838,55.0,,,55.20044494276968,,55.14007191712265,,55.09865464073026,,55.063518525960085,,55.01322644994206,
110.0,9.483240223463689,9.483240223463689,0.06579749524387203,-1,55.202173272635534,55.09851627996361,0.2001849229574617,55.0,,,55.202173272635534,,55.13942505706037,,55.09409709132836,,55.05489762911569,,55.00198834967807,
111.0,9.455051210428309,9.455051210428309,0.06560331243881869,-1,55.203875191626544,55.09389223518699,0.21300834121490908,55.0,,,55.203875191626544,,55.138779549230996,,55.08957983460684,,55.04635975005893,,54.990866850411635,
112.0,9.41806331471136,9.41806331471136,0.06540285268968642,-1,55.20551719307945,55.089277476368146,0.22568920583099583,55.0,,,55.20551719307945,,55.138101769494675,,55.08506925236676,,55.03787117965144,,54.979827987248456,
113.0,9.41806331471136,9.41806331471136,0.06519400135139236,-1,55.207070489642895,55.08464331115389,0.23822742637081973,55.0,,,55.207070489642895,,55.13736295214617,,55.08053671675058,,55.02940333395772,,54.968843063272075,
114.0,9.401443202979518,9.401443202979518,0.06498708690650348,-1,55.208674301188566,55.08012928777708,0.25062244303516223,55.0,,,55.208674301188566,,55.13670245699878,,55.07612183867562,,55.021095983869074,,54.958051858153404,
115.0,9.385474860335195,9.385474860335195,0.064777696732219,-1,55.2102675583873,55.075673511163565,0.26287600343530215,55.0,,,55.2102675583873,,55.136058780391856,,55.0717627850895,,55.012886876997136,,54.947391554952,
116.0,9.354841713221605,9.354841713221605,0.06456618749487829,-1,55.21185420477453,55.07127959936372,0.27498885171402065,55.0,,,55.21185420477453,,55.13543568611306,,55.06746323408182,,55.004779518788666,,54.93686535306051,
117.0,9.352886405959032,9.352886405959032,0.0643487630047961,-1,55.21338219112436,55.06689514145156,0.2869618022631357,55.0,,,55.21338219112436,,55.13478093019901,,55.06317083326828,,54.996721363804966,,54.926420388861224,
118.0,9.340828677839852,9.340828677839852,0.06413343175231047,-1,55.214959160881875,55.06262784378519,0.29879481757074444,55.0,,,55.214959160881875,,55.13420217626356,,55.05899334575272,,54.98882019271665,,54.91616434331113,
119.0,9.32029795158287,9.32029795158287,0.0639175385875107,-1,55.21654778643297,55.05843955322912,0.3104896359309848,55.0,,,55.21654778643297,,55.13366167479178,,55.05489267435836,,54.981037480060486,,54.906058150501984,
120.0,9.32029795158287,9.32029795158287,0.06369892446748444,-1,55.21811789254814,55.05429957249485,0.3220473862485278,55.0,,,55.21811789254814,,55.133128984647975,,55.0508381761076,,54.973342302870876,,54.896070506299615,
121.0,9.287220670391063,9.287220670391063,0.06348331501215061,-1,55.219745919291356,55.050284063916045,0.33346870645750926,55.0,,,55.219745919291356,,55.13268040517477,,55.04690606609876,,54.96581071618145,,54.886277212833846,
122.0,9.255121042830542,9.255121042830542,0.0632618223795058,-1,55.22131049336445,55.04627074728196,0.34475549155801843,55.0,,,55.22131049336445,,55.13219411016628,,55.04297411597481,,54.95832001509782,,54.87655500180643,
123.0,9.255121042830542,9.255121042830542,0.06303495382491697,-1,55.222818313008624,55.042266404313104,0.35590765274255176,55.0,,,55.222818313008624,,55.131676844142234,,55.03904915733718,,54.95087704681139,,54.86691066026607,
124.0,9.233612662942274,9.233612662942274,0.0628116054354077,-1,55.22438902989727,55.03839071224577,0.3669252152452884,55.0,,,55.22438902989727,,55.13124827656992,,55.03525091610008,,54.94360152400957,,54.85746381465198,
