time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,mean_temperature_C,gradient_C,reference_temperature_C,safe_temperature_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,5.689944134078211,0.01609198279411443,-1,56.344319167389415,55.28967909800521,2.01214223764093,55.0,,,54.332176929748485,54.582176929748485,54.774501300954036,54.798175604672814,55.21682567215959,55.21682567215959,55.7805724197745,55.6555724197745,56.344319167389415,56.356917619893515
1.0,7.106564245810056,6.395907821229051,0.02065785204714908,-1,56.344009756844066,55.300815486477845,1.9912752262481845,55.0,,,54.35273453059588,54.64470214921469,54.786735226814294,54.8745855823612,55.229978159501435,55.273966855236246,55.79061975863356,55.70880836893964,56.344009756844066,56.40667381802701
2.0,9.613594040968344,8.65223463687151,0.016332109946653055,-1,56.34346208640861,55.312163917057134,1.9694830047551761,55.0,,,54.37397908165343,54.592728989120275,54.79964363287067,54.84407317439252,55.243283043279895,55.21014691684258,55.80045174107311,55.519347146732564,56.34346208640861,56.26952823193184
3.0,9.613594040968344,8.65223463687151,0.018155798932734012,-1,56.35502047549925,55.33485274809355,1.94917895376026,55.0,,,54.40584152173899,54.61483892272397,54.82374012155954,54.86470780323455,55.267857542256515,55.230474486060984,55.82180407941348,55.61387730470254,56.35502047549925,56.30948216176405
4.0,9.613594040968344,8.65223463687151,0.00997019016149996,-1,56.3654854953415,55.35653205876122,1.9286768739634326,55.0,,,54.43680862137807,54.512771281778384,54.8470859664069,54.826611705283376,55.29136384391761,55.11552472176929,55.84191636676199,55.44280170951055,56.3654854953415,56.22911333318987
5.0,9.613594040968344,8.65223463687151,0.007502185238162433,-1,56.38171663149205,55.38270212601291,1.9106756746751046,55.0,,,54.47104095681694,54.444332418866466,54.87449221429782,54.80560742554714,55.31929032238604,55.07993681218416,55.86697050507165,55.66238473854914,56.38171663149205,56.32996371501193
6.0,9.613594040968344,8.65223463687151,0.02061042214473989,-1,56.39978190795938,55.41022455878058,1.8936001980327575,55.0,,,54.50618170992662,54.62979205123762,54.90320304352801,54.9036258696053,55.34850976801711,55.254944301596815,55.893446364471735,55.7925585193624,56.39978190795938,56.3828110948594
7.0,9.613594040968344,8.65223463687151,0.019109348517005187,-1,56.40898550865863,55.430522341561336,1.8732422453375506,55.0,,,54.53574326332108,54.600032087462345,54.925694493538934,54.89594394155278,55.37046854023638,55.22956861464632,55.91171990205166,55.79686753765007,56.40898550865863,56.38499924829863
8.0,9.613594040968344,8.65223463687151,0.029161281705416108,-1,56.41936430718299,55.45163859393158,1.8535614154890965,55.0,,,54.56580289169389,54.74833400582673,54.949008565921574,54.98221684530423,55.393191396582345,55.36037239190828,55.930825808277085,55.87908616516016,56.41936430718299,56.414767997043
9.0,9.613594040968344,8.65223463687151,0.0371557823266976,-1,56.42297863065347,55.46720032991004,1.8314453162229754,55.0,,,54.59153331443049,54.85021405624997,54.96755094825508,55.04739688218033,55.410322225437596,55.460811725271384,55.94361653077356,55.98952192625721,56.42297863065347,56.462719880139154
