controller,mean_maximum_hotspot_after_60s_C,mean_hotspot_violation_rmse_C,mean_gradient_rmse_C,mean_temperature_tracking_rmse_C,mean_fan_energy_proxy_duty2_h,total_direction_switches,mean_direction_switch_cost_proxy,mean_absolute_duty_rate_per_s
AuthorMeasured-PI-SMC,82.04580404306844,11.471104298082805,0.42978148226192875,11.381958525373957,0.007361628163919913,22,44.0,0.00011159001433823797
FiveNodeMean-PI-SMC,82.50611415693932,11.691911750315509,0.8325971420447758,11.383883559046074,0.0073558576916818415,21,42.0,0.00019514156552609332
Hotspot-MPC,83.96614833495607,12.367098029321552,0.6189874629974196,12.14891438668456,0.007119444444444443,24,48.0,0.0060416666666666665
SparseSensor-PI-SMC,82.47768400704558,11.721478141089712,0.8326589672444998,11.415277531656153,0.007317853463980161,21,42.0,0.00021354756749978837
