time_s,current_A,preview_current_A,fan_duty,direction,hotspot_C,mean_temperature_C,gradient_C,reference_temperature_C,safe_temperature_C,objective,true_T1_C,estimated_T1_C,true_T2_C,estimated_T2_C,true_T3_C,estimated_T3_C,true_T4_C,estimated_T4_C,true_T5_C,estimated_T5_C
0.0,6.32216014897579,6.32216014897579,0.01609198279411443,-1,56.344319167389415,55.28967909800521,2.01214223764093,55.0,,,54.332176929748485,,54.774501300954036,,55.21682567215959,,55.7805724197745,,56.344319167389415,
1.0,7.106564245810056,7.106564245810056,0.017693393209907794,-1,56.34412220954283,55.30413850953689,1.9855756381518503,55.0,,,54.35854657139098,,54.78998341777872,,55.23402331389656,,55.79401703507534,,56.34412220954283,
2.0,9.613594040968344,9.613594040968344,0.01947992011543172,-1,56.34629888935473,55.32086567934789,1.9591613932075234,55.0,,,54.387137496147204,,54.8081164543967,,55.253367840372825,,55.80940771646801,,56.34629888935473,
3.0,9.613594040968344,9.613594040968344,0.021975402110886295,-1,56.357825052154276,55.346868614039735,1.932835322862239,55.0,,,54.42498972929204,,54.83589908418632,,55.28187415944653,,55.833755045119545,,56.357825052154276,
4.0,9.613594040968344,9.613594040968344,0.024410114233522618,-1,56.3680395328534,55.371583745336544,1.9064034445745506,55.0,,,54.46163608827885,,54.862792887004055,,55.308985814198,,55.85646440434844,,56.3680395328534,
5.0,9.613594040968344,9.613594040968344,0.026784544515763502,-1,56.376973350329386,55.39504022979668,1.8798693465010246,55.0,,,54.49710400382836,,54.88880439144339,,55.3347375533862,,55.8775818499961,,56.376973350329386,
6.0,9.613594040968344,9.613594040968344,0.029099207754174333,-1,56.38465776167032,55.417267238562445,1.8532372141384599,55.0,,,54.53142054753186,,54.913941231106506,,55.35916378445105,,55.89715286805246,,56.38465776167032,
7.0,9.613594040968344,9.613594040968344,0.03135464470295513,-1,56.391124211144806,55.43829392784458,1.8265117720830801,55.0,,,54.564612439061726,,54.938212058141936,,55.382298569541284,,55.91522236133317,,56.391124211144806,
8.0,9.613594040968344,9.613594040968344,0.03355142118200448,-1,56.396404280989,55.45814941025325,1.7996982289546182,55.0,,,54.596706052034385,,54.96162646098322,,55.40417562047141,,55.93183463678821,,56.396404280989,
9.0,9.613594040968344,9.613594040968344,0.03569012711286933,-1,56.40052964405972,55.47686272703227,1.77280222537739,55.0,,,54.62772741868233,,54.98419488613323,,55.42482829280891,,55.947033393477184,,56.40052964405972,
10.0,9.613594040968344,9.613594040968344,0.037771375494771386,-1,56.403532018390806,55.494462821245826,1.7458297849108746,55.0,,,54.65770223347993,,55.005928563843725,,55.44428957927342,,55.96086171124124,,56.403532018390806,
11.0,9.625488826815644,9.625488826815644,0.039795801331857936,-1,56.4054431236791,55.51097851195768,1.718787267822968,55.0,,,54.68665585585613,,55.026839437544524,,55.462592102612106,,55.97336204009655,,56.4054431236791,
12.0,9.627281191806333,9.627281191806333,0.04176773394873033,-1,56.40634413599463,55.526487965714615,1.6916813275999445,55.0,,,54.714662808394685,,55.04698959315934,,55.479817604376656,,55.98462568664777,,56.40634413599463,
13.0,9.639501862197395,9.639501862197395,0.04368465998064022,-1,56.406222227312185,55.540975707680516,1.6645179636843892,55.0,,,54.741704263627796,,55.06634846129938,,55.49595397552455,,55.994649610638646,,56.406222227312185,
14.0,9.613594040968344,9.613594040968344,0.04555048402584181,-1,56.40515197348681,55.5545131854556,1.6373041915116957,55.0,,,54.767847781975114,,55.08497291128067,,55.51107582817139,,56.003517432364,,56.40515197348681,
15.0,9.613594040968344,9.613594040968344,0.04735406852956066,-1,56.40300361301417,55.566967840722256,1.610046418071171,55.0,,,54.792957194943,,55.10271668959949,,55.52505358711336,,56.011108118941245,,56.40300361301417,
16.0,9.613594040968344,9.613594040968344,0.04910429463305352,-1,56.39992143741951,55.578479649415,1.5827541158254377,55.0,,,54.81716732159407,,55.1197059834274,,55.53803002939933,,56.01757347523473,,56.39992143741951,
17.0,9.613594040968344,9.613594040968344,0.050801905638866066,-1,56.39593637243197,55.589076205002016,1.555434838769635,55.0,,,54.840501533662334,,55.13595572716684,,55.55003539750806,,56.02295199424088,,56.39593637243197,
