case_id,medium_fine_Tmax_difference_C,medium_fine_Tmax_relative_percent,maximum_medium_fine_region_difference_C
1,0.11261584488674714,0.11818135891749619,0.1384777315644925
2,0.06829748648777922,0.10558451033532397,0.08220690443727108
3,0.05734698870887911,0.09582374886947764,0.07117808041819984
4,0.06214981176010781,0.09466495306361507,0.07843466937222843
5,0.012195404915537722,0.035100302169656365,0.01700255402885631
6,0.026320948205651007,0.0514342572368523,0.036831686208167014
