parameter,bootstrap_median,bootstrap_2p5,bootstrap_97p5,CI_width_fraction_of_prior_bound
h0_W_m2K_at_8m_s,86.33685734970007,80.11056304852816,93.82249057583324,0.0458592893889802
velocity_exponent_m,0.6550642920808578,0.5852918343206812,0.7031700270882576,0.08419870911969743
downstream_cooling_bias_beta,1.0179650066855335,-1.5318035997949988,2.236713222858467,0.23553230141584164
heat_source_skew_eta,-0.16292215521976477,-0.6182323244487593,0.8081240393334695,0.7507138756748574
