profile_parameter,fixed_value,rss_C2,h0_W_m2K_at_8m_s,velocity_exponent_m,downstream_cooling_bias_beta,heat_source_skew_eta
h0_W_m2K_at_8m_s,64.83329934335754,340.6340782675717,64.83329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,72.80663267669087,128.1299486126885,72.80663267669087,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,80.77996601002421,27.66423055268118,80.77996601002421,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,88.75329934335754,0.3107558523109884,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,96.72663267669087,21.000905682892107,96.72663267669087,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,104.69996601002421,73.24851707416377,104.69996601002421,0.6572949080566769,1.3679347347371371,-0.3118665087792232
h0_W_m2K_at_8m_s,112.67329934335754,146.02443246245272,112.67329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.5452949080566769,10.91344575630015,88.75329934335754,0.5452949080566769,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.5826282413900102,5.085069848301909,88.75329934335754,0.5826282413900102,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.6199615747233436,1.5198536353883292,88.75329934335754,0.6199615747233436,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.6572949080566769,0.3107558523109884,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.6946282413900102,1.5509044853134326,88.75329934335754,0.6946282413900102,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.7319615747233436,5.33339657913794,88.75329934335754,0.7319615747233436,1.3679347347371371,-0.3118665087792232
velocity_exponent_m,0.7692949080566769,11.75108835484424,88.75329934335754,0.7692949080566769,1.3679347347371371,-0.3118665087792232
downstream_cooling_bias_beta,0.08793473473713709,184.42563204487288,88.75329934335754,0.6572949080566769,0.08793473473713709,-0.3118665087792232
downstream_cooling_bias_beta,0.5146014014038038,80.30878830693402,88.75329934335754,0.6572949080566769,0.5146014014038038,-0.3118665087792232
downstream_cooling_bias_beta,0.9412680680704705,19.71435644215874,88.75329934335754,0.6572949080566769,0.9412680680704705,-0.3118665087792232
downstream_cooling_bias_beta,1.3679347347371371,0.3107558523109884,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
downstream_cooling_bias_beta,1.7946014014038039,18.186948229577514,88.75329934335754,0.6572949080566769,1.7946014014038039,-0.3118665087792232
downstream_cooling_bias_beta,2.2212680680704704,68.27715300175618,88.75329934335754,0.6572949080566769,2.2212680680704704,-0.3118665087792232
downstream_cooling_bias_beta,2.647934734737137,144.84332320499385,88.75329934335754,0.6572949080566769,2.647934734737137,-0.3118665087792232
heat_source_skew_eta,-0.4638665087792232,18.850353355333397,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.4638665087792232
heat_source_skew_eta,-0.4131998421125565,8.541128119483428,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.4131998421125565
heat_source_skew_eta,-0.36253317544588987,2.366011809104445,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.36253317544588987
heat_source_skew_eta,-0.3118665087792232,0.3107558523109884,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
heat_source_skew_eta,-0.26119984211255654,2.361407840263096,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.26119984211255654
heat_source_skew_eta,-0.21053317544588984,8.50429401270081,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.21053317544588984
heat_source_skew_eta,-0.15986650877922318,18.726003501836214,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.15986650877922318
