replicate,success,rss_C2,h0_W_m2K_at_8m_s,velocity_exponent_m,downstream_cooling_bias_beta,heat_source_skew_eta
0,True,0.44628609231708866,85.39283909404665,0.6486187977257318,1.604625081943646,-0.4224404693911759
1,True,0.536686847618428,83.78137175270525,0.6592744117423839,1.8157026537290175,-0.5059927682995174
2,True,1.0656439877282038,83.37864023094053,0.6616242431284479,-1.2099802817893213,0.6789848805392795
3,True,2.510811002632437,82.82595716108287,0.619210232661212,-1.272986488057958,0.7089158384026878
4,True,0.6989715503060461,83.12410626504129,0.6703599633132106,2.0733250957259775,-0.5590838027018737
5,True,0.9467824211456313,94.15211143106026,0.6934424904687926,0.5324061963781687,0.010049597014936951
6,True,0.28736139254696,86.08654016287213,0.6007369170805903,1.3625426999408443,-0.3003177268885198
7,True,0.3227846917610937,89.30146520548593,0.7105472925768471,1.7622117973364755,-0.44142332117643496
8,True,0.9859099375910765,86.95313400110847,0.6017130481750224,-0.6407835638482497,0.46812715648592645
9,True,2.0060896064614218,86.587174536528,0.6515549891652744,1.6438902570429417,-0.42947557303328626
10,True,0.13460567412323396,84.82446801265486,0.6811741683916639,-1.3600812257110744,0.714516226260715
11,True,1.2890393514398888,83.20427266224705,0.6079020284543782,-0.969853092471661,0.6164989778656366
12,True,1.1119836032622878,79.02175358903015,0.6725009499639263,2.280610277296008,-0.617992042052458
13,True,0.15166645304578594,87.84732040140737,0.7003717539718961,1.7692973985845002,-0.4356780257084645
14,True,0.1666340768931373,89.78119749942996,0.6027038959935335,0.8864685141521899,-0.14083528373066498
15,True,0.28929157453884286,83.72005947502338,0.6467066174965422,-1.0602498074284643,0.6986390980552081
16,True,0.41526607855642533,86.90928592550209,0.6879767412316765,1.682805164479614,-0.4252418686519439
17,True,0.32377899757991013,90.15549130703063,0.6585735949964413,-0.5704426659738464,0.4829453950425315
18,True,0.14534181216798708,87.54223955009346,0.5896213052301562,1.2182675594785968,-0.21258361294185735
19,True,1.4902838677751173,89.52929791640331,0.6620722007483204,1.149461499218877,-0.2537781912173814
20,True,1.96527764342054,89.22601297955752,0.6586855238349723,1.2731303360610244,-0.3024712970386786
21,True,0.1645952114085079,84.47573356553772,0.6308201103716636,-1.052645832615858,0.6546645899480886
22,True,0.7584456543860386,81.17324406650515,0.688066263577056,-1.5886386456377033,0.8042904897598632
23,True,0.10472240846438113,93.69746197557473,0.6850888525941975,1.1595928867321863,-0.18500902670886457
24,True,0.024853546666119185,80.52355974006188,0.6421350739206989,-1.5102454789581108,0.8182306700275227
25,True,0.23701736733050544,82.0622402657195,0.6904474409646641,2.2200626160028483,-0.6188657962208265
26,True,0.0020822150813721925,87.88183281164768,0.6232415804971427,-0.7332959901182503,0.5386643716443914
27,True,1.6969009699683137,87.2662052226687,0.573877774650247,-0.3724938069239403,0.4084783402246027
28,True,0.039119653754792684,88.4169013395873,0.5981513461543901,1.4639287057332486,-0.2938228052966531
29,True,0.1824844204174037,85.42340526252019,0.650032324235896,-0.9731092012190616,0.6320171256458161
