start_index,success,rss_C2,calibration_RMSE_C,nfev,h0_W_m2K_at_8m_s,velocity_exponent_m,downstream_cooling_bias_beta,heat_source_skew_eta
15,True,0.3107558523109884,0.22757996847664647,12,88.75329934335754,0.6572949080566769,1.3679347347371371,-0.3118665087792232
1,True,0.31075585231114594,0.22757996847670417,9,88.75330157570959,0.6572949231950683,1.3679345525051352,-0.31186643459072044
3,True,0.3107558523111679,0.2275799684767122,16,88.75330281364185,0.6572949155343009,1.3679342731823803,-0.3118663345606752
0,True,0.3107558523115326,0.22757996847684572,9,88.75330325706136,0.6572949023195929,1.3679341372171256,-0.3118662808030681
5,True,0.3107558523117362,0.22757996847692027,10,88.75330459358953,0.6572949217963823,1.3679341570093653,-0.31186627915256976
9,True,0.31075585231273073,0.22757996847728448,18,88.75329203423387,0.6572949242835345,1.3679358678208047,-0.31186692432136637
14,True,0.3107558523132813,0.22757996847748604,9,88.75329248280372,0.6572949581015478,1.3679360320197858,-0.3118669839167409
6,True,0.3107558523145874,0.2275799684779643,13,88.75329033657597,0.6572949618326412,1.3679363357564012,-0.31186709862839906
2,True,0.3107558523147445,0.2275799684780218,16,88.75329004396701,0.657294960722441,1.3679363742441946,-0.3118671155053715
4,True,0.3107558523161154,0.22757996847852383,11,88.75331256718307,0.6572949184541328,1.3679330858048329,-0.3118658694947772
7,True,0.31075585231622954,0.2275799684785656,10,88.75331089427905,0.6572948660250705,1.367932858699428,-0.3118658066382493
10,True,0.4726012893970696,0.2806543809851866,15,86.39373903439055,0.6370658910568636,-0.8446678743637093,0.5746070321847841
13,True,0.47260128939726276,0.280654380985244,14,86.39373901689609,0.6370658848610126,-0.8446678518663027,0.5746070250900309
11,True,0.47260128939728785,0.2806543809852514,17,86.3937314604424,0.637065876604226,-0.8446686876094609,0.5746073396436787
12,True,0.4726012893976633,0.2806543809853629,16,86.3937322347153,0.6370658522024063,-0.8446684012750437,0.5746072335433816
8,True,0.4726012893977736,0.28065438098539564,12,86.3937427707131,0.6370658903174338,-0.8446674059968816,0.5746068614927107
