time_s,current_A,true_T1_C,EKF_T1_C,true_T2_C,EKF_T2_C,true_T3_C,EKF_T3_C,true_T4_C,EKF_T4_C,true_T5_C,EKF_T5_C,true_hotspot_C,EKF_hotspot_C
0.0,6.512357391280534,54.32986247765755,54.406041747596156,54.7620796216746,54.50208359511448,55.19429676569165,55.38190956464326,55.761620086171945,55.99676126526975,56.32894340665225,55.84118460948879,56.32894340665225,55.99676126526975
1.0,7.2283151906013785,54.34861866640623,54.42590519222392,54.774518707368344,54.724477607779505,55.20781799994261,55.39026860852038,55.77266920517302,55.783646876882806,56.33188326614331,55.848121849181055,56.33188326614331,55.848121849181055
2.0,7.862727466147609,54.369004182481774,54.437851489927105,54.78870648689509,54.71624938499106,55.22288374702989,55.40550462912707,55.785172513443236,55.83940272711503,56.33639480937171,55.8715661165855,56.33639480937171,55.8715661165855
3.0,8.415594217919224,54.39076558874588,54.493447952867385,54.80437763218348,54.78934315413438,55.23922802862138,55.44184031080966,55.79885874858639,55.8353792050633,56.342196215228476,55.87499152581313,56.342196215228476,55.87499152581313
4.0,8.886915445916225,54.413645009604274,54.559518843037296,54.82126352921267,54.84792167368204,55.25658220391017,55.50181105339085,55.8134548567029,55.852787373701894,56.34900497422165,55.895166623313635,56.34900497422165,55.895166623313635
5.0,9.27669115013861,54.43738180815131,54.53128288694523,54.83909395407692,54.84151761397552,55.2746766868864,55.47264548010239,55.82868773717766,55.86532199866024,56.35653963584829,55.913624864328504,56.35653963584829,55.913624864328504
6.0,9.584921330586381,54.46171407227367,54.50047556075562,54.857598552858825,54.84125102532573,55.293242460234325,55.46866135435627,55.84428577746047,55.8898607305582,56.36452134019504,55.96173733267967,56.36452134019504,55.96173733267967
7.0,9.811605987259588,54.48637998190552,54.52982812080871,54.87650819812554,54.864005211248376,55.312012459247754,55.460886406663754,55.8599802518253,55.89012250281175,56.37267520845134,55.94466501840386,56.37267520845134,55.94466501840386
8.0,9.865176023997963,54.51111909820395,54.512393334870765,54.89555626319008,54.87534819309532,55.33072286725776,55.495949973977304,55.87550662595311,55.921501220796834,56.380731634614506,56.023699937871356,56.380731634614506,56.023699937871356
9.0,9.745221241268368,54.53538989162763,54.54064226235487,54.91419613135787,54.89496851585923,55.348830640023714,55.47179301453717,55.89032208501128,55.916503202551084,56.38814379634979,55.98591706445061,56.38814379634979,55.98591706445061
10.0,9.615179373425399,54.55866016646028,54.547420920824045,54.9318925733753,54.91131644273592,55.36580588611368,55.49223949098811,55.90389894075419,55.932304751348006,56.394382054903474,56.02185830154997,56.394382054903474,56.02185830154997
11.0,9.61375506627237,54.58091636579418,54.60192069594452,54.94863099996159,54.94085572504031,55.38164111564709,55.5377050766617,55.9162338615303,55.945725917773174,56.39944313045754,56.040954821894395,56.39944313045754,56.040954821894395
12.0,9.613496275605264,54.602572917433115,54.63546107922783,54.96482501126618,54.972777519909684,55.39675700018341,55.65110203831674,55.92775176948475,55.99266166686539,56.40375213326023,56.169913818638804,56.40375213326023,56.169913818638804
13.0,9.613479981378077,54.62364209395027,54.63525017517532,54.98048478717909,54.97959018914827,55.41116926805568,55.59839290232551,55.93847118710505,55.97978249371462,56.407326387771164,56.11605641004607,56.407326387771164,56.11605641004607
14.0,9.613532624265915,54.64413333913087,54.601258307192865,54.99561779103273,54.98129745626422,55.42489080041931,55.587771295866574,55.94840777041256,55.990683171726054,56.410180401145595,56.149696069684104,56.410180401145595,56.149696069684104
15.0,9.613739435610995,54.664055634003816,54.69974474184757,55.010231139946654,55.02023707967575,55.43793401410399,55.62341776372805,55.9575766998533,55.99015602196841,56.41232826183747,56.114354157806794,56.41232826183747,56.114354157806794
16.0,9.613908644893334,54.683418298354816,54.67698278559378,55.02433240269213,55.01665472473617,55.4503116637079,55.56765170351714,55.965993482070296,55.97336213299641,56.413784440671286,56.068612057653866,56.413784440671286,56.068612057653866
17.0,9.614040252112929,54.70223012289095,54.725659515626894,55.03792872564095,55.04530760806773,55.462035968877636,55.616381725720764,55.973673074074256,55.9910884402164,56.41456291151917,56.1036229544356,56.41456291151917,56.1036229544356
18.0,9.614134257269782,54.720499965810134,54.77669225129948,55.05102742623364,55.06722465638849,55.473119212014005,55.61450663410378,55.98063048103031,55.9803897727946,56.41467774869841,56.06014770011855,56.41467774869841,56.06014770011855
19.0,9.614190660363896,54.738236744970344,54.79583001450065,55.06363598017194,55.08264523382775,55.48357372753443,55.62607687285153,55.98688074355182,55.98524739715609,56.41414311181119,56.06916066576297,56.41414311181119,56.06916066576297
20.0,9.614209461395266,54.75544943020341,54.80422550490782,55.07576200893843,55.09755015861586,55.49341189138705,55.65263972394875,55.99243892534811,56.00306184121677,56.41297323101383,56.11392175705819,56.41297323101383,56.11392175705819
21.0,9.614190660363896,54.7721470357806,54.814728947844976,55.08741326764524,55.11120077405592,55.5026461108238,55.67002364082084,55.99732010123096,56.01501903648448,56.41118239271925,56.14209903585972,56.41118239271925,56.14209903585972
22.0,9.614134257269782,54.78833861303631,54.82197484582139,55.0985976332132,55.120832236317334,55.51128881443882,55.673874082552466,56.00153934548367,56.01835500630392,56.40878492573574,56.1500693230557,56.40878492573574,56.1500693230557
23.0,9.614040252112929,54.804033243156,54.869553384039804,55.109323092882505,55.13839443019536,55.51935244247775,55.65716058887017,56.00511172059569,55.99168028106476,56.40579518784394,56.07911451967418,56.40579518784394,56.07911451967418
24.0,9.613908644893334,54.81924003013333,54.86358764217689,55.11959773305509,55.13919955184571,55.52684943742243,55.645406657478546,56.00805226636505,55.98451485305408,56.40222755281315,56.0694042987196,56.40222755281315,56.0694042987196
25.0,9.613739435610995,54.833968093901255,54.846689866343226,55.129429728468665,55.135589140740656,55.53379223485513,55.63499395411572,56.010375989369855,55.981202757707074,56.398096397857266,56.071882668681724,56.398096397857266,56.071882668681724
26.0,9.613532624265915,54.84822656364108,54.916584722779575,55.138827331701805,55.16795213797095,55.5401932546052,55.64788725985136,56.012097852809575,55.96955411914681,56.39341609152982,56.03568865128226,56.39341609152982,56.03568865128226
27.0,9.613479981378077,54.862024571272876,54.963261275486154,55.14779886300899,55.18772214976198,55.54606489218065,55.64167921855018,56.01323276671594,55.9455334868775,56.38820098205682,55.98160446661182,56.38820098205682,55.98160446661182
28.0,9.613496275605264,54.87537183617561,54.94686619670169,55.1563532915294,55.18553109837374,55.55142010153163,55.64306957166403,56.01379616957802,55.95321726039439,56.382465977150716,56.00749165447231,56.382465977150716,56.00749165447231
29.0,9.613594040968394,54.88827779154711,54.96062272771168,55.164499356309385,55.198984325122666,55.55627151554539,55.65957927221373,56.01380314568973,55.9683978002904,56.37622565758704,56.04012374850973,56.37622565758704,56.04012374850973
30.0,9.613594040968394,54.900751885939926,54.986199822104474,55.1722458655334,55.21398266900599,55.56063174769539,55.66425411818367,56.01326872678156,55.964450195212734,56.36949457811778,56.0330349255207,56.36949457811778,56.0330349255207
31.0,9.613594040968394,54.91280298558449,54.96500876589054,55.17960109564659,55.208499753551735,55.564512792495904,55.66726145389683,56.01220729145456,55.978569503144236,56.36228666519056,56.06917094915073,56.36228666519056,56.06917094915073
32.0,9.613594040968394,54.92444023551944,54.967433901984656,55.186573651372036,55.20766045241114,55.56792688885955,55.65373976982253,56.01063342967192,55.95759722901734,56.354616081804075,56.03651864244547,56.354616081804075,56.03651864244547
33.0,9.613594040968394,54.93567274584532,54.94309482278293,55.19317214809532,55.19323757116822,55.570886202823594,55.6378286456947,56.00856162365389,55.94376943839019,56.34649690586172,56.02255121262246,56.34649690586172,56.02255121262246
