time_s,stress_current_A,PI_SMC_Tmax_C,MPC_Tmax_C,PI_SMC_gradient_C,MPC_gradient_C,PI_SMC_duty,MPC_duty
0.0,8.140446739100668,56.32894340665225,56.32894340665225,1.999080928994701,1.999080928994701,0.013718772623376677,0.20326308288438877
1.0,9.035393988251723,56.33751363513783,56.22125038315657,1.9835021328087592,1.9374116635900762,0.015328909828232993,0.20326308288438877
2.0,9.828409332684512,56.34811337018332,56.11714692859482,1.9677068410464358,1.8764389198534417,0.017113543573719667,0.20326308288438877
3.0,10.51949277239903,56.36034044785635,56.01632109028747,1.951652199446798,1.816150772357311,0.019048878202891965,0.20326308288438877
4.0,11.10864430739528,56.37379257363107,55.918447550429875,1.935301656340421,1.756535611598892,0.021110336611029835,0.20326308288438877
5.0,11.595863937673263,56.38806996982978,55.823189810687005,1.9186250874389543,1.697582133601152,0.023272738352302053,0.20326308288438877
6.0,11.981151663232977,56.402777750462015,55.73020218876161,1.9015988745797614,1.6392793298799617,0.025510463836444237,0.20326308288438877
7.0,12.264507484074485,56.4175281212643,55.63913172108908,1.8842059417626942,1.5816164777642427,0.02779761104216173,0.20326308288438877
8.0,12.331470029997453,56.43194245609937,55.549620022968966,1.8664357503418714,1.5245831310565094,0.030108148071146316,0.20326308288438877
9.0,12.18152655158546,56.44525356484944,55.46090542983397,1.848284254544204,1.4681691110215525,0.0323878406766825,0.20326308288438877
10.0,12.018974216781748,56.45672383573661,55.37222504099784,1.8297605981394582,1.4123644976915344,0.034582976657404486,0.06836048495638757
11.0,12.017193832840462,56.466362884117366,55.36376862466098,1.8108868219992473,1.3884233365461256,0.036691080959860324,0.06836048495638757
12.0,12.01687034450658,56.47478323342416,55.355418642002824,1.7916854221843153,1.3646960023169896,0.038752230205900844,0.06836048495638757
13.0,12.016849976722597,56.482018828901275,55.34717825682865,1.7721691602289908,1.3411788731905858,0.040766857061218374,0.06836048495638757
14.0,12.016915780332393,56.488099470577765,55.339046668901226,1.7523506484204958,1.317868427165017,0.04273514626065934,0.06836048495638757
