time_s,digitized_paper_T1_C,reproduction_T1_C,digitized_paper_T2_C,reproduction_T2_C,digitized_paper_T3_C,reproduction_T3_C,fan_duty,airflow_direction
0.0,53.11856897030009,53.11856897030009,53.39187868789512,53.39187868789512,53.824767179202695,53.824767179202695,0.0,1
1.0,53.14202668311959,53.14984709097146,53.306858756066234,53.42265531632435,53.82643471360938,53.85293134591318,0.0,1
2.0,53.165919092144954,53.181122616005176,53.228153059499455,53.453422252187686,53.83025385923235,53.88110664784675,0.0,1
3.0,53.190246197376176,53.212395521617985,53.15576159819478,53.48417962612848,53.8362246160716,53.90929300067447,0.0,1
4.0,53.215007998813256,53.243665784707204,53.08968437215221,53.514927567160875,53.84434698412713,53.93749032101491,0.0,1
5.0,53.2402044964562,53.27493338284054,53.029921381371764,53.54566620269133,53.85462096339894,53.965698526422855,0.0,1
6.0,53.265835690305,53.30619829424602,52.97647262585342,53.57639565853989,53.867046553887036,53.99391753537803,0.0,1
7.0,53.291901580359664,53.337460497802155,52.929338105597175,53.607116058961196,53.881623755591406,54.02214726727407,0.0,1
8.0,53.31840216662018,53.36871997302811,52.88851782060305,53.637827526665184,53.89835256851206,54.0503876424076,0.0,1
9.0,53.345337449086564,53.39997670007409,52.854011770871026,53.66853018283751,53.917232992649,54.07863858196742,0.0,1
10.0,53.3727074277588,53.43123065971189,52.82581995640112,53.699224147159725,53.93826502800221,54.10690000802388,0.0,1
11.0,53.4005121026369,53.462481833325484,52.803942377193316,53.729909537829194,53.961448674571706,54.13517184351836,0.0,1
12.0,53.42875147372086,53.49373020290178,52.78837903324762,53.760586471578705,53.98678393235748,54.163454012252906,0.0,1
13.0,53.45742554101068,53.52497575102156,52.77912992456403,53.79125506369585,54.014270801359544,54.19174643887996,0.0,1
14.0,53.48653430450636,53.556218460850445,52.77619505114256,53.82191542804217,54.04390928157788,54.22004904889227,0.0,1
15.0,53.51607776420596,53.587458316130075,52.779574412981304,53.85256767707199,54.07569937301056,54.24836176861289,0.0,1
16.0,53.55014848728746,53.618695301169346,52.82437088337709,53.883211921851064,54.112104700791356,54.27668452518531,0.0,1
17.0,53.58411984710746,53.64992940083581,52.887128113043914,53.91384827207493,54.15080363610915,54.30501724656375,0.0,1
18.0,53.61732449198024,53.68116060054715,52.92250365826565,53.94447683608705,54.19172497857434,54.33335986150354,0.0,1
19.0,53.649933789761576,53.71238888626284,52.9605285616582,53.9750977208967,54.23372210347968,54.36171229955162,0.0,1
20.0,53.68255160394511,53.74361424447586,52.993524587661774,54.00571103219661,54.27709141837674,54.39007449103719,0.0,1
21.0,53.71493716789256,53.774836662204514,53.02928055940794,54.0363168743804,54.32290818108775,54.41844636706246,0.0,1
22.0,53.74711501455969,53.80605612698446,53.067370380340755,54.06691535055975,54.370802188854796,54.4468278594935,0.0,1
23.0,53.77921216116913,53.83727262686073,53.107306988276285,54.0975065625814,54.42015632922577,54.475218900951276,0.0,1
24.0,53.80986755407952,53.868486150379944,53.14827889668328,54.12809061104383,54.46999740926516,54.50361942480269,0.0,1
25.0,53.84069404782457,53.89969668658257,53.191338652454476,54.15866759531384,54.520302107036386,54.53202936515185,0.0,1
26.0,53.8704945868365,53.93090422499536,53.23564132859329,54.18923761354278,54.57106770206571,54.56044865683134,0.0,1
27.0,53.90040829724194,53.96210875562382,53.2816358739492,54.21980076268271,54.62281957877636,54.58887723539371,0.0,1
28.0,53.929784918275956,53.99331026894483,53.32969655314216,54.2503571385022,54.67620668638847,54.617315037102976,0.0,1
29.0,53.9566648323869,54.02450875589939,53.37851590366456,54.28090683560204,54.730224380022975,54.64576199892631,0.0,1
30.0,53.981308460536326,54.05570420788537,53.42532807546617,54.31144994743065,54.78411012753958,54.674218058525774,0.0,1
31.0,54.009161972826575,54.08689661675046,53.47378592968905,54.341986566299376,54.838881692406645,54.702683154250174,0.0,1
32.0,54.03850068314799,54.11808597478516,53.5228897644858,54.372516783397494,54.89453646567102,54.731157225127056,0.0,1
33.0,54.06908195885603,54.149272274715926,53.57509805250015,54.40304068880708,54.950784665045674,54.75964021085475,0.0,1
34.0,54.10068841179461,54.18045550969832,53.627830773086046,54.43355837151766,55.0067283441396,54.788132051794534,0.0,1
35.0,54.1358690865921,54.21163567331035,53.67962606742669,54.464069919440675,55.062951734113135,54.816632688962926,0.0,1
36.0,54.17046129087669,54.24281275954583,53.7321100939892,54.49457541942373,55.1194030721417,54.845142064024024,0.0,1
37.0,54.203718282879024,54.27398676280789,53.78519009592809,54.525074957264685,55.175926645659246,54.87366011928197,0.0,1
38.0,54.236091601553206,54.30515767790253,53.838351234582674,54.55556861772554,55.232682062598386,54.90218679767353,0.0,1
39.0,54.26734334995236,54.336325500032295,53.892136875890856,54.586056484546155,55.288705643828145,54.9307220427607,0.0,1
40.0,54.29475203337155,54.367490224790025,53.94745360359068,54.61653864045776,55.343997562126845,54.9592657987235,0.0,1
41.0,54.319583279966444,54.39865184815268,54.0046800598774,54.64701516719633,55.39916656433278,54.98781801035277,0.0,1
42.0,54.34286449109622,54.42981036647529,54.06247549099568,54.677486145515715,55.4547529676312,55.01637862304311,0.0,1
43.0,54.36587269043446,54.46096577648494,54.12018326694211,54.70795165520069,55.51111298444536,55.0449475827859,0.0,1
44.0,54.38795307314541,54.49211807527489,54.177327593822916,54.73841177507974,55.5666119964516,55.0735248361624,0.0,1
45.0,54.40841374202195,54.52326726029872,54.235485633305046,54.768866583037735,55.62155364433176,55.10211033033693,0.0,1
46.0,54.427451599990036,54.554413329364614,54.288437879786485,54.79931615602841,55.676263363971856,55.130704013050156,0.0,1
47.0,54.4454274710843,54.58555628062969,54.33987208935426,54.829760570086705,55.73015463411299,55.15930583261245,0.0,1
48.0,54.46189092213217,54.61669611259441,54.3928667953312,54.8601999003409,55.782945494615475,55.187915737897335,0.0,1
49.0,54.47724741681242,54.64783282409709,54.446057826212,54.89063422102464,55.83493958773189,55.216533678335,0.0,1
50.0,54.491403431772014,54.67896641430845,54.4994738553501,54.92106360548876,55.886392495059134,55.245159603905904,0.0,1
51.0,54.50417794084509,54.71009688272629,54.55352561616415,54.951488126212986,55.93766158506476,55.2737934651345,0.0,1
52.0,54.51508591277872,54.7412242291702,54.607507750442394,54.98190785481744,55.98729462111565,55.30243521308297,0.0,1
53.0,54.524184238773216,54.77234845377635,54.66004629800032,55.01232286207406,56.03504515373635,55.33108479934508,0.0008700841841676467,1
54.0,54.53125881817338,54.80296221087113,54.71110101247607,55.04231067719824,56.08128911250187,55.35940310707479,0.003005025037596215,1
55.0,54.536831069353774,54.83232654721402,54.760370874706695,55.07125535517404,56.1263241112709,55.386895154559134,0.005109098259730066,1
56.0,54.54095430700277,54.860457995678516,54.80715346371244,55.09916958811929,56.17086378276773,55.413569784722824,0.0071817116982867074,1
57.0,54.54401363051392,54.887373621796556,54.85191303336365,55.12606653442695,56.21444179506961,55.439436238205225,0.009222324232051628,1
58.0,54.54667609470836,54.91309098764941,54.895030822243015,55.151959789278926,56.25731162658966,55.46450413044518,0.011230444354202031,1
59.0,54.549153588678315,54.9376281163543,54.93594834159442,55.17686335559823,56.29892312120066,55.488783429055815,0.013205628744509349,1
60.0,54.55286902228712,54.96100345719128,54.97614021384298,55.20079161547769,56.339072860661894,55.51228443152122,0.015147480833749097,1
61.0,54.560503315598986,54.98323585141135,55.01696732770527,55.223759302120754,56.37823917399682,55.535017743244424,0.01705564936349948,1
62.0,54.56810542972752,55.00434449876275,55.05605889869435,55.24578147232668,56.416042240975976,55.556994255973954,0.018929826944347035,1
63.0,54.575223140888035,55.02434892476916,55.09350500873261,55.266873479549716,56.45204880416601,55.578225126634,0.020769748615362658,1
64.0,54.582273344403646,55.04326894878986,55.12830209359106,55.28705094755886,56.48562900321358,55.598721756580936,0.02257519040754176,1
65.0,54.58887758499393,55.06112465288839,55.16081221816709,55.30632974472205,56.5174665801875,55.618495771306826,0.024345967913757094,1
66.0,54.59157339384026,55.07793635153318,55.193163392938956,55.32472595893591,56.54799032541533,55.6375590006085,0.026081934867599302,1
67.0,54.59279449387229,55.093724562150136,55.22440564952355,55.34225587321955,56.57727754935754,55.65592345923853,0.027782981733336085,1
68.0,54.592353519529276,55.108509976544255,55.2554510612985,55.35893594198834,56.60569386043849,55.6736013280527,0.029449034309059707,1
69.0,54.59017083569648,55.12231343320428,55.287275139570745,55.374782768021134,56.63264977032371,55.69060493566639,0.031080052344946815,1
70.0,54.58550455724708,55.135155890501544,55.318028651738466,55.38981308013198,56.658353370123045,55.706946740630606,0.032676028178397966,1
71.0,54.58078352219541,55.14705840079141,55.34837823795472,55.404043711555246,56.68340140172051,55.72263931413646,0.034236985387690766,1
72.0,54.577036432450456,55.15804208542321,55.376504509151836,55.41749157905078,56.707248183948245,55.7376953232553,0.03576297746563446,1
73.0,54.57336531177769,55.16812811066197,55.40272054285128,55.430173662733665,56.72950514613847,55.75212751472004,0.037254086514573924,1
74.0,54.56872656634458,55.177337664522895,55.42670756298728,55.44210698663128,56.74997586757385,55.765948699251474,0.03871042196397,1
75.0,54.563015214451646,55.185691934517614,55.44769664304966,55.45330859996848,56.76870429207307,55.779171736432325,0.0401321193116472,1
76.0,54.557284316614584,55.19321208630873,55.465825876924356,55.46379555917988,56.78603532135992,55.791809520129775,0.04151933888968109,1
77.0,54.55081016084811,55.199919243267615,55.48610103368066,55.47358491064675,56.8016587570286,55.803874964466495,0.04287226465578355,1
78.0,54.54411324037725,55.20583446692838,55.507903180410885,55.48269367415436,56.81583402106769,55.81538099033852,0.044191103010925936,1
79.0,54.536778169333466,55.21097873832946,55.528751980155775,55.49113882706432,56.828545846153425,55.826340512477344,0.04547608164384441,1
80.0,54.52867138533585,55.215372940232484,55.54763088831972,55.49893728919494,56.83923028373365,55.83676642705258,0.046727448402955896,1
81.0,54.51984809106896,55.219037840206894,55.564906534290074,55.506105908401715,56.849451508825794,55.846671599810264,0.047945470196131434,1
82.0,54.510374971124435,55.22199407456732,55.58008252113957,55.51266144684857,56.85776429959802,55.856068854741295,0.04913043191867459,1
83.0,54.500178417210726,55.2242621331496,55.5931125646882,55.518620567959765,56.865034285035335,55.86497096327338,0.050282635409767594,1
84.0,54.48955852177053,55.2258623449103,55.60338186771382,55.52399982404129,56.87135617909072,55.873390633979156,0.05140239843757317,1
85.0,54.478753929409805,55.226814864333534,55.61142124459214,55.52881564455966,56.8760230669765,55.88134050279252,0.052490053713092864,1
86.0,54.46767370216794,55.22713965862813,55.61874305725322,55.53308432506549,56.87930122526982,55.88883312372436,0.05354594793282835,1
87.0,54.45644193417196,55.22685649569734,55.62492748727831,55.53682201674837,56.881801398754995,55.89588096006854,0.05457044085021139,1
88.0,54.44500038497964,55.225984932862715,55.62997949340623,55.540044716608946,56.883050028661906,55.902496376088216,0.05556390437571385,1
89.0,54.433476147207855,55.22454430632321,55.63449308291081,55.5427682582338,56.88334939700623,55.90869162917238,0.05652672170549392,1
90.0,54.42150957642689,55.22255372132998,55.63747729810015,55.545008303158035,56.88250406790728,55.9144788624518,0.05745928647838049,1
91.0,54.40985611615237,55.22003204305711,55.637963003188666,55.546780332800296,56.880779095928,55.91987009786346,0.05836200196094854,1
92.0,54.39717303510213,55.21699788814811,55.63674461106468,55.548099640954455,56.87770581820857,55.924877229652154,0.059235280260394554,1
93.0,54.38383131039529,55.21346961691774,55.634234163550204,55.54898132682215,56.873382223637186,55.92951201829771,0.06007954156488686,1
94.0,54.37107648234761,55.209465326188706,55.63150525194169,55.54944028857002,56.86785909805536,55.933786084856,0.06089521341102176,1
95.0,54.35871172656872,55.2050028427424,55.6274332823429,55.54949121739533,56.8612638702124,55.93771090570194,0.061682729977985615,1
96.0,54.34626795453575,55.20009971736319,55.62388018499401,55.54914859208383,56.854028426309775,55.941297807662316,0.062442531408002475,1
97.0,54.3335182690002,55.19477321945533,55.61987106430735,55.548426674043306,56.84638554434292,55.94455796352646,0.06317506315260547,1
98.0,54.320698721322,55.1890403322121,55.6146547946555,55.54733950279653,56.83811316799876,55.94750238792249,0.0638807753442615,1
