replicate,success,cost,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks
0,True,65587.8030510347,4345.9235485307,37.276201171276476,6.450985931203644,0.08841862093457811,0.0012433673780083267
1,True,64592.9854322251,4239.28867708438,27.09078400752216,6.359020844560284,0.09301069757382543,0.0012460093586551815
2,True,64643.12232371299,4715.170685003293,27.960582587142216,6.4871489453030176,0.09370536645431249,0.0012778931661439038
3,True,68952.56122935665,4367.895139915809,33.305970304809094,6.337360556064859,0.09155570460890715,0.0012249812939617495
4,True,55964.92299939245,4634.43761947951,30.161060209154197,6.56915068864268,0.06992997240688766,0.0017454711383973628
5,True,68039.3810983058,4326.9548283282365,30.687075207573315,6.917763772198469,0.07091037414206873,0.0014564335219055108
6,True,73742.6700767701,4650.574690986467,32.67187412423562,6.035788850535316,0.07831508986782136,0.0014852578056589356
7,True,54686.59471810659,4568.486852024966,31.397491169940576,6.8005539820865595,0.07224623295198586,0.0014841532965222358
