,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks
C_th_J_K,8.040083612216158e-11,-1.0170502827412957e-12,4.808382908612152e-07,-4.635818595682031e-10,-2.7754271589914353e-11
K_cool_W_K,-1.0170503517149855e-12,3.016726994630075e-11,-5.980417877137974e-09,1.3160671280284214e-08,-6.757505881757771e-13
K_node_W_K,4.808382908931358e-07,-5.980417465037821e-09,0.00287566026550888,-2.7279317537521378e-06,-1.6598470812161025e-07
Kp_1_K,-4.6358185959812436e-10,1.3160671279887056e-08,-2.727931753749584e-06,5.7414356298609465e-06,-3.2253894535746906e-10
Ki_1_Ks,-2.7754271591754158e-11,-6.757506119617606e-13,-1.6598470812159098e-07,-3.2253894535734183e-10,1.6883835952192646e-09
