,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks
C_th_J_K,1.0,-0.02065114506978246,0.9999999398979295,-0.021576743589660226,-0.07532930997907895
K_cool_W_K,-0.0206511464702891,1.0,-0.02030461401049074,0.9999995093120845,-0.002994214200483332
K_node_W_K,0.9999999399643146,-0.020304612611335243,1.0000000000000002,-0.021230218444457882,-0.07532926481641737
Kp_1_K,-0.021576743591052865,0.9999995092819068,-0.021230218444438006,1.0,-0.0032759430980482903
Ki_1_Ks,-0.07532930998407246,-0.002994214305877734,-0.07532926481640863,-0.003275943098046998,1.0
