flow_region,phase,mean_bias_C,RMSE_C,maximum_absolute_error_C,error_current_correlation
inlet,increasing,0.5292052714467547,1.4752034431705463,2.8256830789009086,0.9750743115826358
inlet,decreasing,0.6167130272871436,1.2983355168987039,2.217168591835506,0.9007855790305063
intermediate,increasing,-1.4435658147465789,1.7732584927791368,2.4418216606138827,0.7611455850281812
intermediate,decreasing,-0.9692346071180626,1.0491685838896359,1.9512541877570653,0.07019947903489845
outlet,increasing,-0.05847426025562817,2.171682970837595,4.271278489894769,0.9048405669140849
outlet,decreasing,0.1644478390635314,0.8633618582775588,1.7344364547211697,0.8981180728144916
