scenario,purpose,time_s,flow_region,measured_C,predicted_C,error_C,scored,current_A,phase,absolute_error_C
ramp_4A,final_confirmation,150.0,inlet,29.564575645756456,28.42483260895257,-1.1397430368038854,True,8.0,increasing,1.1397430368038854
ramp_4A,final_confirmation,150.0,intermediate,30.62730627306273,29.061950822459067,-1.565355450603661,True,8.0,increasing,1.565355450603661
ramp_4A,final_confirmation,150.0,outlet,31.33579335793358,29.632642004266938,-1.703151353666641,True,8.0,increasing,1.703151353666641
ramp_4A,final_confirmation,250.0,inlet,31.867158671586715,31.079045855397144,-0.788112816189571,True,12.0,increasing,0.788112816189571
ramp_4A,final_confirmation,250.0,intermediate,34.169741697416974,32.105501389977626,-2.0642403074393485,True,12.0,increasing,2.0642403074393485
ramp_4A,final_confirmation,250.0,outlet,34.87822878228782,33.035767573013985,-1.842461209273836,True,12.0,increasing,1.842461209273836
ramp_4A,final_confirmation,350.0,inlet,34.70110701107011,33.96990178035016,-0.7312052307199437,True,16.0,increasing,0.7312052307199437
ramp_4A,final_confirmation,350.0,intermediate,37.88929889298893,35.47627271343492,-2.4130261795540164,True,16.0,increasing,2.4130261795540164
ramp_4A,final_confirmation,350.0,outlet,38.9520295202952,36.856114464903605,-2.0959150553915933,True,16.0,increasing,2.0959150553915933
ramp_4A,final_confirmation,450.0,inlet,37.35793357933579,37.08420442302541,-0.2737291563103809,True,20.0,increasing,0.2737291563103809
ramp_4A,final_confirmation,450.0,intermediate,41.60885608856088,39.167034427946994,-2.4418216606138827,True,20.0,increasing,2.4418216606138827
ramp_4A,final_confirmation,450.0,outlet,42.67158671586716,41.09287649806683,-1.578710217800328,True,20.0,increasing,1.578710217800328
ramp_4A,final_confirmation,550.0,inlet,40.369003690036905,40.409526253710354,0.0405225636734485,True,24.0,increasing,0.0405225636734485
ramp_4A,final_confirmation,550.0,intermediate,45.41697416974169,43.171404712713645,-2.245569457028047,True,24.0,increasing,2.245569457028047
ramp_4A,final_confirmation,550.0,outlet,46.922509225092256,45.74616614960565,-1.1763430754866064,True,24.0,increasing,1.1763430754866064
ramp_4A,final_confirmation,650.0,inlet,43.02583025830258,43.93408981961056,0.9082595613079788,True,28.0,increasing,0.9082595613079788
ramp_4A,final_confirmation,650.0,intermediate,49.40221402214022,47.48372020524249,-1.9184938168977297,True,28.0,increasing,1.9184938168977297
ramp_4A,final_confirmation,650.0,outlet,51.17343173431735,50.81687426782644,-0.356557466490905,True,28.0,increasing,0.356557466490905
ramp_4A,final_confirmation,750.0,inlet,46.2140221402214,47.64666763013562,1.432645489914215,True,32.0,increasing,1.432645489914215
ramp_4A,final_confirmation,750.0,intermediate,52.94464944649447,52.09892585726514,-0.8457235892293369,True,32.0,increasing,0.8457235892293369
ramp_4A,final_confirmation,750.0,outlet,55.247232472324725,56.30655119477775,1.0593187224530212,True,32.0,increasing,1.0593187224530212
ramp_4A,final_confirmation,850.0,inlet,49.0479704797048,51.53649746895282,2.4885269892480224,True,36.0,increasing,2.4885269892480224
ramp_4A,final_confirmation,850.0,intermediate,57.1070110701107,57.0124816755541,-0.0945293945566021,True,36.0,increasing,0.0945293945566021
ramp_4A,final_confirmation,850.0,outlet,59.3210332103321,62.21730603379356,2.896272823461466,True,36.0,increasing,2.896272823461466
ramp_4A,final_confirmation,950.0,inlet,52.76752767527675,55.59321075417766,2.8256830789009086,True,40.0,increasing,2.8256830789009086
ramp_4A,final_confirmation,950.0,intermediate,61.62361623616236,62.22028375936578,0.5966675232034149,True,40.0,increasing,0.5966675232034149
ramp_4A,final_confirmation,950.0,outlet,64.28044280442805,68.55172129432282,4.271278489894769,True,40.0,increasing,4.271278489894769
ramp_4A,final_confirmation,1050.0,inlet,50.81918819188192,52.5296285309458,1.7104403390638794,True,36.0,decreasing,1.7104403390638794
ramp_4A,final_confirmation,1050.0,intermediate,59.3210332103321,58.17361338311746,-1.147419827214634,True,36.0,decreasing,1.147419827214634
ramp_4A,final_confirmation,1050.0,outlet,61.80073800738008,63.53517446210125,1.7344364547211697,True,36.0,decreasing,1.7344364547211697
ramp_4A,final_confirmation,1150.0,inlet,47.630996309963095,49.38076145118227,1.7497651412191786,True,32.0,decreasing,1.7497651412191786
ramp_4A,final_confirmation,1150.0,intermediate,54.8929889298893,54.12210820196697,-0.7708807279223322,True,32.0,decreasing,0.7708807279223322
ramp_4A,final_confirmation,1150.0,outlet,57.284132841328415,58.59888109208174,1.3147482507533257,True,32.0,decreasing,1.3147482507533257
ramp_4A,final_confirmation,1250.0,inlet,44.619926199262,46.19015893295809,1.5702327336960948,True,28.0,decreasing,1.5702327336960948
ramp_4A,final_confirmation,1250.0,intermediate,51.17343173431735,50.1106183093134,-1.0628134250039452,True,28.0,decreasing,1.0628134250039452
ramp_4A,final_confirmation,1250.0,outlet,53.12177121771218,53.78830476206798,0.6665335443558007,True,28.0,decreasing,0.6665335443558007
