% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 16 2026, 15:36"
% Dimension,1
% Nodes,51
% Expressions,12
% Description,", "
% X,T-273.15[K] (K) @ uin=4,Ta-273.15[K] (K) @ uin=4,T-273.15[K] (K) @ uin=5,Ta-273.15[K] (K) @ uin=5,T-273.15[K] (K) @ uin=6,Ta-273.15[K] (K) @ uin=6,T-273.15[K] (K) @ uin=8,Ta-273.15[K] (K) @ uin=8,T-273.15[K] (K) @ uin=10,Ta-273.15[K] (K) @ uin=10,T-273.15[K] (K) @ uin=12,Ta-273.15[K] (K) @ uin=12
0,54.24340653526667,25,50.627964583980145,25,47.94245641952051,25,44.18197546046025,25,41.64524296341938,25,39.80082299214911,25
0.004987380111055021,54.26683921397114,25.08400571831686,50.65088417351416,25.068209018854134,47.96478662752787,25.057369009504328,44.203137757322054,25.043469234266638,41.66535729316621,25.034947616773138,39.82002323245598,25.029195573548293
0.009974760222110041,54.33286558050264,25.165639314595524,50.71535014651016,25.13451762095974,48.02748449028138,25.113156899449166,44.26235814685384,25.08576065186662,41.721471934560554,25.068960656416266,39.87343579148501,25.05761869318883
0.014962140333165062,54.43569493882461,25.24508175199162,50.81557764254461,25.199080610870794,48.12479567005391,25.16749946312393,44.35396934492661,25.12698402603371,41.80801344566237,25.102131762431384,39.955577216513916,25.08534978833967
0.019949520444220083,54.57026403604641,25.322488078327524,50.9465484721124,25.26202949112968,48.25176371076719,25.220511219185312,44.473149477691095,25.16723082408936,41.92028910982236,25.134537364996675,40.06187259197662,25.112454644597676
0.0249369005552751,54.73213391484751,25.397991374788774,51.10389696857516,25.323476155953813,48.40410642709827,25.27228889930109,44.615782638645555,25.20657737922363,42.0543344100671,25.16624061863672,40.1884917672632,25.138987158565783
0.029924280666330124,54.91740222950261,25.47170608222592,51.28381368354957,25.383515978164723,48.57811230773939,25.322914342620777,44.77834335422017,25.24508749153955,42.20678788231163,25.19729378705722,40.33221613024955,25.16499155460326
0.034911660777385146,55.12262860243999,25.543730807701024,51.482964011270326,25.442230393507828,48.77055354788007,25.372456902347153,44.957800679440595,25.28281456526406,42.374788223131475,25.22774018321843,40.49032999257679,25.19050417249281
0.039899040888440165,55.344770996761895,25.614150696274578,51.698419326053,25.499689067912527,48.97861292451091,25.42097545027758,45.15153844333457,25.319803368275757,42.55588952525875,25.25761575085926,40.660531849364645,25.215554912199593
0.044886420999495184,55.581131410135924,25.6830394385384,51.927598626600684,25.55595171809017,49.19982221647848,25.46852004947931,45.35728880722712,25.356091483511875,42.74799131014578,25.286950356389355,40.84086172291484,25.240168404007136
0.0498738011105502,55.82930946921363,25.750460972472354,52.168219018060995,25.611069643498013,49.43201027042551,25.5151333525385,45.57307681897754,25.39171050853338,42.94928066387632,25.315768846352853,41.029641550916836,25.264364958258
0.05486118122160523,56.08716273124429,25.816470928371984,52.41825364078329,25.665087017581868,49.673259140725634,25.560851772485307,45.79717406714076,25.42668704886472,43.15818429334814,25.344091914773742,41.22542617658962,25.288161337853182
0.05984856133266026,56.35277268895152,25.88111785747833,52.6758958844307,25.718041977922667,49.921866999843985,25.605706465089213,46.028059880509204,25.46104354215322,43.37332872991732,25.371936816020934,41.42696297372669,25.31157138792662
0.06483594144371527,56.62441563270579,25.944444278226456,52.939528916213874,25.76996754811364,50.17631673615102,25.64972415436398,46.26438879606292,25.49479894328823,43.593507237992924,25.399317951908927,41.6331585192716,25.334606550196725
