% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 16 2026, 15:36"
% Dimension,1
% Nodes,201
% Expressions,12
% Description,", "
% X,T-273.15[K] (K) @ uin=4,Ta-273.15[K] (K) @ uin=4,T-273.15[K] (K) @ uin=5,Ta-273.15[K] (K) @ uin=5,T-273.15[K] (K) @ uin=6,Ta-273.15[K] (K) @ uin=6,T-273.15[K] (K) @ uin=8,Ta-273.15[K] (K) @ uin=8,T-273.15[K] (K) @ uin=10,Ta-273.15[K] (K) @ uin=10,T-273.15[K] (K) @ uin=12,Ta-273.15[K] (K) @ uin=12
0,54.24343091479028,25,50.62798465701587,25,47.94247346315649,25,44.18198855366603,25,41.6452536152114,25,39.80083199793398,25
0.0012468450277637552,54.244948559868135,25.021235680748134,50.62947068018457,25.01724063182661,47.943922812613664,25.014499488348235,44.183364859581104,25.010985072856045,41.646564178152005,25.008830763465824,39.80208512579145,25.007376764318167
0.0024936900555275103,54.249429462783894,25.04231351902331,50.633856038420504,25.034354234075806,47.94819786323086,25.028892876200132,44.187420733298325,25.021890591701265,41.65042306118232,25.017598063596267,39.80577203586256,25.01470083473123
0.0037405350832912655,54.25676833775867,25.063236877243355,50.64103461657891,25.051343709932723,47.955192226603344,25.043182730346757,44.19404996777672,25.032718658872852,41.6567246129452,25.026303694045396,39.811787740294506,25.021973783131557
0.004987380111055021,54.26686346918433,25.084008988347705,50.6509041076871,25.06821184489246,47.964803518629196,25.057371509091126,44.20315067292438,25.043471281793074,41.66536774470188,25.034949363198507,39.82003201718527,25.029197103427748
0.006234225138818775,54.27961657526271,25.1046329611097,50.6633658599161,25.084961311801408,47.97693319174715,25.071461567069775,44.21462508231224,25.05415037745138,41.67625571508859,25.043536698401567,39.830409175810246,25.036372215574886
0.007481070166582531,54.29493267717845,25.125111785220042,50.67832473005075,25.10159467567314,47.991486374573356,25.085455159850483,44.22837936896076,25.06475777666543,41.689295925493866,25.052067249970094,39.84282783392649,25.043500469386686
0.008727915194346285,54.31271997356748,25.14544833615389,50.6956889431645,25.11811439828915,48.00837171859365,25.099354448317058,44.244323469751066,25.075295228131324,41.70439972550594,25.060542494991466,39.857200706504045,25.050583148142266
0.009974760222110041,54.33288972005653,25.165645379829698,50.71536995822402,25.134522842594208,48.027501251585306,25.113161502850005,44.26237091803688,25.085764402275913,41.72148222791026,25.068963840930735,39.873444405269026,25.05762147199954
0.011221605249873796,54.355356113656285,25.185705577070678,50.737282339359695,25.150822276896804,48.048790237456046,25.12687830731585,44.28243868405417,25.096166894918667,41.740462132745336,25.077332629050318,39.89147924847879,25.064616601224714
0.01246845027763755,54.38003618180312,25.205631487876076,50.76134363254897,25.167014878882583,48.072157042205674,25.140506762871155,44.30444702274673,25.106504230755434,41.76126155995041,25.08565013765474,39.9112290803817,25.071569639249958
0.013715295305401307,54.40684967585247,25.22542557551219,50.78747424747468,25.183102739450476,48.097523005729215,25.154048691592948,44.328319328646046,25.116777866671555,41.783805890165866,25.093917585168356,39.932621099844596,25.078481635567073
0.014962140333165062,54.435718968835374,25.245090210430362,50.815597344328694,25.199087866379557,48.12481231919162,25.16750583994184,44.353981997460494,25.12698919489378,41.808023613268176,25.10213613305632,39.95558569765916,25.085353588468024
0.016208985360928817,54.466568957298364,25.26462767401995,50.845638725343406,25.214972187834235,48.15395190772227,25.180879882067643,44.38136429404955,25.137139545989157,41.83384618424577,25.110306888596256,39.98005630206734,25.092186447639108
0.01745583038869257,54.49932696705582,25.28404016220304,50.877526730843044,25.230757555715115,48.18487131818392,25.19417242296339,44.410398226472125,25.147230191717995,41.86120788604143,25.11843090750898,40.0059692320695,25.098981116618347
0.018702675416456326,54.533922662689804,25.30332978887924,50.9111921396169,25.24644574886355,48.21750261178681,25.207385001476496,44.441018425815685,25.157262347749963,41.890045699009136,25.126509196455856,40.03326355810452,25.105738455122548
0.019949520444220083,54.57028796064196,25.32249858922529,50.94656807342568,25.262038476125554,48.25178026132755,25.220519093182702,44.47316203152769,25.167237176248022,41.92029917664814,25.134542715409623,40.06188096971317,25.11245928125237
0.021196365471983836,54.60835694574507,25.341548522857863,50.98358990545972,25.27753737928208,48.28764105284267,25.23357611313031,44.50676858198443,25.177155788328832,41.951910327300254,25.142532379905447,40.09176564981749,25.119144373580582
0.022443210499747592,54.64806579105448,25.360481476863868,51.022195172578506,25.2929440358522,48.325023991478815,25.246557418459986,44.541779910045534,25.187019246404702,41.984823501507094,25.150479063178636,40.122864155269156,25.125794473131577
0.02369005552751135,54.68935268083936,25.37929926870487,51.06232349116635,25.308259961773615,48.363870211388644,25.259464310906935,44.57814004335603,25.196828566413387,42.018985284744645,25.158383598194973,40.15512530333905,25.13241028525681
0.0249369005552751,54.73215773660462,25.39800364900185,51.10391647644775,25.323486613968043,48.40412288947101,25.27229803919016,44.61579510916914,25.20658471994159,42.05434439526533,25.16624677957907,40.188500063838035,25.13899248141263
0.026183745583038858,54.77642294601759,25.41659630420378,51.146917665113904,25.338625392795166,48.44572716278526,25.285059801294892,44.654693243473844,25.216288636247157,42.090851586791985,25.1740693654466,40.222941456575484,25.1455417008454
0.027430590610802608,54.82209209462059,25.435078859146472,51.19127244111638,25.353677644400705,48.48863004947242,25.29775074665247,44.694784504223946,25.225941204185006,42.12845955582145,25.181852079144733,40.25840445387831,25.152058552189203
0.028677435638566368,54.86911070021313,25.453452879506187,51.23692796449285,25.36864466296379,48.532780373029425,25.310371978223657,44.73602078847256,25.23554327404196,42.16712285330931,25.18959561090645,40.29484588790933,25.158543614980488
0.029924280666330124,54.917425949796154,25.471719874152257,51.28383310309454,25.383527692847622,48.57812868978533,25.322924554488168,44.778355753229334,25.245095659284686,42.20679780051779,25.197300619422037,40.33222436253567,25.164997441095124
0.031171125694093884,54.96698663897217,25.4898812974032,51.3319383670912,25.398327930658354,48.624627219438594,25.33540949134664,44.82174473986305,25.254599138225217,42.247442408820575,25.204967733333604,40.37050016951366,25.171420556110377
0.032417970721857634,55.0177431137019,25.507938551190705,51.3811958461356,25.4130465272155,48.67222977851935,25.347827763938028,44.86614470188363,25.26405445560789,42.28901630326993,25.21259755265504,40.40963520876795,25.177813460597747
0.033664815749621387,55.06964721432058,25.525892987135364,51.43155914907362,25.42768458943914,48.72089171664743,25.36018030837647,44.91151413594554,25.273462324122022,42.33148064973983,25.220190650122504,40.44959291255486,25.184176631348862
0.034911660777385146,55.12265222172334,25.5437459085378,51.48298334609257,25.442243182156062,48.77056985546341,25.37246802341184,44.95781301592024,25.282823425843617,42.37479808547016,25.227747572478165,40.49033817331116,25.190510522539114
0.0361585058051489,55.1767128056303,25.561498572288713,51.535424913204054,25.456723329830027,48.82122243011452,25.384691772017106,45.005002729896376,25.292138413609507,42.41893265284534,25.235268841691152,40.53183727500107,25.19681556683139
0.03740535083291266,55.23178497484878,25.579152190702075,51.588841678963036,25.47112601821823,48.872809033184296,25.39685238290599,45.053046019969315,25.30140791232793,42.46384973624805,25.242754956119086,40.5740578277817,25.203092176424036
0.03865219586067641,55.28782602945108,25.596707933273706,51.64319277332851,25.48545219595843,48.92529056095805,25.408950651984355,45.101906924692,25.310632520227614,42.50951600184021,25.250206391612153,40.61696870582023,25.209340744045278
0.039899040888440165,55.34479451479103,25.614166928368945,51.69843857857683,25.49970277608884,48.978629161923436,25.420987343737806,45.1515507240631,25.319812810049427,42.55589934012653,25.25762360256448,40.660539988102016,25.215561643897615
0.04114588591620392,55.40265017728609,25.63153026484281,51.75454068217954,25.51387863750392,49.032788187407846,25.432963192559328,45.201943886935055,25.328949330182468,42.602968811167216,25.26500702291338,40.704742902079204,25.22175523255413
0.04239273094396767,55.46135392189319,25.648798993594653,51.811461831566305,25.527980626349972,49.0877321442606,25.444878904018765,45.25305402073087,25.338042605748058,42.650694592311254,25.27235706709115,40.74954977001613,25.227921849809604
0.04363957597173143,55.52086777121178,25.665974129060544,51.86916589069136,25.542009557361837,49.143426649490834,25.456735156077798,45.30484982336321,25.347093139633557,42.699047928327786,25.279674130930346,40.79493395789649,25.234061819489114
0.044886420999495184,55.58115482614875,25.68305665064645,51.92761779833097,25.555966215143656,49.199838386776946,25.468532600251592,45.357301037254445,25.35610141347911,42.74800108382129,25.286958592525536,40.840869826762855,25.240175450216043
0.04613326602725894,55.64217922808285,25.700047504103736,51.98678352803847,25.569851355396736,49.25693506476716,25.480271862721168,45.41037840536194,25.365067888618682,42.79752729781984,25.294210813053724,40.88733268636844,25.246263036141272
0.0473801110550227,55.703906122470244,25.716947602850098,52.0466300496887,25.583665706096383,49.3146853770935,25.491953545397223,45.4640536291173,25.373993006978424,42.84760074043322,25.301431137555426,40.93429875102413,25.252324857636324
