mesh,velocity_m_s,T_inlet_region_C,T_middle_region_C,T_outlet_region_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_location_normalized,air_outlet_temperature_C,air_enthalpy_gain_W,natural_convection_loss_W,radiation_loss_W,total_heat_input_W,energy_residual_relative,mdot_kg_s,medium_fine_abs_diff_T_inlet_region_C,medium_fine_abs_diff_T_middle_region_C,medium_fine_abs_diff_T_outlet_region_C,medium_fine_abs_diff_Tmax_C,medium_fine_abs_diff_DeltaT_C,energy_gate_passed,medium_fine_region_gate_passed
fine,4.0,55.59029301901677,59.835080655056736,62.76774155499298,63.286042342820735,54.24343091479028,9.042611428030456,1,27.540566441960777,48.00496890518372,5.506298761938927,6.381711902072791,59.90984999999996,0.00028159694615374417,0.018764032,0.005176970238032652,0.0007058652558882272,0.002587555641838435,3.913908528829779e-06,8.815184724397795e-07,True,True
fine,5.0,51.93630713952845,56.08787842263995,59.05079488789416,59.59707019990128,50.62798465701587,8.96908554288541,1,27.09787090590322,49.55008553488586,4.760885872329955,5.591895793077136,59.90984999999996,0.0001165551191834619,0.02345504,0.005027714245443349,0.0006318802408031843,0.0026754149031944507,3.2619082617202366e-06,6.657418225586298e-07,True,True
fine,6.0,49.20760179860025,53.237077030523615,56.18196758645366,56.74172833771746,47.94247346315649,8.799254874560972,1,26.78834988957692,50.687326705656496,4.210402190019806,5.009103322593626,59.90984999999996,5.037204616661864e-05,0.028146048,0.004856250218374214,0.0005700739540088762,0.0027040702809344452,2.789173784378818e-06,5.273161605146015e-07,True,True
fine,8.0,45.362834778460375,49.13479312202036,51.98648269496126,52.552590222594574,44.18198855366603,8.370601668928543,1,26.38304620323277,52.26636775488538,3.445699456564256,4.197197401333947,59.90984999999996,9.77113473628786e-06,0.037528064,0.0045174175119626625,0.00047348786099377094,0.002681798675737923,2.152821366507851e-06,3.6520435742204427e-07,True,True
fine,10.0,42.751371999987335,46.28458489725075,49.02088261151712,49.58130077391348,41.6452536152114,7.936047158702081,1,26.128811696736364,53.32331552783042,2.935207174920864,3.651218032984628,59.90984999999996,1.8238113441241453e-06,0.04691008,0.004215029004029702,0.00040184016894073693,0.0026176590775577324,1.7462195955886273e-06,2.76904245311016e-07,True,True
fine,12.0,40.842324137107056,44.1645724034646,46.78580743973698,47.335973045543255,39.80083199793398,7.535141047609272,1,25.954161252877952,54.087719004411376,2.567616207780199,3.2545224629438656,59.90984999999996,1.2811141201975724e-07,0.056292096,0.003952943121156238,0.0003467234635579075,0.002541263858212517,1.4649934882982052e-06,2.2338252847475815e-07,True,True
