controller,maximum_hotspot_C,mean_above_55C_RMSE_C,mean_gradient_RMSE_C,mean_fan_energy_proxy_duty2_h,total_direction_switches,mean_temperature_tracking_RMSE_C
AuthorMeasured-PI-SMC,56.452236730071604,0.4284927544919371,0.4745494974806359,0.0036398412706130164,123,0.28286046430127193
Hotspot-MPC,58.278657500473884,1.1808463242133758,2.0330242709819806,0.003593750000000001,1,0.4134914145350472
MeanTemperature-MPC,58.31734914119743,1.3418220805829806,2.061928871103976,0.0034756944444444457,0,0.377008365291621
SparseSensor-PI-SMC,56.87476085456802,0.6115541014685174,0.48234911141884157,0.0034670265845618917,118,0.4448652496482821
