scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,hotspot_position_accuracy,maximum_absolute_error_C,q95_absolute_error_C
capacity_plus_12pct,1,4,0.061211151165465605,0.04806521637298168,0.04318907582515104,0.05447587250937814,0.03623703303996847,0.04940265088395857,0.0394889332997361,0.8975853455453788,0.3603001743904528,0.09284570211683417
capacity_plus_12pct,1,5,0.06246458662877802,0.04269378591296977,0.027397278200344127,0.03274053436828936,0.053714226079551244,0.04567790596146004,0.040754179566620564,0.9184013322231473,0.29999999999999716,0.08788660684097636
capacity_plus_12pct,1,2,0.05711676139754704,0.051430224152809526,0.028288296296023942,0.04515656887948715,0.0664192948773102,0.05129962678470701,0.06601858210778087,0.9117402164862615,0.5719992809793979,0.09443588149700731
capacity_plus_12pct,1,3,0.06219982289498376,0.04005999150757348,0.050028950633152255,0.04554873992452538,0.06290298509148991,0.052930123807413944,0.06603893951815179,0.9134054954204829,0.3246435532596408,0.09825271322336279
capacity_plus_12pct,1,1,0.04924827748008732,0.03498238182625295,0.02136309699172938,0.04233617151918112,0.06342085333025908,0.04454233456412274,0.06883292528736312,0.9250624479600333,0.4797869135110915,0.08220825394521118
capacity_plus_12pct,2,"2,4",0.048926188801025776,0.05135028636040835,0.03688194999890769,0.05435569256260854,0.03791169456539156,0.04643864768571935,0.03877315389161665,0.8684429641965029,0.582144349275616,0.08851444634088068
capacity_plus_12pct,2,"2,5",0.056869375641623886,0.051368499140935116,0.023989061538879527,0.029802419330686936,0.05362562757269291,0.04519339729186951,0.03935155939122675,0.8767693588676103,0.5741887034389137,0.0892783317059525
capacity_plus_12pct,2,"4,5",0.05916297568927947,0.04585955030983837,0.042748783948721315,0.053846064920977106,0.05305432909836571,0.0512737264486932,0.04048612708288321,0.8534554537885096,0.30731966891467266,0.09915807744181679
capacity_plus_12pct,2,"3,5",0.05666727367186791,0.036852418733163965,0.049904333730551774,0.03230310479655702,0.05355351796696953,0.04684270074005765,0.04052259504059943,0.8859283930058285,0.29999999999999716,0.09386918195488508
capacity_plus_12pct,2,"3,4",0.049571740883945045,0.03312838005645996,0.04963564561401725,0.05401839671126174,0.042980315903393906,0.04644101444490923,0.04299908644496417,0.8692756036636137,0.36377856468346437,0.08906442746292385
capacity_plus_12pct,2,"1,4",0.04921040215403302,0.04078246872226706,0.0402804995027611,0.05441735131443279,0.03666404914316226,0.04475017921547779,0.04659370381542919,0.8684429641965029,0.51750543933165,0.08811780552082951
