velocity_m_s,flow_coordinate,predicted_solid_temperature_C,predicted_air_outlet_of_node_C
4.0,0.0,53.450873592112124,29.142263148689334
4.0,0.02040816326530612,53.519343378905795,32.691408336915266
4.0,0.04081632653061224,53.64397000562478,35.74196577551
4.0,0.061224489795918366,53.81442312565252,38.37319865647538
4.0,0.08163265306122448,54.022034415121695,40.651567911924325
4.0,0.1020408163265306,54.25952874879523,42.63279898101198
4.0,0.12244897959183673,54.52079877242084,44.36361484816454
4.0,0.14285714285714285,54.80071586402663,45.88318923934034
4.0,0.16326530612244897,55.094971608119074,47.22436516198467
4.0,0.18367346938775508,55.39994485553661,48.414676678224446
4.0,0.2040816326530612,55.71259023730259,49.47720568283366
4.0,0.22448979591836732,56.0303446679481,50.43130032735821
4.0,0.24489795918367346,56.351048933180934,51.293177430007276
4.0,0.26530612244897955,56.67288192585553,52.07642760374425
4.0,0.2857142857142857,56.99430548753481,52.79243881028336
4.0,0.3061224489795918,57.31401814275925,53.45075151137324
4.0,0.32653061224489793,57.63091628970578,54.059356461962054
4.0,0.3469387755102041,57.94406164282874,54.62494440646327
4.0,0.36734693877551017,58.25265391753848,55.153115443926346
4.0,0.3877551020408163,58.556007910035675,55.64855457396505
4.0,0.4081632653061224,58.85353426215267,56.11517888381957
4.0,0.42857142857142855,59.14472331570725,56.556260955232815
4.0,0.44897959183673464,59.42913155701486,56.974532330492586
4.0,0.4693877551020408,59.70637023282199,57.372270257040796
4.0,0.4897959183673469,59.97609578652255,57.75137041020372
4.0,0.5102040816326531,60.23800182020222,58.11340785768884
4.0,0.5306122448979591,60.49181233558642,58.459688163971045
4.0,0.5510204081632653,60.73727604682242,58.79129022618864
4.0,0.5714285714285714,60.97416159144596,59.109102176157776
4.0,0.5918367346938775,61.2022534939049,59.413851467600914
4.0,0.6122448979591836,61.42134875951036,59.706130086970816
4.0,0.6326530612244897,61.63125399638816,59.98641567471639
4.0,0.6530612244897959,61.831782979524625,60.25508921676968
4.0,0.673469387755102,62.02275458485333,60.51244985948321
4.0,0.6938775510204082,62.20399103294507,60.758727311900856
4.0,0.7142857142857142,62.375316391602325,60.99409222432581
4.0,0.7346938775510203,62.5365552948261,61.218664869326034
4.0,0.7551020408163265,62.687531842469674,61.43252239863813
4.0,0.7755102040816326,62.82806865063472,61.63570490525682
4.0,0.7959183673469387,62.95798602767877,61.828220482955444
4.0,0.8163265306122448,63.07710125473805,62.01004944442171
4.0,0.836734693877551,63.18522795305303,62.18114783314693
4.0,0.8571428571428571,63.282175523220566,62.34145034236559
4.0,0.8775510204081632,63.36774864387353,62.49087273602726
4.0,0.8979591836734693,63.4417468192824,62.62931385142427
4.0,0.9183673469387754,63.503963967043155,62.756657250219924
4.0,0.9387755102040816,63.554188038416456,62.87277257382136
4.0,0.9591836734693877,63.5922006650555,62.977516649984885
4.0,0.9795918367346939,63.617776826843595,63.07073438994597
4.0,1.0,63.63068453638536,63.15225950899687
5.0,0.0,49.85496310645856,28.03082756507299
5.0,0.02040816326530612,49.91247363382627,30.699087251892454
5.0,0.04081632653061224,50.01838940602038,33.05489334405639
5.0,0.061224489795918366,50.164880634229895,35.14129439381821
5.0,0.08163265306122448,50.34521288607358,36.995268389517946
5.0,0.1020408163265306,50.55359231736341,38.648577699239866
5.0,0.12244897959183673,50.785032698182654,40.128503547269204
5.0,0.14285714285714285,51.03524116218419,41.458476996302934
5.0,0.16326530612244897,51.30052004070529,42.658621016949596
5.0,0.18367346938775508,51.57768251502269,43.746216171573536
5.0,0.2040816326530612,51.863980139423234,44.736100674525055
5.0,0.22448979591836732,52.15704056212185,45.641014074466234
5.0,0.24489795918367346,52.454814006759,46.471892501814175
5.0,0.26530612244897955,52.75552727970084,47.23812230517773
5.0,0.2857142857142857,53.0576442423256,47.947757939200116
5.0,0.3061224489795918,53.35983183692963,48.607709140221544
5.0,0.32653061224489793,53.66093088327925,49.22390171655676
5.0,0.3469387755102041,53.959930973136785,49.801415670544685
5.0,0.36734693877551017,54.255948884849545,50.34460384578443
5.0,0.3877551020408163,54.54821002150003,50.85719384302161
5.0,0.4081632653061224,54.83603244605333,51.342375561594004
5.0,0.42857142857142855,55.11881314702169,51.80287639125397
5.0,0.44897959183673464,55.39601621978403,52.24102579388337
5.0,0.4693877551020408,55.66716269304237,52.6588107695121
5.0,0.4897959183673469,55.93182176799369,53.05792349048039
5.0,0.5102040816326531,56.189603270522795,53.43980220668206
5.0,0.5306122448979591,56.44015114483865,53.80566636941097
5.0,0.5510204081632653,56.68313784113017,54.15654678781447
5.0,0.5714285714285714,56.91825947056778,54.49331151725096
5.0,0.5918367346938775,57.145231618803294,54.816688080303166
5.0,0.6122448979591836,57.36378572443374,55.12728253653704
5.0,0.6326530612244897,57.57366594205075,55.425595844362526
5.0,0.6530612244897959,57.77462642079795,55.712037895866104
5.0,0.673469387755102,57.966428939066965,55.98693955180183
5.0,0.6938775510204082,58.148840844302164,56.25056295780779
5.0,0.7142857142857142,58.32163325404802,56.5031103832923
5.0,0.7346938775510203,58.484579480526605,56.744731790393786
5.0,0.7551020408163265,58.63745364631846,56.97553131117288
5.0,0.7755102040816326,58.78002946326026,57.19557278607044
5.0,0.7959183673469387,58.912079150572275,57.40488449507892
5.0,0.8163265306122448,59.03337247157797,57.60346319452912
5.0,0.836734693877551,59.143675871254395,57.79127755646156
5.0,0.8571428571428571,59.242751699322106,57.968271093862114
5.0,0.8775510204081632,59.33035750570489,58.13436464328089
5.0,0.8979591836734693,59.40624539701044,58.289458466248085
5.0,0.9183673469387754,59.47016144424688,58.43343402221874
5.0,0.9387755102040816,59.5218451333322,58.56615545831845
5.0,0.9591836734693877,59.56102885110584,58.68747085475266
5.0,0.9795918367346939,59.58743740053975,58.797213259234695
5.0,1.0,59.60078753969467,58.89520153905511
6.0,0.0,48.42406137060232,27.64167309521328
6.0,0.02040816326530612,48.4771173753024,29.991412182330077
6.0,0.04081632653061224,48.57526260180082,32.087225409672286
6.0,0.061224489795918366,48.71158314356742,33.9620547936982
6.0,0.08163265306122448,48.880077359832434,35.64445043906651
6.0,0.1020408163265306,49.07553397560345,37.15915497542674
6.0,0.12244897959183673,49.29342640056271,38.5276101654403
6.0,0.14285714285714285,49.52982110686642,39.76839604676073
6.0,0.16326530612244897,49.7812981934601,40.897611590873645
6.0,0.18367346938775508,50.044882513822714,41.929204665595854
6.0,0.2040816326530612,50.31798396015617,42.87525805119422
6.0,0.22448979591836732,50.59834568436534,43.746237361303415
6.0,0.24489795918367346,50.88399919855864,44.55120594071388
6.0,0.26530612244897955,51.17322543856227,45.29801113673331
6.0,0.2857142857142857,51.46452099596014,45.993445755382794
6.0,0.3061224489795918,51.75656882994356,46.64338800619916
6.0,0.32653061224489793,52.04821286194221,47.2529227994983
6.0,0.3469387755102041,52.33843593548665,47.826446878612714
6.0,0.36734693877551017,52.626340692647865,48.3677599390511
6.0,0.3877551020408163,52.91113297812078,48.88014359997724
6.0,0.4081632653061224,53.19210743378725,49.36642984500921
6.0,0.42857142857142855,53.468634991468875,49.829060334017754
6.0,0.44897959183673464,53.74015201047972,50.27013780095049
6.0,0.4693877551020408,54.00615084030749,50.691470590909006
6.0,0.4897959183673469,54.26617161798065,51.094611249449876
6.0,0.5102040816326531,54.519795135015194,51.480889955499194
6.0,0.5306122448979591,54.7666366307964,51.851443483877176
6.0,0.5510204081632653,55.00634038828812,52.20724029206919
6.0,0.5714285714285714,55.23857502446335,52.549102246683134
6.0,0.5918367346938775,55.46302938215311,52.87772343638184
6.0,0.6122448979591836,55.67940894240933,53.19368645856767
6.0,0.6326530612244897,55.88743268722315,53.49747651550896
6.0,0.6530612244897959,56.086830351755516,53.789493610878445
6.0,0.673469387755102,56.27734001330993,54.07006309890816
6.0,0.6938775510204082,56.458705971275464,54.339444804760625
6.0,0.7142857142857142,56.63067687833267,54.59784090558545
6.0,0.7346938775510203,56.793004088471925,54.845402736477496
6.0,0.7551020408163265,56.94544019192924,55.082236663661845
6.0,0.7755102040816326,57.08773771109249,55.30840914825363
6.0,0.7959183673469387,57.21964793485249,55.52395110748973
6.0,0.8163265306122448,57.34091987183801,55.728861666068
6.0,0.836734693877551,57.451299305542605,55.92311137786619
6.0,0.8571428571428571,57.55052793657677,56.10664498759477
6.0,0.8775510204081632,57.638342599207085,56.27938379264575
6.0,0.8979591836734693,57.71447454101434,56.44122765734432
6.0,0.9183673469387754,57.77864875594894,56.592056724825696
6.0,0.9387755102040816,57.830583362314655,56.731732865704736
6.0,0.9591836734693877,57.86998901829633,56.86010089745588
6.0,0.9795918367346939,57.89656836858601,56.97698960386887
6.0,1.0,57.91001551647391,57.08221257999883
8.0,0.0,44.214364806610035,26.65569114308237
8.0,0.02040816326530612,44.25403861308899,28.172130969859904
8.0,0.04081632653061224,44.32834184269018,29.564302687069826
8.0,0.061224489795918366,44.43278458419521,30.84551151369116
8.0,0.08163265306122448,44.5633691184325,32.02757168413312
8.0,0.1020408163265306,44.71653457652158,33.12097256869429
8.0,0.12244897959183673,44.889107761532316,34.13502624184382
8.0,0.14285714285714285,45.078259445116664,35.07799856873077
8.0,0.16326530612244897,45.28146552749661,35.95722564921956
8.0,0.18367346938775508,45.496472517441084,36.77921725343628
8.0,0.2040816326530612,45.72126684949646,37.54974870041427
8.0,0.22448979591836732,45.954047609597566,38.27394246938886
8.0,0.24489795918367346,46.19320228803693,38.95634068933902
8.0,0.26530612244897955,46.43728522127795,39.600969524488484
8.0,0.2857142857142857,46.68499842186109,40.21139635986763
8.0,0.3061224489795918,46.935174529199145,40.79078059010682
8.0,0.32653061224489793,47.186761643859874,41.34191872496614
8.0,0.3469387755102041,47.43880983440852,41.8672844454488
8.0,0.36734693877551017,47.69045912940203,42.36906417357836
8.0,0.3877551020408163,47.940928828019246,42.84918865605086
8.0,0.4081632653061224,48.18950798137119,43.309361006121094
8.0,0.42857142857142855,48.43554691302289,43.75108159846309
8.0,0.44897959183673464,48.67844966190434,44.175670167664194
8.0,0.4693877551020408,48.917667243798434,44.584285421850325
8.0,0.4897959183673469,49.15269163915043,44.97794244814891
8.0,0.5102040816326531,49.383050425209966,45.35752815578741
8.0,0.5306122448979591,49.60830197963527,45.72381497516591
8.0,0.5510204081632653,49.828031190789545,46.07747300684674
8.0,0.5714285714285714,50.0418456171537,46.419080792731265
8.0,0.5918367346938775,50.249372044670594,46.74913486243854
8.0,0.6122448979591836,50.45025339651139,47.06805819079412
8.0,0.6326530612244897,50.644145954795626,47.376207687138944
8.0,0.6530612244897959,50.83071685827373,47.67388082366527
8.0,0.673469387755102,51.00964184395639,47.96132149799011
8.0,0.6938775510204082,51.18060320420581,48.23872521451759
8.0,0.7142857142857142,51.34328793393869,48.50624365967176
8.0,0.7346938775510203,51.497386045374576,48.763988737666885
8.0,0.7551020408163265,51.64258903023396,49.01203612600616
8.0,0.7755102040816326,51.77858845148455,49.2504284032566
8.0,0.7959183673469387,51.905074648680824,49.479177795745166
8.0,0.8163265306122448,52.02173554267007,49.698268584575764
8.0,0.836734693877551,52.12825552697126,49.90765920970566
8.0,0.8571428571428571,52.22431443449312,50.10728410367752
8.0,0.8775510204081632,52.309586569464,50.29705528392162
8.0,0.8979591836734693,52.383739795515986,50.47686372927108
8.0,0.9183673469387754,52.44643467181301,50.6465805634241
8.0,0.9387755102040816,52.49732362995364,50.80605806550213
8.0,0.9591836734693877,52.536050185122086,50.95513052555408
8.0,0.9795918367346939,52.562248175620255,51.09361496081319
8.0,1.0,52.57554102549577,51.22131170669541
10.0,0.0,41.04635092479054,26.058023368494066
10.0,0.02040816326530612,41.07570457022433,27.048220935934594
10.0,0.04081632653061224,41.13116714378044,27.97678633095697
10.0,0.061224489795918366,41.20979888815112,28.849310968284726
10.0,0.08163265306122448,41.30893523369402,29.670841900597352
10.0,0.1020408163265306,41.42615988400993,30.44593408129459
10.0,0.12244897959183673,41.559280483232804,31.1786975769037
10.0,0.14285714285714285,41.70630661544849,31.87284021589719
10.0,0.16326530612244897,41.86542991070989,32.53170611372267
10.0,0.18367346938775508,42.035006053847546,33.1583104714104
10.0,0.2040816326530612,42.21353851190821,33.755371006780344
10.0,0.22448979591836732,42.39966381379327,34.32533634262471
10.0,0.24489795918367346,42.59213823169597,34.870411644937555
10.0,0.26530612244897955,42.78982572841666,35.39258177597694
10.0,0.2857142857142857,42.99168704771767,35.89363220138717
10.0,0.3061224489795918,43.19676983669899,36.375167867514904
10.0,0.32653061224489793,43.40419969985442,36.83863024418613
10.0,0.3469387755102041,43.613172094114525,37.285312709355935
10.0,0.36734693877551017,43.822944982898754,37.71637443500616
10.0,0.3877551020408163,44.03283217507213,38.132852918271176
10.0,0.4081632653061224,44.24219728181475,38.535675287861785
10.0,0.42857142857142855,44.450448230837715,38.925668503287284
10.0,0.44897959183673464,44.65703228318319,39.30356855301772
10.0,0.4693877551020408,44.86143150308891,39.67002874746466
10.0,0.4897959183673469,45.06315863613317,40.0256271933842
10.0,0.5102040816326531,45.26175335515348,40.370873527924736
10.0,0.5306122448979591,45.45677883729501,40.70621498296848
10.0,0.5510204081632653,45.64781863903333,41.03204184357109
10.0,0.5714285714285714,45.83447383916674,41.34869235811854
10.0,0.5918367346938775,46.01636042261761,41.65645715223032
10.0,0.6122448979591836,46.193106880450536,41.95558319338611
10.0,0.6326530612244897,46.36435200383395,42.246277348686874
10.0,0.6530612244897959,46.529742851764034,42.528709574034266
10.0,0.673469387755102,46.68893287425895,42.803015769282126
10.0,0.6938775510204082,46.84158017443567,43.06930033054144
10.0,0.7142857142857142,46.987345894418965,43.327638427772165
10.0,0.7346938775510203,47.12589271141917,43.57807803303922
10.0,0.7551020408163265,47.25688343156575,43.82064172231825
10.0,0.7755102040816326,47.37997967021082,44.05532827148377
10.0,0.7959183673469387,47.49484060843268,44.2821140650746
10.0,0.8163265306122448,47.601121816384136,44.50095433458867
10.0,0.836734693877551,47.698474134954374,44.71178424139214
10.0,0.8571428571428571,47.78654260795398,44.91451981781962
10.0,0.8775510204081632,47.86496545769938,45.10905877867716
10.0,0.8979591836734693,47.93337309747174,45.29528121412449
10.0,0.9183673469387754,47.99138717486306,45.473050173794356
10.0,0.9387755102040816,48.03861964050433,45.64221215099382
10.0,0.9591836734693877,48.074671837102485,45.802597474914826
10.0,0.9795918367346939,48.09913360409927,45.95402061794943
10.0,1.0,48.111582393610334,46.096280424451116
12.0,0.0,38.73601948472455,25.694978461402293
12.0,0.02040816326530612,38.757722365849304,26.35589232152753
12.0,0.04081632653061224,38.798987934607794,26.98545487084373
12.0,0.061224489795918366,38.857852873594275,27.586142785292527
12.0,0.08163265306122448,38.93251523944027,28.160216262652558
12.0,0.1020408163265306,39.02132027830387,28.709737422426812
12.0,0.12244897959183673,39.122747445196474,29.236587118020136
12.0,0.14285714285714285,39.235398523184976,29.742480297186116
12.0,0.16326530612244897,39.35798674740725,30.228980035033022
12.0,0.18367346938775508,39.48932684697384,30.69751035319188
12.0,0.2040816326530612,39.628325925264456,31.149367928980045
12.0,0.22448979591836732,39.773975105923256,31.58573278946214
12.0,0.24489795918367346,39.92534187806818,32.007678077144746
12.0,0.26530612244897955,40.081563079906,32.41617896657622
12.0,0.2857142857142857,40.24183846513245,32.81212080429806
12.0,0.3061224489795918,40.40542480123784,33.19630653835455
12.0,0.32653061224489793,40.57163045317057,33.56946349786254
12.0,0.3469387755102041,40.73981040977018,33.932249577927436
12.0,0.36734693877551017,40.90936171399861,34.28525888042227
12.0,0.3877551020408163,41.07971926130353,34.629026856786524
12.0,0.4081632653061224,41.250351933467144,34.964034995014146
12.0,0.42857142857142855,41.42075903805206,35.29071508935442
12.0,0.44897959183673464,41.59046702607603,35.60945312791557
12.0,0.4693877551020408,41.759026462848055,35.92059283031223
12.0,0.4897959183673469,41.92600922900064,36.22443886470975
12.0,0.5102040816326531,42.091005930671656,36.521259771068365
12.0,0.5306122448979591,42.25362349954142,36.811290615057985
12.0,0.5510204081632653,42.413482965030084,37.0947353949808
12.0,0.5714285714285714,42.57021738241948,37.37176922208755
12.0,0.5918367346938775,42.72346990199549,37.64254029288752
12.0,0.6122448979591836,42.872891965521674,37.907171670418876
12.0,0.6326530612244897,43.01814161746198,38.16576288995081
12.0,0.6530612244897959,43.15888191938052,38.41839140322065
12.0,0.673469387755102,43.29477945686568,38.66511387405666
12.0,0.6938775510204082,43.425502929163805,38.90596733709039
12.0,0.7142857142857142,43.55072181246994,39.14097023021241
12.0,0.7346938775510203,43.67010508851704,39.37012331046309
12.0,0.7551020408163265,43.78332003073505,39.59341046216895
12.0,0.7755102040816326,43.890031040824006,39.81079940532703
12.0,0.7959183673469387,43.98989852910488,40.022242311499426
12.0,0.8163265306122448,44.08257783248251,40.22767633380028
12.0,0.836734693877551,44.167718164281226,40.42702405693459
12.0,0.8571428571428571,44.24496159059898,40.62019387267538
12.0,0.8775510204081632,44.31394202817295,40.80708028564022
12.0,0.8979591836734693,44.37428425906275,40.98756415374439
12.0,0.9183673469387754,44.42560295773804,41.16151286726347
12.0,0.9387755102040816,44.46750172640904,41.32878047002839
12.0,0.9591836734693877,44.49957213466276,41.48920772589865
12.0,0.9795918367346939,44.521392759667776,41.64262213331118
12.0,1.0,44.53252822338601,41.78883789038046
