velocity_m_s,five_region_rmse_C,Tmax_error_C,mean_temperature_error_C,five_node_energy_residual_W
4.0,32.594782552028306,-36.166670565043546,-32.46499516420384,6.59561294469313e-12
5.0,28.91634091492042,-32.40386800323864,-28.782047762223172,6.976461075502982e-12
6.0,27.47574792503501,-30.895096101977696,-27.342316031581316,6.47953912746857e-12
8.0,22.722396446441337,-25.79165847486629,-22.600527108728745,6.9260153168215766e-12
10.0,18.862060447392174,-21.467815735289943,-18.76329600533662,6.476597036453313e-12
12.0,15.86901810457478,-17.98266596613757,-15.79725983983407,6.171157335144173e-12
