time_s,experiment_middle_C,experiment_T1_C,experiment_T2_C,paper_simulation_middle_C,paper_simulation_T1_C,paper_simulation_T2_C,reference_C
0.0,55.42796005706134,56.44079885877318,54.44365192582026,55.19429676569165,56.32894340665225,54.32986247765755,54.99693095777261
1.0,55.42796005706134,56.44079885877318,54.44365192582026,55.19808121172382,56.32793809923871,54.32347705262547,55.00108725796316
2.0,55.42796005706134,56.44079885877318,54.44365192582026,55.20172112632598,56.32708050284489,54.31801575626605,55.00470120939452
3.0,55.42796005706134,56.44079885877318,54.44365192582026,55.20521650949812,56.3263706174708,54.31347858857928,55.0077728120667
4.0,55.42796005706134,56.43823109843081,54.44365192582026,55.208567361240256,56.32580844311643,54.30986554956517,55.01030206597969
5.0,55.42796005706134,56.42689015691868,54.44365192582026,55.21177368155238,56.325393979781786,54.307176639223705,55.01228897113365
6.0,55.42796005706134,56.4265335235378,54.44365192582026,55.214835470434494,56.325127227466865,54.305411857554894,55.014263340083765
7.0,55.42796005706134,56.4265335235378,54.44365192582026,55.2177527278866,56.32500818617167,54.30457120455874,55.01527837355244
8.0,55.42796005706134,56.4265335235378,54.44365192582026,55.220525453908685,56.3250368558962,54.30465468023524,55.01500154624281
9.0,55.42796005706134,56.4265335235378,54.44365192582026,55.22315364850076,56.32521323664046,54.30566228458439,55.01426533523555
10.0,55.42796005706134,56.4265335235378,54.44365192582026,55.22563731166216,56.32553732840374,54.307594017605524,55.01426533523555
11.0,55.42796005706134,56.4265335235378,54.44365192582026,55.228516027399586,56.32568772299719,54.30798238541148,55.01426533523555
12.0,55.42796005706134,56.4265335235378,54.44365192582026,55.231126131398035,56.32617341592453,54.31367956578099,55.01426533523555
13.0,55.42796005706134,56.4265335235378,54.44365192582026,55.233327721710104,56.32694777320333,54.32035673597498,55.01426533523555
14.0,55.42796005706134,56.4265335235378,54.44365192582026,55.23504469167642,56.32796416085111,54.32689155593749,55.01426533523555
15.0,55.42796005706134,56.4265335235378,54.44365192582026,55.23603790223491,56.32917594488541,54.332750323056246,55.01426533523555
16.0,55.42796005706134,56.4265335235378,54.44365192582026,55.23617118215678,56.330536491323755,54.33831063268724,55.01426533523555
17.0,55.42796005706134,56.4265335235378,54.44365192582026,55.2368558856043,56.3319991661837,54.34369429279265,55.01426533523555
18.0,55.42796005706134,56.43095577746077,54.44365192582026,55.23764108528401,56.33271989438266,54.34886436925839,55.014606506190134
19.0,55.44293865905849,56.44079885877318,54.44365192582026,55.238755287710006,56.33389250587169,54.35368096013707,55.01537713356561
20.0,55.556348074179745,56.44079885877318,54.44365192582026,55.24010522491734,56.33542373268586,54.35800416348128,55.01474616681481
21.0,55.63009985734665,56.49037089871612,54.49322396576319,55.24108327943155,56.336705957350674,54.36066537832451,55.0130461312346
22.0,55.670185449358065,56.58901569186876,54.584878744650496,55.242113190934234,56.33816291954777,54.3625587180125,55.01060955212185
23.0,55.688801711840235,56.67310984308131,54.66169757489301,55.243137179921156,56.33992423843141,54.36399005483623,55.007768954773404
24.0,55.688801711840235,56.68445078459344,54.671897289586305,55.24337827761048,56.34153147863698,54.36408915204897,55.00485686448614
25.0,55.67403708987161,56.69579172610556,54.671897289586305,55.244572573901365,56.343782734140376,54.364498831584896,55.0022058065569
26.0,55.67047075606277,56.69579172610556,54.671897289586305,55.24599248539939,56.34599705552965,54.36439824208472,55.00014830628257
27.0,55.64393723252496,56.66440798858773,54.65863052781741,55.248466674655944,56.348453966895704,54.3635960676354,54.99901688896
28.0,55.60228245363766,56.6262482168331,54.63965763195436,55.252072530764934,56.35107447027224,54.3622566230741,54.99914407988605
29.0,55.566690442225394,56.62467902995721,54.628316690442226,55.257051944193364,56.35328543401479,54.36110816798799,55.00000000000017
30.0,55.50998573466477,56.60199714693295,54.6169757489301,55.26186958433665,56.3574493823089,54.3670564257191,55.00000000000017
31.0,55.50998573466477,56.52410841654779,54.57803138373752,55.267424064719826,56.36226179944613,54.374798506219605,55.00000000000017
32.0,55.50848787446505,56.497860199714694,54.57803138373752,55.27396126301545,56.36785799392663,54.384644758642835,54.99950320720666
33.0,55.500142653352356,56.491012838801716,54.59300998573467,55.281285036693276,56.37399022271855,54.392409713111746,54.998927107129845
34.0,55.45563480741798,56.491012838801716,54.603067047075605,55.28890521596363,56.37911860840397,54.400709605993484,54.99970937289072
35.0,55.43680456490728,56.309557774607704,54.603067047075605,55.2975576617528,56.38518347440821,54.4093501834341,55.0015174791924
36.0,55.43680456490728,56.26718972895863,54.57403708987161,55.307121708631136,56.39257764208255,54.41729486527143,55.00473116992393
37.0,55.45406562054208,56.26718972895863,54.43937232524964,55.31705901390511,56.40107773465102,54.42456104598091,55.00787552913105
38.0,55.47018544935806,56.286875891583456,54.2725392296719,55.327605498892,56.41017077830649,54.436267108258726,55.00978040029412
39.0,55.47018544935806,56.29828815977176,54.2725392296719,55.33905432812256,56.42063089715785,54.451092960646314,55.010333205126535
40.0,55.44151212553495,56.320970042796006,54.283880171184016,55.350968844301974,56.431194310280375,54.46885220711577,55.00965928719155
41.0,55.44151212553495,56.365335235378026,54.28673323823109,55.36413408389106,56.44139467784942,54.488451047608436,55.0078546169846
42.0,55.549358059914404,56.365335235378026,54.28673323823109,55.37859546838871,56.45159583819618,54.51027661412971,55.00498579193318
43.0,55.63295292439372,56.26433666191156,54.281455064194006,55.39323049452006,56.46130410066529,54.53219157799536,55.002345818180515
44.0,55.655634807417975,56.252139800285306,54.281455064194006,55.40912729631491,56.47011913583432,54.55392807361014,55.00135395064085
45.0,55.65620542082739,56.252139800285306,54.31348074179743,55.42581328499498,56.47842942809413,54.57672171497336,55.00162089455972
46.0,55.68587731811697,56.255349500713265,54.34579172610556,55.44258904409128,56.485251863143496,54.59899077066786,55.00342828038994
47.0,55.68587731811697,56.26055634807418,54.37368045649073,55.459525410623186,56.491011369830574,54.62134864078196,55.00522790729656
48.0,55.62703281027104,56.281027104136946,54.47389443651926,55.47593644534266,56.495358473090796,54.6439986261622,55.006593754953414
49.0,55.616975748930095,56.33773181169758,54.836804564907276,55.49274449847182,56.4982042885536,54.66570658177971,55.00795960261027
50.0,55.62703281027104,56.37303851640514,54.868045649072755,55.508005049526936,56.50094065405956,54.6860523121355,55.01005185177812
51.0,55.64450784593438,56.40706134094151,54.87938659058488,55.5234534888974,56.50207444275819,54.70562319555567,55.01140301290104
52.0,55.68502139800285,56.523537803138375,54.919828815977176,55.53835271985639,56.50213830799717,54.724414125619155,55.01140807467502
53.0,55.71519258202567,56.69857346647646,54.99921540656205,55.55186778426492,56.500973624285166,54.741906439172986,55.01032354341929
54.0,55.7265335235378,56.69857346647646,55.07860199714693,55.56467205351275,56.49878523139013,54.75833167394012,55.008435298521064
55.0,55.77924393723252,56.67689015691869,55.15798858773181,55.57667009115476,56.498039623961525,54.73690944473316,55.006058592435366
56.0,55.80627674750356,56.58002853067047,55.192867332382306,55.58747308636218,56.497860199714,54.716063937987315,55.00353805068516
57.0,55.81761768901569,56.4888730385164,55.19657631954351,55.59711603793887,56.497860199714,54.72300771465905,55.000900515451335
58.0,55.81761768901569,56.464621968616264,55.19657631954351,55.605738451443315,56.497860199714,54.75715593797426,54.99848052565616
59.0,55.81447931526391,56.430599144079885,55.173894436519255,55.61379631395608,56.497860199714,54.810583768855196,54.998526746672425
60.0,55.81447931526391,56.40656205420827,54.991440798858775,55.62147686091673,56.497860199714,54.88062500262249,55.00170951255134
61.0,55.82724679029957,56.34151212553495,54.822610556348074,55.629041475796974,56.497860199714,54.96336690824557,55.0046648311272
62.0,55.84579172610556,56.28388017118402,54.72895863052781,55.63542275337223,56.497860199714,55.05542187665336,55.00642139600787
63.0,55.85592011412268,56.282667617689015,54.72289586305278,55.64067749383314,56.497916020591006,55.15365482178989,55.00730840723725
64.0,55.85592011412268,56.27132667617689,54.6672610556348,55.6455744117466,56.49920876121886,55.257115506311465,55.00732586481534
65.0,55.88480741797432,56.27132667617689,54.6672610556348,55.648734446983234,56.500538878983654,55.362816090961694,55.00647376874213
66.0,55.90542082738944,56.47075606276748,54.685306704707564,55.65203237890602,56.501420704275034,55.46820572021687,55.00475211901763
67.0,55.916761768901566,56.70891583452211,54.70042796005706,55.65487397399341,56.50179589798094,55.579944146478525,55.002160915641824
68.0,55.93067047075606,56.74122681883024,54.704707560627675,55.657057750124174,56.501823062275726,55.71348517202508,54.999535794685755
69.0,55.97503566333809,56.75256776034237,54.7614122681883,55.65872374914766,56.499761257326085,55.81281180063531,54.99791706154063
70.0,55.97503566333809,56.75256776034237,55.08701854493581,55.65873284277424,56.49684721634694,55.87841968159181,54.998713459626615
71.0,55.95099857346648,56.74828815977176,55.23566333808844,55.65825435479719,56.49314011786203,55.909116407279996,55.000396868941976
72.0,55.910128388017114,56.71640513552069,55.23566333808844,55.65724619804731,56.488271320239996,55.90375878059529,55.00256742781724
73.0,55.84493580599144,56.68787446504993,55.212981455064195,55.65550861586075,56.48194632988157,55.86221466997762,55.005281665552886
74.0,55.59543509272468,56.68787446504993,55.19029957203994,55.653441004980294,56.47332279716153,55.78469154418572,55.00820705685202
75.0,55.53316690442225,56.80456490727532,54.97146932952924,55.649805652877404,56.463505178003544,55.670153411811434,55.01101107641781
76.0,55.53316690442225,56.865691868758915,54.83109843081313,55.645669778240745,56.452283596169536,55.57544287127227,55.01336119895338
77.0,55.61676176890157,56.865691868758915,54.81483594864479,55.641306423037626,56.43950786691899,55.4942929798595,55.014924899161876
78.0,55.91854493580599,56.85449358059914,54.81483594864479,55.636354640243795,56.426099524379325,55.41244521089918,55.01536965174643
79.0,55.91854493580599,56.85449358059914,54.83751783166905,55.630147657177986,56.40913664642838,55.33221522142446,55.01446884071723
80.0,55.88730385164051,56.78601997146933,55.048502139800284,55.62383761301095,56.38920738085298,55.256819637009734,55.01426533523555
81.0,55.864550641940085,56.68402282453638,55.19671897289586,55.61710413228314,56.36827077462241,55.1889260380368,55.01470825893097
82.0,55.85320970042796,56.58416547788873,55.199928673323825,55.609320174466376,56.34681130818045,55.131239078903555,55.014597528007116
83.0,55.84186875891584,56.527460770328105,55.199928673323825,55.60136574612672,56.325736268972925,55.08650048802395,55.013661136771155
84.0,55.819400855920115,56.493009985734666,55.077318116975746,55.593897010714414,56.30454888850166,55.058071199831076,55.012910959701436
85.0,55.77211126961483,56.47539229671897,54.944365192582026,55.585916187540676,56.28223214956009,55.04705361835334,55.01297081425487
86.0,55.731241084165475,56.3848787446505,54.86105563480742,55.57754303267249,56.25917812735578,55.0558286415654,55.01301903042291
87.0,55.72696148359486,56.35064194008559,54.843081312410845,55.569033589990546,56.23532787653491,55.086429184664766,55.01202644241178
88.0,55.72696148359486,56.3444365192582,54.843081312410845,55.55990228315247,56.21125821282654,55.124598329849874,55.01032557551833
89.0,55.748216833095576,56.3444365192582,54.86462196861626,55.54941325123197,56.18562332613081,55.12701618525561,55.00815185765275
90.0,55.748216833095576,56.34094151212554,55.08345221112696,55.539832416119935,56.161182922261865,55.12744883202791,55.00595054018751
91.0,55.731954350927246,56.34094151212554,55.271540656205424,55.53129009648036,56.136614484794066,55.126024513618546,55.00415935572872
92.0,55.71126961483595,56.33894436519259,55.29957203994294,55.52238655001263,56.110356824579526,55.1236835110159,55.002067051139974
93.0,55.699928673323825,56.32760342368046,55.29957203994294,55.513278490214816,56.083503881578835,55.12042913523274,55.000372502227165
94.0,55.6885877318117,56.285021398002854,55.28915834522111,55.50302901706223,56.05732671161803,55.11723637459891,55.00030086149932
95.0,55.6885877318117,56.28388017118402,55.26283880171184,55.4918688988171,56.0318391183559,55.11443975215836,55.001764028226404
96.0,55.69386590584879,56.28388017118402,55.15121255349501,55.48015234389324,56.005454613709055,55.11225358020674,55.003496318760405
97.0,55.716547788873044,56.28388017118402,54.95720399429386,55.46722202299081,55.97826072966258,55.110919976551756,55.00482516374117
98.0,55.73922967189729,56.28388017118402,54.95720399429386,55.45483191014123,55.950792404629325,55.11054958614604,55.0061888499836
99.0,55.76191155492154,56.27382310984308,54.96726105563481,55.44128564759844,55.920996530897355,55.1107656180698,55.00745760025377
100.0,55.784593437945794,56.21255349500713,55.106990014265335,55.42769335731496,55.89080615699075,55.11156807232304,55.00878088467263
101.0,55.80727532097004,56.12182596291013,55.229529243937236,55.41292052776542,55.861240142158344,55.11295694890573,55.0101309373779
102.0,55.82995720399429,55.99900142653352,55.238302425106994,55.396276696205504,55.8326341811229,55.1149322478179,55.01139312951028
103.0,55.852639087018545,55.624750356633385,55.229529243937236,55.37981639268357,55.804793740226586,55.11749396905954,55.01248220527839
104.0,55.87532097004279,55.551212553495006,55.15197337137423,55.36367431945796,55.77632103579603,55.12064211263064,55.013342281958714
105.0,55.89800285306705,55.52853067047076,55.04612458392773,55.346265877121574,55.74826901652127,55.12343709705257,55.01394684989567
106.0,55.920684736091296,55.509700427960055,54.940275796481224,55.328302187272996,55.72031819298846,55.12607949508387,55.014592059813346
107.0,55.94151212553495,55.49650499286733,54.84215406562055,55.31068214324119,55.691930991964746,55.12832611050601,55.01555405549717
108.0,55.94151212553495,55.46248216833096,54.83081312410842,55.29391498811466,55.66371125357206,55.1294953410313,55.01494235673996
109.0,55.932168330955776,55.46248216833096,54.81947218259629,55.279665247283,55.635577601510995,55.130036178642925,55.01318047145454
110.0,55.92724679029957,55.50641940085592,54.81804564907276,55.2686539847099,55.60826228257421,55.12985535537592,55.010212516917406
111.0,55.87552068473609,55.50641940085592,54.81804564907276,55.25867720843317,55.580396915814255,55.129503152223364,55.006817433636435
112.0,55.70767475035663,55.53594864479315,54.83256572243734,55.24834655484393,55.551472351410624,55.12915444661951,55.004692596989486
113.0,55.539828815977174,55.59957203994294,54.90709190951702,55.237737337823816,55.52267239300814,55.12847972284423,55.00383800697655
114.0,55.37198288159772,55.68687589158345,54.981618096596705,55.22479810983074,55.49414771500413,55.12838801711773,55.00425366359762
115.0,55.20413694721826,55.72539229671897,55.05614428367638,55.208088710891474,55.465135571981435,55.12868705753027,55.0064184032802
116.0,55.0362910128388,55.727318116975745,55.130670470756066,55.18805165086562,55.43638257399929,55.12931836506786,55.009973098703654
117.0,54.884091298145506,55.727318116975745,55.20519665783575,55.16555672347706,55.40773944567982,55.129524137515475,55.01269332189464
118.0,54.884091298145506,55.71597717546362,55.27972284491543,55.14256376847278,55.3806036675755,55.13116917456384,55.012838801712014
119.0,54.8963395149786,55.67874465049928,55.35424903199511,55.117387830115455,55.35451139186514,55.13181475210007,55.011313341912654
120.0,54.9085877318117,55.63338088445079,55.428775219074794,55.09229919057329,55.329440994953984,55.13108043009521,55.00811694249657
121.0,54.92083594864479,55.62738944365193,55.4567760342368,55.06726837716938,55.30644376711108,55.129370478543265,55.00453564504937
122.0,54.93308416547789,55.62738944365193,55.4567760342368,55.04256712611953,55.28608008850129,55.12649817497842,55.00194194773384
123.0,54.94533238231099,55.650071326676176,55.4564907275321,55.01970164510632,55.267313737461194,55.12339964996465,54.99998004848236
124.0,54.95758059914408,55.65620542082739,55.44821683309558,54.99813314841338,55.249913074256014,55.12163126603268,54.99898247259178
125.0,54.96982881597717,55.65620542082739,55.43152639087018,54.97720407357097,55.23438472755661,55.12001458244565,54.99928174535894
126.0,54.982077032810274,55.65378031383737,55.40399429386591,54.95818153583358,55.22035506881009,55.117519454530964,55.00000000000017
127.0,54.99432524964337,55.64243937232525,55.358630527817404,54.941979871040374,55.20740939075432,55.11326403368026,55.00000000000017
128.0,55.00657346647646,55.57689015691869,55.08216833095578,54.92976451570908,55.195930339788504,55.10481621780614,55.00000000000017
129.0,55.01882168330956,55.53259629101284,55.08216833095578,54.92200037733487,55.18580650441393,55.09192833382775,55.00000000000017
130.0,55.031069900142654,55.498573466476465,55.27104136947219,54.91715965803366,55.176112249627295,55.075352401346294,54.999610945402836
131.0,55.04331811697575,55.464550641940086,55.27104136947219,54.91434579017985,55.1660961008621,55.0561605356186,54.998900172580804
132.0,55.05556633380885,55.430527817403714,55.27104136947219,54.91313742907986,55.155336478172984,55.03438444775271,54.99957769287316
133.0,55.06781455064194,55.396504992867335,55.28445078459344,54.912840702156984,55.14396504969483,55.010956817397904,55.00131098098305
134.0,55.080062767475034,55.362482168330956,55.28445078459344,54.91224238749579,55.13260986150106,54.986427552475384,55.004372042603315
135.0,55.092310984308135,55.328459343794584,55.2385877318117,54.912354795379514,55.121286917791544,54.96232475532248,55.00754699413775
136.0,55.10455920114123,55.294436519258205,55.118116975748926,54.914229990006994,55.109523131387306,54.93907605955838,55.00959385360258
137.0,55.11680741797432,55.26041369472183,54.766547788873034,54.91718664889444,55.097025544695896,54.917343994171944,55.009529343695
138.0,55.12905563480742,55.25677603423681,54.70870185449358,54.92076098154162,55.08515419409649,54.8981703156974,55.00933149114336
139.0,55.141303851640515,55.24957203994294,54.6716119828816,54.92435760412207,55.073332738943684,54.87933272833446,55.00900062847298
140.0,55.15355206847361,55.24251069900143,54.643366619115554,54.92754725082724,55.06151925820189,54.86307502614933,55.008204230386994
141.0,55.16580028530671,55.22868758915835,54.64201141226819,54.928959799707705,55.049705777460105,54.85078774123109,55.00759321515402
142.0,55.1780485021398,55.113009985734664,54.630670470756066,54.927904407174935,55.0378922967183,54.8419385933039,55.0085966102373
143.0,55.190296718972895,54.99733238231099,54.62168330955778,54.923735542326675,55.0260788159765,54.837551617988666,55.010406379165474
144.0,55.202544935805996,54.8816547788873,54.62168330955778,54.91585298694698,55.0142653352347,54.837209720946234,55.01302252193853
145.0,55.21479315263909,54.76597717546362,54.633024251069905,54.90271776520829,55.00245185449291,54.83831846719629,55.01491691855475
146.0,55.22704136947218,54.65029957203994,54.66833095577747,54.88537843443391,54.99063837375111,54.84390859925905,55.01531578264834
147.0,55.23928958630528,54.53462196861626,54.9518544935806,54.860185294799045,54.97882489300931,54.846673038422466,55.01439701525311
148.0,55.251537803138376,54.49614835948645,54.9518544935806,54.828516265010826,54.96701141226752,54.84656477763218,55.01426533523555
149.0,55.25677603423681,54.48644793152639,54.845506419400856,54.79485739539059,54.95486151106161,54.844588755893284,55.01426533523555
150.0,55.25677603423681,54.48644793152639,54.632667617689016,54.76502696920861,54.94239761742252,54.84092938728943,55.01426533523555
151.0,55.256134094151214,54.487089871611985,54.60057061340942,54.74688906479456,54.930352808810724,54.83511459601614,55.01426533523555
152.0,55.24479315263909,54.49843081312411,54.60057061340942,54.74016546047804,54.91806281620688,54.82620937072503,55.01426533523555
153.0,55.24251069900143,54.518830242510695,54.591512125534955,54.74425199636125,54.90630430818653,54.81523826001083,55.01426533523555
154.0,55.24251069900143,54.52924393723252,54.58630527817404,54.758610223380764,54.895263561278014,54.802667603698154,55.01426533523555
155.0,55.24251069900143,54.52924393723252,54.58630527817404,54.78283787136321,54.88476198190161,54.78958154861128,55.01426533523555
156.0,55.243081312410844,54.52867332382311,54.5848787446505,54.81391084701701,54.874434543531144,54.77578301954037,55.01426533523555
157.0,55.2657631954351,54.50599144079886,54.52817403708987,54.85015743476965,54.86442195935098,54.762088577518305,55.01426533523555
158.0,55.28844507845935,54.483309557774604,54.48017118402282,54.88984948415754,54.854838681784116,54.74931464367606,55.01426533523555
159.0,55.29386590584879,54.460627674750356,54.457917261055634,54.931202409825914,54.84577290249218,54.737128367963834,55.01426533523555
160.0,55.29386590584879,54.4379457917261,54.45506419400856,54.972375191528975,54.83728655237543,54.726110739852125,55.01426533523555
161.0,55.27118402282454,54.41526390870185,54.44372325249644,55.01147037412977,54.82941530157274,54.71704728545853,55.01426533523555
162.0,55.18088445078459,54.392582025677605,54.44372325249644,55.04653406760025,54.82216855946162,54.708691408480846,55.01426533523555
163.0,55.156918687589155,54.36990014265335,54.45199714693295,55.07555594702126,54.815529474658184,54.7020367391834,55.01426533523555
164.0,55.156918687589155,54.33637660485021,54.474179743223964,55.096469252582494,54.80945493501721,54.6980759285169,55.01426533523555
165.0,55.164407988587726,54.298502139800284,54.48687589158345,55.1071507895826,54.803875567632055,54.69752518118402,55.01426533523555
166.0,55.198430813124105,54.29764621968616,54.497360912981456,55.10769480141394,54.79869573883473,54.69921939376689,55.01426533523555
167.0,55.210627674750356,54.29764621968616,54.497360912981456,55.09698372178596,54.79360349740033,54.69842302524837,55.01426533523555
168.0,55.21398002853067,54.33295292439372,54.70042796005706,55.080256951688234,54.788535010150774,54.69813039700841,55.014905778957306
169.0,55.21398002853067,54.378316690442226,54.78744650499287,55.06302100068065,54.783665367287796,54.696708503566136,55.015302315373816
170.0,55.17439372325249,54.43223965763196,54.78744650499287,55.04930916418312,54.779606695209104,54.693577078277734,55.014380388988265
171.0,54.964586305278175,54.52296718972896,54.492582025677606,55.0418798228275,54.775857439604046,54.68872266723929,55.01247252509752
172.0,54.75477888730385,54.613694721825965,54.47218259629101,55.035176106239,54.7718709569302,54.68219111165554,55.00991124899844
173.0,54.544971469329525,54.70442225392297,54.464550641940086,55.027828024597824,54.768168055503715,54.67509948194242,55.00702908598789
174.0,54.33516405135521,54.79514978601997,54.44850213980028,55.0250264064919,54.76447051698522,54.6674576645042,55.00415856136273
175.0,54.1583452211127,54.85848787446505,54.425820256776035,55.03270581791508,54.76109034603436,54.659212193479995,55.00163220041982
176.0,54.1583452211127,54.86754636233951,54.41105563480742,55.02895403241647,54.75795724192259,54.65093538441957,54.999782528456024
177.0,54.1583452211127,54.86754636233951,54.41105563480742,55.01523229086107,54.75540823621351,54.644181874396295,54.99894207076821
178.0,54.16562054208274,54.871611982881596,54.415121255349504,54.992975882302616,54.75343839347728,54.63883843610075,54.99944335265323
179.0,54.17416445893622,54.871611982881596,54.419472182596294,54.96359414398361,54.752030420278764,54.63415370280749,54.99966481450093
180.0,54.17821479519055,54.86875891583452,54.43081312410841,54.92847046133532,54.75115466517743,54.63147516343979,54.998886705306276
181.0,54.18226513144488,54.84607703281027,54.44215406562054,54.88896226797778,54.750769118727426,54.630889090865175,54.99951185286437
182.0,54.18631546769921,54.734807417974324,54.453495007132666,54.84640104571975,54.75081941347751,54.63196887741212,55.00120773187838
183.0,54.19036580395354,54.610057061340946,54.46483594864479,54.80209232455879,54.751238823971114,54.634820079099896,55.0036418170514
184.0,54.19441614020787,54.48530670470756,54.46483594864479,54.75731568268119,54.75194826674633,54.639116467904195,55.006481583086604
185.0,54.1984664764622,54.384736091298144,54.45256776034237,54.71332474646202,54.75337463705093,54.64414169922041,55.00945435924055
186.0,54.20251681271653,54.384736091298144,54.39586305278174,54.6713471904651,54.75460783385551,54.649965770656195,55.013044634870774
187.0,54.206567148970855,54.39607703281027,54.33915834522111,54.6324446156497,54.75556201177068,54.655974326126625,55.0147952142961
188.0,54.210617485225185,54.4074179743224,54.326176890156916,54.597553544638345,54.755129947923166,54.65995672832701,55.014649235690776
189.0,54.214667821479516,54.41875891583452,54.326176890156916,54.56842672698728,54.75540998498785,54.66234625358839,55.012461385500075
190.0,54.218718157733846,54.43009985734665,54.34600570613409,54.54677229552314,54.75596292411791,54.663192007494345,55.00915809767468
191.0,54.22276849398818,54.44144079885877,54.35734664764622,54.533738745304035,54.756076594450164,54.661462562937714,55.00672578596989
192.0,54.22681883024251,54.4527817403709,54.52639087018545,54.52841534796245,54.75621194958426,54.65878861701728,55.00465548347163
193.0,54.23086916649684,54.464122681883026,54.71597717546363,54.53117365142617,54.756160590996444,54.65599535805271,55.00327075576736
194.0,54.23491950275117,54.61654778887304,54.82774607703281,54.5438425322299,54.75639484806348,54.652451245336515,55.002865795376664
195.0,54.2389698390055,55.08815977175463,54.82774607703281,54.55922505113516,54.75724551019607,54.64760203398711,55.00370542175124
196.0,54.2389698390055,55.08815977175463,54.793723252496434,54.56076866926467,54.75836670189019,54.64408315025542,55.005873782264814
197.0,54.235164051355206,55.06804564907276,54.58423680456491,54.5627432520121,54.75980932705231,54.641761267585586,55.00732026730618
198.0,54.22382310984308,55.06804564907276,54.44621968616262,54.564768452616505,54.76161038683287,54.6401373090973,55.00906070470995
