time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
0.0,53.75582479030755,52.76794035414725,54.10065237651445,53.11856897030009,53.39187868789512,53.824767179202695,55.002658168175444
1.0,53.7273376825101,52.76794035414725,54.10065237651445,53.14202668311959,53.306858756066234,53.82643471360938,55.0043209136313
2.0,53.56837527182355,52.76794035414725,54.10065237651445,53.165919092144954,53.228153059499455,53.83025385923235,55.005716017440186
3.0,53.41099720410065,52.883923578751165,54.0762348555452,53.190246197376176,53.15576159819478,53.8362246160716,55.00684347960213
4.0,53.41099720410065,52.936874805840326,54.03081702392047,53.215007998813256,53.08968437215221,53.84434698412713,55.00770330011712
5.0,53.41099720410065,52.94757688723206,53.92429325877602,53.2402044964562,53.029921381371764,53.85462096339894,55.0082954789853
6.0,53.413886300093196,52.97875116495806,53.92429325877602,53.265835690305,52.97647262585342,53.867046553887036,55.00870827422568
7.0,53.661276794035416,52.98229263746505,53.92429325877602,53.291901580359664,52.929338105597175,53.881623755591406,55.0091169056688
8.0,53.661276794035416,52.98229263746505,54.098291394843116,53.31840216662018,52.88851782060305,53.89835256851206,55.009374445581514
9.0,53.661276794035416,52.98229263746505,54.10065237651445,53.345337449086564,52.854011770871026,53.917232992649,55.00965885103833
10.0,53.63019571295433,52.92528735632184,54.17862690276483,53.3727074277588,52.82581995640112,53.93826502800221,55.008705667326524
11.0,53.62384280832557,52.732261571916744,54.17862690276483,53.4005121026369,52.803942377193316,53.961448674571706,55.00776808880274
12.0,53.62384280832557,52.732261571916744,54.17862690276483,53.42875147372086,52.78837903324762,53.98678393235748,55.0084848050367
13.0,53.63019571295433,52.732261571916744,54.19384902143523,53.45742554101068,52.77912992456403,54.014270801359544,55.010145436007676
14.0,55.84367816091954,52.96436781609196,54.20540540540541,53.48653430450636,52.77619505114256,54.04390928157788,55.01127389748096
15.0,55.84367816091954,52.96436781609196,54.46598322460392,53.51607776420596,52.779574412981304,54.07569937301056,55.01244030381979
16.0,55.84367816091954,52.96436781609196,54.46598322460392,53.55014848728746,52.82437088337709,54.112104700791356,55.01287677839419
17.0,53.78793103448276,52.867536502019256,54.46598322460392,53.58411984710746,52.887128113043914,54.15080363610915,55.01317302351802
18.0,53.78793103448276,52.75796831314073,54.30400745573159,53.61732449198024,52.92250365826565,54.19172497857434,55.0132960184686
19.0,53.766449207828515,52.66700838769805,54.07427772600187,53.649933789761576,52.9605285616582,54.23372210347968,55.013448703104046
20.0,53.766449207828515,52.66700838769805,54.07427772600187,53.68255160394511,52.993524587661774,54.27709141837674,55.012667755771375
21.0,53.78793103448276,52.66700838769805,54.07427772600187,53.71493716789256,53.02928055940794,54.32290818108775,55.01320155458104
22.0,53.748493320907116,53.22876669773222,54.07427772600187,53.74711501455969,53.067370380340755,54.370802188854796,55.01239095377043
23.0,53.748493320907116,53.39316557937248,54.07427772600187,53.77921216116913,53.107306988276285,54.42015632922577,55.00979738781479
24.0,53.926840633737186,53.43410997204101,53.78639328984156,53.80986755407952,53.14827889668328,54.46999740926516,55.00598433615692
25.0,53.99075799937869,53.43410997204101,53.468468468468465,53.84069404782457,53.191338652454476,54.520302107036386,55.001649268783055
26.0,54.01978875427151,53.43410997204101,53.468468468468465,53.8704945868365,53.23564132859329,54.57106770206571,54.996748250843254
27.0,54.091332712022364,53.28272755514135,53.468468468468465,53.90040829724194,53.2816358739492,54.62281957877636,54.99215277189432
28.0,54.09959614787201,53.28272755514135,54.058341099720415,53.929784918275956,53.32969655314216,54.67620668638847,54.98876709329312
29.0,54.106710158434296,53.28272755514135,54.70554520037278,53.9566648323869,53.37851590366456,54.730224380022975,54.987046840818564
30.0,54.106710158434296,53.705498602050326,55.096458527493006,53.981308460536326,53.42532807546617,54.78411012753958,54.9870467616159
31.0,54.16941596769183,53.78446722584654,55.096458527493006,54.009161972826575,53.47378592968905,54.838881692406645,54.98887378154636
