time_s,experiment_current_A,paper_simulation_current_A
0.0,10.053538175046555,6.512357391280534
1.0,10.053538175046555,7.2283151906013785
2.0,10.053538175046555,7.862727466147609
3.0,10.043028398510243,8.415594217919224
4.0,9.967178770949724,8.886915445916225
5.0,9.885707635009311,9.27669115013861
6.0,9.820693668528866,9.584921330586381
7.0,9.809124767225327,9.811605987259588
8.0,9.809124767225327,9.865176023997963
9.0,9.809124767225327,9.745221241268368
10.0,9.809124767225327,9.615179373425399
11.0,9.809124767225327,9.61375506627237
12.0,9.818575418994415,9.613496275605264
13.0,9.877234636871508,9.613479981378077
14.0,9.9070530726257,9.613532624265915
15.0,9.926850558659218,9.613739435610995
16.0,9.939478584729983,9.613908644893334
17.0,9.950151303538178,9.614040252112929
18.0,9.969948789571694,9.614134257269782
19.0,9.972067039106143,9.614190660363896
20.0,9.972067039106143,9.614209461395266
21.0,9.972067039106143,9.614190660363896
22.0,9.960172253258847,9.614134257269782
23.0,9.878782588454374,9.614040252112929
24.0,9.780446927374303,9.613908644893334
25.0,9.629888268156424,9.613739435610995
26.0,9.524138733705772,9.613532624265915
27.0,9.424418063314713,9.613479981378077
28.0,9.320297951582866,9.613496275605264
29.0,9.320297951582866,9.613594040968394
30.0,9.320297951582866,9.613594040968394
31.0,9.331133612662942,9.613594040968394
32.0,9.35093109869646,9.613594040968394
33.0,9.428817504655495,9.613594040968394
34.0,9.846764432029794,9.613594040968394
35.0,9.866561918063313,9.613594040968394
36.0,9.874301675977652,9.613594040968394
37.0,9.874301675977652,9.613594040968394
38.0,9.874301675977652,9.613594040968394
39.0,9.871287243947856,9.613594040968394
40.0,9.871287243947856,9.613594040968394
41.0,9.871287243947856,9.613594040968394
42.0,9.908845437616389,9.613594040968394
43.0,9.988035381750464,9.613594040968394
44.0,10.037243947858475,9.613594040968394
45.0,10.037243947858475,9.613594040968394
46.0,10.04832402234637,9.613594040968394
47.0,10.04832402234637,9.613594040968394
48.0,10.04832402234637,9.613594040968394
49.0,10.02852653631285,9.613594040968394
50.0,10.008729050279328,9.613594040968394
51.0,10.008729050279328,9.613594040968394
52.0,10.008729050279328,9.613594040968394
53.0,10.004655493482307,9.613594040968394
54.0,10.004655493482307,9.613594040968394
55.0,9.972067039106143,9.613594040968394
56.0,9.972067039106143,9.613594040968394
57.0,9.972067039106143,9.613594040968394
58.0,9.979725325884543,9.613594040968394
59.0,9.986487430167598,9.613594040968394
60.0,9.986487430167598,9.613594040968394
61.0,9.986487430167598,9.613594040968394
62.0,9.972067039106143,9.613594040968394
63.0,9.972067039106143,9.613594040968394
64.0,9.972067039106143,9.613594040968394
65.0,9.972067039106143,9.613594040968394
66.0,9.972067039106143,9.613594040968394
67.0,9.942167132216014,9.613594040968394
68.0,9.722765363128492,9.613594040968394
69.0,9.629888268156424,9.613594040968394
70.0,9.449022346368713,9.613594040968394
71.0,9.413093575418996,9.613594040968394
