time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
0.0,,,,53.16868592730662,53.85834109972041,,55.00465983224604
0.8207934336525308,53.75582479030755,,,53.178005591798694,52.76794035414725,53.839701770736255,55.00465983224604
1.6415868673050615,,,,53.178005591798694,52.81453867660764,53.83038210624417,55.00465983224604
2.462380300957592,,52.76794035414725,54.10065237651445,53.084808946877914,53.271202236719475,53.83038210624417,55.00465983224604
3.283173734610123,53.36439888164026,52.945013979496736,54.06337371854613,53.16868592730662,52.78657968313141,53.83038210624417,55.00465983224604
4.1039671682626535,53.38303821062442,52.93569431500466,54.026095060577816,53.20596458527493,52.77726001863933,53.839701770736255,55.00465983224604
4.924760601915184,53.41099720410065,52.945013979496736,53.73718546132339,53.21528424976701,54.026095060577816,53.84902143522833,55.00465983224604
5.745554035567715,53.41099720410065,52.972972972972975,53.718546132339235,53.23392357875117,52.77726001863933,53.85834109972041,55.013979496738116
6.566347469220246,53.42031686859273,52.99161230195713,53.73718546132339,53.2618825722274,52.758620689655174,53.86766076421249,55.013979496738116
7.387140902872777,55.93662628145387,53.01025163094128,54.091332712022364,53.28052190121156,52.77726001863933,53.87698042870457,55.013979496738116
8.207934336525307,55.93662628145387,52.98229263746505,54.10065237651445,53.28984156570363,52.74930102516309,53.886300093196645,55.00465983224604
9.028727770177838,53.578751164958064,52.98229263746505,54.10065237651445,53.33643988816402,52.758620689655174,53.9049394221808,55.00465983224604
9.849521203830369,53.578751164958064,52.95433364398882,54.17520969245107,53.345759552656105,52.758620689655174,53.91425908667288,55.00465983224604
10.6703146374829,53.55079217148183,,54.19384902143523,53.40167753960857,52.77726001863933,53.94221808014912,55.013979496738116
11.49110807113543,53.65330848089469,52.637465051258154,54.19384902143523,53.42031686859273,52.79589934762348,53.97017707362535,55.00465983224604
12.311901504787961,53.61602982292637,52.53494874184529,54.212488350419385,53.44827586206897,52.79589934762348,53.99813606710158,55.013979496738116
13.132694938440492,53.625349487418454,52.637465051258154,53.839701770736255,53.44827586206897,52.81453867660764,54.01677539608574,55.00465983224604
13.953488372093023,55.992544268406334,52.95433364398882,,53.4762348555452,52.81453867660764,54.0354147250699,55.013979496738116
