curve,duty_ratio_percent,data_value
corotation_mass_flow_kg_s,0.0,3.439613526570051e-05
corotation_mass_flow_kg_s,0.06868131868131869,3.439613526570051e-05
corotation_mass_flow_kg_s,0.13736263736263737,3.439613526570051e-05
corotation_mass_flow_kg_s,0.20604395604395603,3.439613526570051e-05
corotation_mass_flow_kg_s,0.27472527472527475,3.439613526570051e-05
corotation_mass_flow_kg_s,0.3434065934065934,3.478260869565217e-05
corotation_mass_flow_kg_s,0.41208791208791207,3.478260869565217e-05
corotation_mass_flow_kg_s,0.4807692307692308,3.478260869565217e-05
corotation_mass_flow_kg_s,0.5494505494505495,3.439613526570051e-05
corotation_mass_flow_kg_s,0.6181318681318682,3.478260869565217e-05
corotation_mass_flow_kg_s,0.6868131868131868,3.594202898550726e-05
corotation_mass_flow_kg_s,0.7554945054945055,3.671497584541064e-05
corotation_mass_flow_kg_s,0.8241758241758241,3.671497584541064e-05
corotation_mass_flow_kg_s,0.8928571428571429,3.71014492753623e-05
corotation_mass_flow_kg_s,0.9615384615384616,3.748792270531401e-05
corotation_mass_flow_kg_s,1.0302197802197801,3.748792270531401e-05
corotation_mass_flow_kg_s,1.098901098901099,3.787439613526567e-05
corotation_mass_flow_kg_s,1.1675824175824177,3.787439613526567e-05
corotation_mass_flow_kg_s,1.2362637362637363,3.826086956521739e-05
corotation_mass_flow_kg_s,1.304945054945055,3.826086956521739e-05
corotation_mass_flow_kg_s,1.3736263736263736,3.86473429951691e-05
corotation_mass_flow_kg_s,1.4423076923076923,3.9033816425120764e-05
corotation_mass_flow_kg_s,1.510989010989011,3.942028985507248e-05
corotation_mass_flow_kg_s,1.5796703296703296,3.942028985507248e-05
corotation_mass_flow_kg_s,1.6483516483516483,3.942028985507248e-05
corotation_mass_flow_kg_s,1.717032967032967,3.942028985507248e-05
corotation_mass_flow_kg_s,1.7857142857142858,3.9692252639112564e-05
corotation_mass_flow_kg_s,1.8543956043956045,3.996421542315265e-05
corotation_mass_flow_kg_s,1.9230769230769231,4.023617820719268e-05
corotation_mass_flow_kg_s,1.9917582417582418,4.050814099123277e-05
corotation_mass_flow_kg_s,2.0604395604395602,4.078010377527285e-05
corotation_mass_flow_kg_s,2.129120879120879,4.105206655931294e-05
corotation_mass_flow_kg_s,2.197802197802198,4.1324029343353024e-05
corotation_mass_flow_kg_s,2.2664835164835164,4.159599212739311e-05
corotation_mass_flow_kg_s,2.3351648351648353,4.1867954911433195e-05
