curve,time_s,data_value
surface_1_C,0.0,55.92575187969925
surface_1_C,0.04065040650406504,55.93984962406015
surface_1_C,0.08130081300813008,55.92575187969925
surface_1_C,0.12195121951219512,55.982142857142854
surface_1_C,0.16260162601626016,55.96804511278195
surface_1_C,0.2032520325203252,55.96804511278195
surface_1_C,0.24390243902439024,55.96804511278195
surface_1_C,0.2845528455284553,55.99624060150376
surface_1_C,0.3252032520325203,56.06672932330827
surface_1_C,0.36585365853658536,55.982142857142854
surface_1_C,0.4065040650406504,55.89755639097744
surface_1_C,0.44715447154471544,55.92575187969925
surface_1_C,0.4878048780487805,55.92575187969925
surface_1_C,0.5284552845528455,55.92575187969925
surface_1_C,0.5691056910569106,55.911654135338345
surface_1_C,0.6097560975609756,55.89755639097744
surface_1_C,0.6504065040650406,55.92575187969925
surface_1_C,0.6910569105691057,55.92575187969925
surface_1_C,0.7317073170731707,55.93984962406015
surface_1_C,0.7723577235772358,55.93984962406015
surface_1_C,0.8130081300813008,55.93984962406015
surface_1_C,0.8536585365853658,55.953947368421055
surface_1_C,0.8943089430894309,55.93984962406015
surface_1_C,0.9349593495934959,55.953947368421055
surface_1_C,0.975609756097561,55.93984962406015
surface_1_C,1.016260162601626,55.953947368421055
surface_1_C,1.056910569105691,55.96804511278195
surface_1_C,1.0975609756097562,55.953947368421055
surface_1_C,1.1382113821138211,55.93984962406015
surface_1_C,1.1788617886178863,55.93984962406015
surface_1_C,1.2195121951219512,55.953947368421055
surface_1_C,1.2601626016260163,55.96804511278195
surface_1_C,1.3008130081300813,55.953947368421055
surface_1_C,1.3414634146341464,55.96804511278195
surface_1_C,1.3821138211382114,55.96804511278195
surface_1_C,1.4227642276422765,55.953947368421055
surface_1_C,1.4634146341463414,55.953947368421055
surface_1_C,1.5040650406504066,55.96804511278195
surface_1_C,1.5447154471544715,55.982142857142854
surface_1_C,1.5853658536585367,55.982142857142854
surface_1_C,1.6260162601626016,55.99624060150376
surface_1_C,1.6666666666666667,56.01033834586466
surface_1_C,1.7073170731707317,56.024436090225564
surface_1_C,1.7479674796747968,56.024436090225564
surface_1_C,1.7886178861788617,56.024436090225564
surface_1_C,1.829268292682927,56.01033834586466
surface_1_C,1.8699186991869918,56.01033834586466
surface_1_C,1.910569105691057,56.024436090225564
surface_1_C,1.951219512195122,56.05263157894737
surface_1_C,1.991869918699187,56.06672932330827
surface_1_C,2.032520325203252,56.09492481203007
surface_1_C,2.073170731707317,56.080827067669176
surface_1_C,2.113821138211382,56.09492481203007
surface_1_C,2.154471544715447,56.109022556390975
surface_1_C,2.1951219512195124,56.09492481203007
surface_1_C,2.2357723577235773,56.09492481203007
surface_1_C,2.2764227642276422,56.080827067669176
surface_1_C,2.317073170731707,56.09492481203007
surface_1_C,2.3577235772357725,56.13721804511278
surface_1_C,2.3983739837398375,56.12312030075188
surface_1_C,2.4390243902439024,56.05263157894737
surface_1_C,2.4796747967479673,56.05263157894737
surface_1_C,2.5203252032520327,56.03853383458647
surface_1_C,2.5609756097560976,56.024436090225564
surface_1_C,2.6016260162601625,56.03853383458647
surface_1_C,2.6422764227642275,56.05263157894737
surface_1_C,2.682926829268293,56.03853383458647
surface_1_C,2.7235772357723578,56.03853383458647
surface_1_C,2.7642276422764227,56.03853383458647
surface_1_C,2.8048780487804876,56.05263157894737
surface_1_C,2.845528455284553,56.03853383458647
surface_1_C,2.886178861788618,56.024436090225564
surface_1_C,2.926829268292683,55.982142857142854
surface_1_C,2.967479674796748,55.96804511278195
