velocity_m_s,flow_coordinate_inlet_0_outlet_1,temperature_K,direct_pixel_count,palette_uncertainty_K
4.0,0.0,295.03154805575934,15,1.5
4.0,0.0038910505836575737,326.76889214966985,11,1.5
4.0,0.0077821011673151474,326.76889214966985,380,1.5
4.0,0.011673151750972721,326.76889214966985,580,1.5
4.0,0.015564202334630295,326.5480557593544,596,1.5
4.0,0.01945525291828787,326.5480557593544,604,1.5
4.0,0.023346303501945553,326.5480557593544,602,1.5
4.0,0.027237354085603127,326.5480557593544,602,1.5
4.0,0.0311284046692607,326.76889214966985,604,1.5
4.0,0.035019455252918275,326.76889214966985,602,1.5
4.0,0.03891050583657585,326.76889214966985,601,1.5
4.0,0.04280155642023342,326.76889214966985,598,1.5
4.0,0.046692607003890996,326.8635363169479,603,1.5
4.0,0.05058365758754868,326.8635363169479,605,1.5
4.0,0.054474708171206254,326.8635363169479,602,1.5
4.0,0.05836575875486383,326.8635363169479,604,1.5
4.0,0.0622568093385214,326.8635363169479,606,1.5
4.0,0.06614785992217898,326.8635363169479,604,1.5
4.0,0.07003891050583655,327.11592076302276,603,1.5
4.0,0.07392996108949412,327.11592076302276,601,1.5
4.0,0.0778210116731517,327.11592076302276,603,1.5
4.0,0.08171206225680927,327.11592076302276,602,1.5
4.0,0.08560311284046696,327.11592076302276,604,1.5
4.0,0.08949416342412453,327.11592076302276,605,1.5
4.0,0.0933852140077821,327.2105649303008,600,1.5
4.0,0.09727626459143968,327.3367571533382,600,1.5
4.0,0.10116731517509725,327.3367571533382,602,1.5
4.0,0.10505836575875482,327.43140132061626,601,1.5
4.0,0.1089494163424124,327.5575935436537,603,1.5
4.0,0.11284046692607008,327.5575935436537,603,1.5
4.0,0.11673151750972766,327.5575935436537,601,1.5
4.0,0.12062256809338523,327.77842993396916,604,1.5
4.0,0.1245136186770428,327.77842993396916,605,1.5
4.0,0.12840466926070038,327.77842993396916,604,1.5
4.0,0.13229571984435795,327.77842993396916,604,1.5
4.0,0.13618677042801552,327.77842993396916,602,1.5
4.0,0.1400778210116731,327.77842993396916,610,1.5
4.0,0.14396887159533067,327.87307410124725,609,1.5
4.0,0.14785992217898836,327.87307410124725,610,1.5
4.0,0.15175097276264593,328.12545854732207,611,1.5
4.0,0.1556420233463035,328.12545854732207,614,1.5
4.0,0.15953307392996108,328.12545854732207,612,1.5
4.0,0.16342412451361865,328.12545854732207,611,1.5
4.0,0.16731517509727623,328.22010271460016,612,1.5
4.0,0.1712062256809338,328.34629493763754,617,1.5
4.0,0.17509727626459148,328.34629493763754,614,1.5
4.0,0.17898832684824906,328.34629493763754,617,1.5
4.0,0.18287937743190663,328.34629493763754,615,1.5
4.0,0.1867704280155642,328.34629493763754,615,1.5
4.0,0.19066147859922178,328.56713132795306,616,1.5
4.0,0.19455252918287935,328.56713132795306,616,1.5
4.0,0.19844357976653693,328.56713132795306,615,1.5
4.0,0.2023346303501945,328.78796771826853,620,1.5
4.0,0.20622568093385207,328.78796771826853,620,1.5
4.0,0.21011673151750976,328.88261188554657,622,1.5
4.0,0.21400778210116733,328.88261188554657,623,1.5
4.0,0.2178988326848249,328.88261188554657,627,1.5
4.0,0.22178988326848248,328.88261188554657,627,1.5
4.0,0.22568093385214005,328.88261188554657,624,1.5
4.0,0.22957198443579763,329.13499633162144,627,1.5
4.0,0.2334630350194552,329.22964049889947,632,1.5
4.0,0.23735408560311289,329.22964049889947,630,1.5
4.0,0.24124513618677046,329.22964049889947,628,1.5
4.0,0.24513618677042803,329.22964049889947,632,1.5
4.0,0.2490272373540856,329.3558327219369,635,1.5
4.0,0.2529182879377432,329.3558327219369,636,1.5
4.0,0.25680933852140075,329.3558327219369,633,1.5
4.0,0.2607003891050583,329.3558327219369,633,1.5
4.0,0.2645914396887159,329.3558327219369,636,1.5
4.0,0.2684824902723735,329.3558327219369,635,1.5
4.0,0.27237354085603116,329.3558327219369,634,1.5
4.0,0.27626459143968873,329.3558327219369,636,1.5
4.0,0.2801556420233463,329.3558327219369,640,1.5
4.0,0.2840466926070039,329.3558327219369,645,1.5
4.0,0.28793774319066145,329.3558327219369,644,1.5
4.0,0.29182879377431903,329.67131327953047,647,1.5
4.0,0.2957198443579766,329.79750550256784,652,1.5
4.0,0.2996108949416343,329.79750550256784,651,1.5
4.0,0.30350194552529186,329.79750550256784,658,1.5
4.0,0.30739299610894943,329.79750550256784,660,1.5
4.0,0.311284046692607,329.89214966984594,659,1.5
4.0,0.3151750972762646,329.89214966984594,660,1.5
4.0,0.31906614785992216,330.0183418928833,663,1.5
4.0,0.32295719844357973,330.14453411592075,663,1.5
4.0,0.3268482490272373,330.23917828319884,662,1.5
4.0,0.3307392996108949,330.4600146735143,663,1.5
4.0,0.33463035019455256,330.8070432868672,664,1.5
4.0,0.33852140077821014,331.1540719002201,666,1.5
4.0,0.3424124513618677,331.4695524578136,665,1.5
4.0,0.3463035019455253,331.4695524578136,669,1.5
4.0,0.35019455252918286,331.4695524578136,675,1.5
4.0,0.35408560311284043,331.8165810711665,672,1.5
4.0,0.357976653696498,331.8165810711665,673,1.5
4.0,0.3618677042801557,331.8165810711665,680,1.5
4.0,0.36575875486381326,331.8165810711665,685,1.5
4.0,0.36964980544747084,332.03741746148205,683,1.5
4.0,0.3735408560311284,332.03741746148205,684,1.5
4.0,0.377431906614786,332.03741746148205,685,1.5
4.0,0.38132295719844356,332.03741746148205,684,1.5
4.0,0.38521400778210113,332.2582538517975,692,1.5
4.0,0.3891050583657587,332.479090242113,688,1.5
4.0,0.3929961089494163,332.479090242113,689,1.5
4.0,0.39688715953307396,332.479090242113,692,1.5
4.0,0.40077821011673154,332.479090242113,694,1.5
4.0,0.4046692607003891,332.6052824651504,699,1.5
4.0,0.4085603112840467,332.6052824651504,700,1.5
4.0,0.41245136186770426,332.6052824651504,704,1.5
4.0,0.41634241245136183,332.6052824651504,707,1.5
4.0,0.4202334630350194,332.69992663242846,707,1.5
4.0,0.4241245136186771,332.8261188554659,713,1.5
4.0,0.42801556420233466,332.8261188554659,717,1.5
4.0,0.43190661478599224,332.8261188554659,723,1.5
4.0,0.4357976653696498,332.8261188554659,727,1.5
4.0,0.4396887159533074,332.8261188554659,730,1.5
4.0,0.44357976653696496,332.9207630227439,729,1.5
4.0,0.44747081712062253,332.9207630227439,737,1.5
4.0,0.4513618677042801,333.04695524578136,743,1.5
4.0,0.4552529182879377,333.04695524578136,740,1.5
4.0,0.45914396887159536,333.04695524578136,746,1.5
4.0,0.46303501945525294,333.04695524578136,747,1.5
4.0,0.4669260700389105,333.04695524578136,756,1.5
4.0,0.4708171206225681,333.04695524578136,767,1.5
4.0,0.47470817120622566,333.26779163609683,778,1.5
4.0,0.47859922178988323,333.4886280264123,786,1.5
4.0,0.4824902723735408,333.4886280264123,791,1.5
4.0,0.4863813229571985,333.4886280264123,800,1.5
4.0,0.49027237354085607,333.4886280264123,810,1.5
4.0,0.49416342412451364,333.4886280264123,815,1.5
4.0,0.4980544747081712,333.4886280264123,822,1.5
4.0,0.5019455252918288,333.4886280264123,820,1.5
4.0,0.5058365758754864,333.4886280264123,821,1.5
4.0,0.5097276264591439,333.4886280264123,828,1.5
4.0,0.5136186770428015,333.7094644167278,818,1.5
4.0,0.5175097276264591,334.0564930300807,827,1.5
4.0,0.5214007782101167,334.0564930300807,834,1.5
4.0,0.5252918287937743,334.0564930300807,833,1.5
4.0,0.5291828793774319,334.0564930300807,838,1.5
4.0,0.5330739299610895,334.0564930300807,846,1.5
4.0,0.5369649805447471,334.0564930300807,858,1.5
4.0,0.5408560311284046,334.0564930300807,867,1.5
4.0,0.5447470817120623,334.0564930300807,871,1.5
4.0,0.5486381322957199,334.0564930300807,883,1.5
4.0,0.5525291828793775,334.0564930300807,887,1.5
4.0,0.556420233463035,334.0564930300807,891,1.5
4.0,0.5603112840466926,334.0564930300807,896,1.5
4.0,0.5642023346303502,334.1826852531181,898,1.5
4.0,0.5680933852140078,334.1826852531181,896,1.5
4.0,0.5719844357976653,334.1826852531181,902,1.5
4.0,0.5758754863813229,334.1826852531181,887,1.5
4.0,0.5797665369649805,334.1826852531181,894,1.5
4.0,0.5836575875486381,334.1826852531181,894,1.5
4.0,0.5875486381322957,334.1826852531181,901,1.5
4.0,0.5914396887159533,334.1826852531181,905,1.5
4.0,0.5953307392996109,334.2773294203962,908,1.5
4.0,0.5992217898832685,334.2773294203962,912,1.5
4.0,0.603112840466926,334.2773294203962,918,1.5
4.0,0.6070038910505837,334.2773294203962,920,1.5
4.0,0.6108949416342413,334.2773294203962,924,1.5
4.0,0.6147859922178989,334.2773294203962,934,1.5
4.0,0.6186770428015564,334.2773294203962,933,1.5
4.0,0.622568093385214,334.2773294203962,944,1.5
4.0,0.6264591439688716,334.2773294203962,945,1.5
4.0,0.6303501945525292,334.49816581071167,948,1.5
4.0,0.6342412451361867,334.6243580337491,950,1.5
4.0,0.6381322957198443,334.8451944240646,945,1.5
4.0,0.6420233463035019,334.8451944240646,952,1.5
4.0,0.6459143968871595,334.8451944240646,955,1.5
4.0,0.6498054474708171,334.8451944240646,962,1.5
4.0,0.6536964980544747,334.9398385913426,962,1.5
4.0,0.6575875486381323,334.9398385913426,963,1.5
4.0,0.6614785992217899,335.06603081438004,963,1.5
4.0,0.6653696498054474,335.06603081438004,966,1.5
4.0,0.6692607003891051,335.06603081438004,963,1.5
4.0,0.6731517509727627,335.06603081438004,965,1.5
4.0,0.6770428015564203,335.06603081438004,974,1.5
4.0,0.6809338521400778,335.1922230374175,969,1.5
4.0,0.6848249027237354,335.2868672046955,970,1.5
4.0,0.688715953307393,335.2868672046955,974,1.5
4.0,0.6926070038910506,335.2868672046955,976,1.5
4.0,0.6964980544747081,335.2868672046955,977,1.5
4.0,0.7003891050583657,335.2868672046955,976,1.5
4.0,0.7042801556420233,335.2868672046955,976,1.5
4.0,0.7081712062256809,335.507703595011,976,1.5
4.0,0.7120622568093385,335.507703595011,976,1.5
4.0,0.7159533073929961,335.507703595011,974,1.5
4.0,0.7198443579766537,335.507703595011,977,1.5
4.0,0.7237354085603113,335.507703595011,981,1.5
4.0,0.7276264591439688,335.507703595011,983,1.5
4.0,0.7315175097276265,335.507703595011,974,1.5
4.0,0.7354085603112841,335.507703595011,979,1.5
4.0,0.7392996108949417,335.6338958180484,978,1.5
4.0,0.7431906614785992,335.6338958180484,974,1.5
4.0,0.7470817120622568,335.8547322083639,972,1.5
4.0,0.7509727626459144,335.8547322083639,973,1.5
4.0,0.754863813229572,335.8547322083639,971,1.5
4.0,0.7587548638132295,335.8547322083639,971,1.5
4.0,0.7626459143968871,335.8547322083639,977,1.5
4.0,0.7665369649805447,335.8547322083639,981,1.5
4.0,0.7704280155642023,335.8547322083639,981,1.5
4.0,0.77431906614786,335.8547322083639,986,1.5
4.0,0.7782101167315175,335.96515040352165,980,1.5
4.0,0.7821011673151751,336.0755685986794,978,1.5
4.0,0.7859922178988327,336.0755685986794,972,1.5
4.0,0.7898832684824902,336.0755685986794,974,1.5
4.0,0.7937743190661479,336.0755685986794,962,1.5
4.0,0.7976653696498055,336.0755685986794,963,1.5
4.0,0.8015564202334631,336.0755685986794,960,1.5
4.0,0.8054474708171206,336.0755685986794,964,1.5
4.0,0.8093385214007782,336.0755685986794,959,1.5
4.0,0.8132295719844358,336.0755685986794,952,1.5
4.0,0.8171206225680934,336.2017608217168,952,1.5
4.0,0.8210116731517509,336.2017608217168,964,1.5
4.0,0.8249027237354085,336.2964049889949,959,1.5
4.0,0.8287937743190661,336.51724137931035,964,1.5
4.0,0.8326848249027237,336.51724137931035,962,1.5
4.0,0.8365758754863813,336.51724137931035,963,1.5
4.0,0.8404669260700389,336.51724137931035,960,1.5
4.0,0.8443579766536965,336.51724137931035,963,1.5
4.0,0.8482490272373541,336.51724137931035,963,1.5
4.0,0.8521400778210116,336.51724137931035,966,1.5
4.0,0.8560311284046693,336.51724137931035,960,1.5
4.0,0.8599221789883269,336.51724137931035,966,1.5
4.0,0.8638132295719845,336.51724137931035,967,1.5
4.0,0.867704280155642,336.51724137931035,965,1.5
4.0,0.8715953307392996,336.51724137931035,969,1.5
4.0,0.8754863813229572,336.51724137931035,974,1.5
4.0,0.8793774319066148,336.51724137931035,973,1.5
4.0,0.8832684824902723,336.51724137931035,973,1.5
4.0,0.8871595330739299,336.51724137931035,975,1.5
4.0,0.8910505836575875,336.51724137931035,976,1.5
4.0,0.8949416342412452,336.51724137931035,974,1.5
4.0,0.8988326848249028,336.51724137931035,978,1.5
4.0,0.9027237354085603,336.51724137931035,974,1.5
4.0,0.9066147859922179,336.51724137931035,977,1.5
4.0,0.9105058365758755,336.51724137931035,981,1.5
4.0,0.914396887159533,336.51724137931035,984,1.5
4.0,0.9182879377431906,336.51724137931035,981,1.5
4.0,0.9221789883268483,336.51724137931035,987,1.5
4.0,0.9260700389105059,336.51724137931035,990,1.5
4.0,0.9299610894941635,336.51724137931035,995,1.5
