event_index,switch_time_s,interval_from_previous_s
1,95.04185447520928,
2,105.85962652929813,10.817772054088849
3,115.13200257566001,9.272376046361885
4,125.17707662588538,10.045074050225367
5,135.22215067611074,10.045074050225367
6,145.2672247263361,10.045074050225367
7,155.3122987765615,10.045074050225395
8,165.35737282678687,10.045074050225367
9,175.40244687701224,10.045074050225367
10,185.4475209272376,10.045074050225367
11,195.49259497746297,10.045074050225367
12,205.53766902768834,10.045074050225367
13,215.5827430779137,10.045074050225367
14,225.6278171281391,10.045074050225395
15,234.90019317450097,9.27237604636187
16,245.71796522858983,10.817772054088863
17,254.9903412749517,9.27237604636187
18,265.0354153251771,10.045074050225395
19,275.08048937540246,10.045074050225367
20,285.12556342562783,10.045074050225367
21,295.1706374758532,10.045074050225367
22,305.21571152607856,10.045074050225367
23,315.26078557630393,10.045074050225367
24,325.3058596265293,10.045074050225367
25,335.35093367675466,10.045074050225367
26,345.39600772698003,10.045074050225367
27,354.66838377334193,9.272376046361899
28,364.7134578235673,10.045074050225367
29,374.75853187379266,10.045074050225367
30,385.5763039278815,10.817772054088834
31,395.62137797810686,10.045074050225367
32,405.6664520283323,10.045074050225423
33,414.93882807469413,9.272376046361842
34,424.9839021249195,10.045074050225367
35,435.02897617514486,10.045074050225367
36,445.07405022537023,10.045074050225367
37,455.1191242755956,10.045074050225367
38,465.164198325821,10.045074050225423
39,475.2092723760464,10.045074050225367
40,485.25434642627175,10.045074050225367
41,494.5267224726336,9.272376046361842
42,505.3444945267225,10.817772054088891
43,514.6168705730844,9.272376046361899
44,525.4346426271732,10.817772054088778
45,534.7070186735351,9.272376046361956
46,544.7520927237605,10.045074050225367
47,554.7971667739859,10.045074050225367
48,564.8422408242112,10.045074050225367
49,574.8873148744366,10.045074050225367
50,584.932388924662,10.045074050225367
51,594.9774629748873,10.045074050225367
52,605.0225370251127,10.045074050225367
53,615.067611075338,10.045074050225367
54,625.1126851255634,10.045074050225367
55,634.3850611719253,9.272376046361842
56,645.2028332260141,10.817772054088891
57,654.475209272376,9.272376046361842
58,665.2929813264649,10.817772054088891
59,674.5653573728268,9.272376046361956
60,684.6104314230522,10.045074050225367
61,694.6555054732776,10.045074050225367
62,704.7005795235029,10.045074050225367
63,714.7456535737283,10.045074050225367
64,724.7907276239537,10.045074050225367
65,734.835801674179,10.045074050225367
66,744.8808757244044,10.045074050225367
67,754.9259497746298,10.045074050225367
68,764.9710238248551,10.045074050225367
69,774.243399871217,9.272376046361842
70,784.2884739214423,10.045074050225367
71,794.3335479716677,10.045074050225367
72,804.3786220218931,10.045074050225367
73,814.4236960721184,10.045074050225367
74,824.4687701223438,10.045074050225367
75,834.5138441725692,10.045074050225367
76,844.5589182227945,10.045074050225367
77,854.6039922730199,10.045074050225367
78,864.6490663232453,10.045074050225367
79,874.6941403734706,10.045074050225367
80,884.7392144236961,10.04507405022548
81,894.7842884739215,10.045074050225367
82,904.8293625241469,10.045074050225367
83,914.1017385705087,9.272376046361842
84,924.9195106245976,10.817772054088891
85,934.1918866709594,9.272376046361842
86,945.0096587250483,10.817772054088891
87,954.2820347714102,9.272376046361842
88,964.3271088216355,10.045074050225367
89,974.3721828718609,10.045074050225367
90,983.6445589182227,9.272376046361842
91,994.4623309723116,10.817772054088891
92,1004.507405022537,10.045074050225367
93,1014.5524790727624,10.045074050225367
94,1024.5975531229878,10.04507405022548
95,1034.6426271732132,10.045074050225367
96,1044.6877012234386,10.045074050225367
97,1053.9600772698004,9.272376046361842
98,1064.7778493238893,10.817772054088891
99,1074.8229233741147,10.045074050225367
100,1084.86799742434,10.045074050225367
101,1094.140373470702,9.272376046361842
102,1104.1854475209273,10.045074050225367
103,1114.2305215711526,10.045074050225367
104,1124.275595621378,10.045074050225367
105,1134.3206696716034,10.045074050225367
106,1144.3657437218287,10.045074050225367
107,1154.410817772054,10.045074050225367
108,1164.4558918222795,10.045074050225367
109,1174.5009658725048,10.045074050225367
110,1184.5460399227302,10.045074050225367
111,1193.818415969092,9.272376046361842
