duty_ratio_percent,corotation_mass_flow_kg_s,reversion_mass_flow_kg_s
0.0,3.439613526570051e-05,2.0483091787439588e-05
0.06868131868131869,3.439613526570051e-05,2.0483091787439588e-05
0.13736263736263737,3.439613526570051e-05,2.0096618357487927e-05
0.20604395604395606,3.439613526570051e-05,2.1256038647343017e-05
0.27472527472527475,3.439613526570051e-05,2.0483091787439588e-05
0.3434065934065934,3.478260869565217e-05,2.0869565217391303e-05
0.4120879120879121,3.478260869565217e-05,2.0483091787439588e-05
0.48076923076923084,3.478260869565217e-05,2.0483091787439588e-05
0.5494505494505495,3.439613526570051e-05,2.0483091787439588e-05
0.6181318681318682,3.478260869565217e-05,2.0483091787439588e-05
0.6868131868131868,3.594202898550726e-05,2.0869565217391303e-05
0.7554945054945056,3.671497584541064e-05,2.1256038647343017e-05
0.8241758241758242,3.671497584541064e-05,2.1642512077294678e-05
0.8928571428571429,3.71014492753623e-05,2.1642512077294678e-05
0.9615384615384617,3.748792270531401e-05,2.1642512077294678e-05
1.0302197802197803,3.748792270531401e-05,2.2028985507246393e-05
1.098901098901099,3.787439613526567e-05,2.2415458937198054e-05
1.1675824175824177,3.787439613526567e-05,2.2415458937198054e-05
1.2362637362637363,3.826086956521739e-05,2.2415458937198054e-05
1.304945054945055,3.826086956521739e-05,2.2415458937198054e-05
1.3736263736263736,3.86473429951691e-05,2.2415458937198054e-05
1.4423076923076925,3.9033816425120764e-05,2.280193236714977e-05
1.5109890109890112,3.942028985507248e-05,2.280193236714977e-05
1.5796703296703298,3.942028985507248e-05,2.318840579710143e-05
1.6483516483516485,3.942028985507248e-05,2.3574879227053144e-05
1.7170329670329672,3.942028985507248e-05,2.3574879227053144e-05
1.7857142857142858,3.9692252639112564e-05,2.3574879227053144e-05
1.8543956043956045,3.996421542315265e-05,2.3574879227053144e-05
1.9230769230769234,4.023617820719268e-05,2.3768115942029e-05
1.991758241758242,4.050814099123277e-05,2.3961352657004805e-05
2.0604395604395607,4.078010377527285e-05,2.4154589371980662e-05
2.129120879120879,4.105206655931294e-05,2.434782608695652e-05
2.197802197802198,4.1324029343353024e-05,2.4541062801932377e-05
2.266483516483517,4.159599212739311e-05,2.4734299516908234e-05
2.3351648351648353,4.1867954911433195e-05,2.4927536231884038e-05
2.403846153846154,4.2139917695473226e-05,2.5120772946859895e-05
2.4725274725274726,4.2411880479513366e-05,2.5314009661835753e-05
2.5412087912087915,4.268384326355345e-05,2.550724637681161e-05
2.60989010989011,4.295580604759348e-05,2.550724637681161e-05
2.678571428571429,4.322776883163357e-05,2.550724637681161e-05
2.7472527472527473,4.3499731615673654e-05,2.550724637681161e-05
2.815934065934066,4.377169439971374e-05,2.550724637681161e-05
2.884615384615385,4.404365718375377e-05,2.589371980676327e-05
2.9532967032967035,4.431561996779386e-05,2.589371980676327e-05
3.0219780219780223,4.458758275183394e-05,2.5893719806763274e-05
3.090659340659341,4.4859545535873974e-05,2.6280193236714986e-05
3.1593406593406597,4.5131508319914114e-05,2.6280193236714986e-05
3.228021978021978,4.5403471103954254e-05,2.6280193236714986e-05
3.296703296703297,4.5675433887994285e-05,2.6280193236714986e-05
3.365384615384616,4.594739667203437e-05,2.6473429951690843e-05
3.4340659340659343,4.6219359456074456e-05,2.6666666666666646e-05
3.502747252747253,4.649132224011454e-05,2.6859903381642504e-05
