curve,pixel_x,pixel_y,color_distance,time_s,data_value
surface_1_air_C,563,348,56.859475903318,17.375934738273283,37.313150425733205
surface_1_air_C,564,348,44.598206241955516,17.416723317471106,37.313150425733205
surface_1_air_C,565,348,34.539832078341085,17.457511896668933,37.313150425733205
surface_1_air_C,566,348,34.14674215792775,17.498300475866756,37.313150425733205
surface_1_air_C,567,348,43.289721643826724,17.539089055064583,37.313150425733205
surface_1_air_C,568,348,49.72926703662542,17.579877634262406,37.313150425733205
surface_1_air_C,562,349,49.658836071740545,17.33514615907546,37.28949858088931
surface_1_air_C,563,349,27.2213151776324,17.375934738273283,37.28949858088931
surface_1_air_C,564,349,17.74823934929885,17.416723317471106,37.28949858088931
surface_1_air_C,565,349,10.816653826391969,17.457511896668933,37.28949858088931
surface_1_air_C,566,349,9.273618495495704,17.498300475866756,37.28949858088931
surface_1_air_C,567,349,11.874342087037917,17.539089055064583,37.28949858088931
surface_1_air_C,568,349,15.811388300841896,17.579877634262406,37.28949858088931
surface_1_air_C,569,349,27.2213151776324,17.620666213460233,37.28949858088931
surface_1_air_C,570,349,46.45427859734774,17.661454792658056,37.28949858088931
surface_1_air_C,562,350,27.49545416973504,17.33514615907546,37.26584673604541
surface_1_air_C,563,350,13.490737563232042,17.375934738273283,37.26584673604541
surface_1_air_C,564,350,7.280109889280518,17.416723317471106,37.26584673604541
surface_1_air_C,565,350,9.0,17.457511896668933,37.26584673604541
surface_1_air_C,566,350,10.488088481701515,17.498300475866756,37.26584673604541
surface_1_air_C,567,350,5.477225575051661,17.539089055064583,37.26584673604541
surface_1_air_C,568,350,5.744562646538029,17.579877634262406,37.26584673604541
surface_1_air_C,569,350,14.317821063276353,17.620666213460233,37.26584673604541
surface_1_air_C,570,350,26.019223662515376,17.661454792658056,37.26584673604541
surface_1_air_C,571,350,40.17461885320133,17.70224337185588,37.26584673604541
surface_1_air_C,572,350,57.0350769263968,17.743031951053705,37.26584673604541
surface_1_air_C,561,351,42.649736224272246,17.294357579877634,37.242194891201514
surface_1_air_C,562,351,11.180339887498949,17.33514615907546,37.242194891201514
surface_1_air_C,563,351,11.180339887498949,17.375934738273283,37.242194891201514
surface_1_air_C,564,351,9.899494936611665,17.416723317471106,37.242194891201514
