nodes,Tmax_C,Tout_air_C,energy_residual_W,Tmax_difference_from_80_C
30,52.58937711853268,51.22768167392337,-4.702904732312163e-13,0.022091950270898053
50,52.57554060998919,51.22130795390466,7.238654120556021e-14,0.008255441727406776
80,52.56728516826178,51.21771196913123,-1.4765966227514582e-12,0.0
