velocity_m_s,five_region_rmse_C,Tmax_error_C,mean_temperature_error_C,five_node_energy_residual_W
4.0,32.5947832006936,-36.16667218829494,-32.464995770755024,6.372707916924014e-12
5.0,28.916341094506095,-32.4038686367786,-28.782047937547578,6.5714933494831484e-12
6.0,27.475748041711665,-30.895096451002523,-27.34231616125819,6.459721646479011e-12
8.0,22.722397047089935,-25.791658662976804,-22.60052777485405,6.658673612491839e-12
10.0,18.86206207424934,-21.467816563303163,-18.76329772529532,6.870504165590319e-12
12.0,15.86902086593553,-17.98266778390324,-15.797262694949989,6.5082106370795145e-12
