scenario,single_node_1_rmse_C,single_node_2_rmse_C,single_node_3_rmse_C,single_node_4_rmse_C,single_node_5_rmse_C,single_mean_node_rmse_C,single_hotspot_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,model_bank_node_1_rmse_C,model_bank_node_2_rmse_C,model_bank_node_3_rmse_C,model_bank_node_4_rmse_C,model_bank_node_5_rmse_C,model_bank_mean_node_rmse_C,model_bank_hotspot_rmse_C,model_bank_maximum_absolute_error_C,model_bank_q95_absolute_error_C,model_bank_hotspot_position_accuracy,model_bank_hotspot_improvement_percent
nominal,0.03808107609198504,0.05271761836529978,0.027529557392933036,0.02936392692536569,0.05300627735377237,0.041615136227259916,0.04026055646557789,0.30051681262936114,0.08827388544651883,0.8734388009991674,0.03934747142794206,0.05264262347104233,0.027351718856692103,0.029017459547898278,0.052950987172436945,0.04174543289810677,0.04067437533263774,0.3026639448101278,0.0887221179574425,0.8717735220649458,-1.0278518316398808
capacity_plus_12pct,0.06675149568622996,0.050801959192481976,0.029470689984300687,0.02593744316656188,0.0522431704265548,0.04755464775714529,0.04159097503897789,0.6127277110850784,0.08694235037147707,0.8884263114071607,0.06669670980883464,0.050700497572501425,0.02981990520111872,0.025991747541715727,0.05219107499915098,0.04755564645647476,0.04140480246679237,0.6160173730936336,0.08717788002253286,0.8867610324729392,0.44762733263897714
cooling_minus_15pct,0.19064787951396409,0.05608413782085473,0.19625300989807473,0.20202812008368584,0.05725828272723033,0.15626974154823003,0.0733511373456066,0.5671286532102968,0.3651916682834412,0.5745212323064113,0.05218531108716811,0.05112744727971749,0.024875597097239487,0.027596180173873885,0.053561026624537066,0.043786871600543176,0.03880864926120301,0.5667612831532409,0.08657130907483293,0.8526228143213989,47.09195976287411
conduction_plus_20pct,0.05832647980777083,0.05118137304498513,0.02316973565748007,0.0246891431554612,0.05337372892710212,0.044758589283641154,0.041686548850155894,0.6040482082084324,0.08776060667388777,0.8859283930058285,0.05831945919810489,0.05102695147583524,0.023741629620778998,0.025025626021853445,0.05328923451444373,0.04479865745320492,0.041508664404120134,0.6052950272925273,0.08734009246903725,0.8850957535387177,0.42671905193009246
combined_mismatch,0.19214944429967554,0.06057733706793526,0.1981471012659122,0.20112269162927693,0.056694613273934026,0.15717373362841905,0.07216129013891336,0.47111345597409837,0.361063800877605,0.5945045795170691,0.03580763463561377,0.051897637979018627,0.0311425682322873,0.029716914282979994,0.052221055180147996,0.04136555253041256,0.039959786703271785,0.3909063598086746,0.08398709136165797,0.861781848459617,44.62434550941702
load_input_minus_10pct,0.13358632968324055,0.059816856154022484,0.14445640361279521,0.15178893907463395,0.05551058946717031,0.11697206835097759,0.11717301154642251,0.6573606498192177,0.24376942409587354,0.6586178184845962,0.03867715229364028,0.05670787678549082,0.053566688673083514,0.06464679563286636,0.05343878882606372,0.05406664012356812,0.04708964039066789,0.642201478103182,0.09693476959082972,0.9059117402164862,59.81187154858476
measurement_noise,0.06597174956582508,0.0811764316478346,0.032761801658712994,0.03334236015609738,0.07494699777310591,0.0612274217973568,0.062981125866186,0.4322817648009831,0.1259837277631377,0.8343047460449625,0.067137744412635,0.08081559645902517,0.03421405879813542,0.034622954094753945,0.07479689073118703,0.0616482976059958,0.06372819130124106,0.4293036132072885,0.12606307633732144,0.8301415487094088,-1.186173515923378
