scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,maximum_absolute_error_C,q95_absolute_error_C,hotspot_position_accuracy
capacity_plus_12pct,1,5,0.11062166279625155,0.08349151661388332,0.051512361573599404,0.03237463741874215,0.052311016280159335,0.07161852915753202,0.07441550440882641,0.3076221545052391,0.16593901173347095,0.884263114071607
capacity_plus_12pct,1,4,0.11228029661664335,0.08263347232727689,0.045933473647349767,0.05358391429394089,0.053585227801888895,0.07387510036289188,0.07997585151109196,0.5101994810538315,0.17546255881536027,0.8792672772689425
capacity_plus_12pct,1,3,0.09489589737312351,0.055591621224626485,0.051292755104868734,0.06555592217712386,0.09177900813783899,0.07409125681501076,0.0847810425652179,0.5269759888772043,0.1781499314484337,0.8784346378018318
capacity_plus_12pct,1,2,0.070529940494452,0.05086644716635369,0.04836348808223458,0.08452366006132526,0.11631484922915207,0.07819755519748897,0.08542552446550167,0.6139194358181328,0.19377816440443354,0.8767693588676103
capacity_plus_12pct,1,1,0.055410228704097855,0.03708085753245566,0.05271896280828488,0.08395224425794069,0.11139525505897581,0.07304992080154946,0.08868936972146681,0.34038087386706906,0.167924630403303,0.8800999167360533
capacity_plus_12pct,2,"2,5",0.06675149568622996,0.050801959192481976,0.029470689984300687,0.02593744316656188,0.0522431704265548,0.04755464775714529,0.04159097503897789,0.6127277110850784,0.08694235037147707,0.8884263114071607
capacity_plus_12pct,2,"3,5",0.07241765289669311,0.039742836886110994,0.05108868409896047,0.02925654751697007,0.052188386331744524,0.051016539314832944,0.04840525308281011,0.3930323739969097,0.09934589041756114,0.8967527060782681
capacity_plus_12pct,2,"1,5",0.055360926870132984,0.02998246678267069,0.021400912580985428,0.02613051675792624,0.0522603039237585,0.03958717688806065,0.05083022242444958,0.340960702798931,0.085942528058213,0.8767693588676103
capacity_plus_12pct,2,"2,4",0.06781096738317162,0.05070921491667552,0.02541778479085058,0.05341295743761327,0.052525351397801685,0.05182214221792839,0.053370013997742445,0.6317208706220043,0.09075716897638415,0.8717735220649458
capacity_plus_12pct,2,"3,4",0.06933748102763689,0.039610341914490484,0.05066635087804182,0.053054622635597695,0.04730325627791159,0.05290772270781846,0.053610870180081295,0.5355969509225034,0.09783957592132285,0.8742714404662781
