scenario,time_s,probability_nominal,probability_capacity_plus_12pct,probability_cooling_minus_15pct,probability_conduction_plus_20pct,probability_combined_mismatch,probability_load_input_minus_10pct
nominal,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
nominal,1.0,0.16642480500577522,0.16756385108779476,0.1657886082889252,0.1658908029307435,0.16657654061872015,0.16775539206804124
nominal,2.0,0.16567853014166228,0.16918259162242538,0.16324546111721586,0.16498365609857626,0.16638754578888845,0.17052221523123187
nominal,3.0,0.1629551720139495,0.16891962280672423,0.15489728794356844,0.16847787767628677,0.16648693312626325,0.1782631064332078
nominal,4.0,0.16648768083132892,0.17068354987956894,0.16317265943118336,0.16316017249298095,0.16544560359561197,0.17105033376932588
nominal,5.0,0.16555004435385565,0.17420383509270748,0.16111691248676716,0.15995752473165742,0.16560069224720567,0.17357099108780655
nominal,6.0,0.167303251425849,0.17581353040437617,0.16666836682343206,0.15619104094033492,0.16561634348505416,0.16840746692095362
nominal,7.0,0.1675518863414552,0.1751994617223921,0.16236056816658692,0.15871780228570856,0.16377502067069344,0.17239526081316375
nominal,8.0,0.1690468748978144,0.17607527875589138,0.16913426670068377,0.15528001212816087,0.1648125812247051,0.16565098629274455
nominal,9.0,0.16884157119765345,0.1756191822193171,0.16242310570927962,0.15867019542530783,0.16260143382739026,0.1718445116210518
nominal,10.0,0.16971313747297428,0.17648218615405403,0.17045218099988968,0.1546587013662764,0.16508968295101473,0.16360411105579084
nominal,11.0,0.16981758107354358,0.1774632889988275,0.1685496132985421,0.15464206387800342,0.1643421646085321,0.16518528814255123
nominal,12.0,0.17001614336132453,0.17789813580833058,0.16993120750203508,0.1538198738374084,0.164946076374381,0.1633885631165204
nominal,13.0,0.16987847326019712,0.17933147696522841,0.17088570043854612,0.15206419500561028,0.16568601648911713,0.16215413784130092
nominal,14.0,0.16930179697550757,0.18391221106944508,0.1668590783290086,0.14897962422099417,0.16443962904708587,0.16650766035795875
nominal,15.0,0.16879760661189455,0.18701141748150227,0.1668702848708959,0.14573719082382242,0.16508349330764774,0.16650000690423714
nominal,16.0,0.16971087620028358,0.18492198671746532,0.16501788037087953,0.14925954770818764,0.16368873519041338,0.1674009738127706
nominal,17.0,0.1697465550712066,0.1833814882823538,0.16814708403244435,0.14986913340573416,0.16570927313440087,0.16314646607386024
nominal,18.0,0.1714052999254221,0.1832175835024871,0.16022986788953109,0.1541033678144634,0.16011671022817575,0.17092717063992055
nominal,19.0,0.17206387828095004,0.18290463854043884,0.15816645309623134,0.1557732674290086,0.1586523065330351,0.17243945612033612
nominal,20.0,0.1715670164467716,0.17822810262882044,0.16713840823479476,0.15740332974077578,0.16470620380645185,0.1609569391423856
nominal,21.0,0.1704885088298805,0.1761566363545052,0.17429798117643427,0.15647358616195228,0.1700581664069567,0.15252512107027105
nominal,22.0,0.17567036694874893,0.17778349171634836,0.15413026891377973,0.16528203852171458,0.15349452151148976,0.17363931238791863
nominal,23.0,0.1734369600097319,0.18032618075232196,0.15940192366706726,0.1599743523528072,0.15950601715117355,0.1673545660668981
nominal,24.0,0.17523180452953221,0.1844033406423013,0.14914756709666807,0.16031753661366754,0.15154442221650907,0.17935532890132178
nominal,25.0,0.1720335500200596,0.18199933961172096,0.16285772543892446,0.1570211897315369,0.16397923859585273,0.16210895660190536
nominal,26.0,0.17487800500912976,0.1832298618875172,0.15350918595940832,0.16082092314603164,0.15554617441065338,0.17201584958725968
nominal,27.0,0.17224963350715397,0.1790345209458131,0.16582475530542326,0.16006050868937696,0.1664085411910845,0.1564220403611482
nominal,28.0,0.16825409507255634,0.17640777113704548,0.17900746903408646,0.15588293099369951,0.1787425317836962,0.1417052019789161
nominal,29.0,0.17051112520435285,0.17887341847244395,0.17177757602879803,0.15786663634693412,0.17263147212159716,0.14833977182587393
nominal,30.0,0.16818323053069784,0.17362089390573007,0.18278832981944282,0.15807270505115764,0.18154308607101582,0.1357917546219558
nominal,31.0,0.16167741674919434,0.16995918240132968,0.20027790435139384,0.15072972412505412,0.1982985993669674,0.11905717300606065
nominal,32.0,0.15986091270640668,0.17423411316431853,0.20005256222488718,0.14572820220941504,0.20131406530224005,0.11881014439273246
nominal,33.0,0.16078773882130243,0.1736329993733537,0.19921990527686761,0.14770419848076413,0.20013574478446544,0.11851941326324657
nominal,34.0,0.1688831641102273,0.17643438604228354,0.1813681466188703,0.15797567347382863,0.1817085017643507,0.1336301279904396
nominal,35.0,0.16759854936492682,0.17429587824022436,0.18647535824691353,0.15781239120380736,0.18622025504945305,0.12759756789467502
