scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,T_zone_1_C,T_zone_2_C,T_zone_3_C,T_zone_4_C,T_zone_5_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_zone_zero_based
final_prbs_seed1601,synthetic_final_confirmation,0.0,16.0,28.06,23.0,0.6,23.0,23.0,22.999999999999996,23.000000000000007,22.999999999999993,23.0,23.0,0.0,0
final_prbs_seed1601,synthetic_final_confirmation,20.0,16.0,28.06,23.0,0.6,32.82503064861527,33.49635024486864,34.374890430248605,35.21251948546113,35.77521723791551,37.00702188108914,31.507442327549207,5.499579553539931,4
final_prbs_seed1601,synthetic_final_confirmation,40.0,16.0,28.06,23.0,0.6,32.89399056549123,33.570075365558964,34.45495837875046,35.298603510048466,35.86522258300168,37.106470739685115,31.56791166831198,5.538559071373136,4
final_prbs_seed1601,synthetic_final_confirmation,60.0,16.0,28.06,23.0,0.6,32.96069183014681,33.641385934688046,34.532404332337286,35.38186876722542,35.95228084258573,37.20267825639228,31.626394272320894,5.576283984071388,4
final_prbs_seed1601,synthetic_final_confirmation,80.0,16.0,28.06,23.0,0.6,33.02520842637321,33.71036103603568,34.607314158253544,35.46240755939704,36.036488517915785,37.29575008788986,31.68295539898022,5.612794688909638,4
final_prbs_seed1601,synthetic_final_confirmation,100.0,16.0,28.06,23.0,0.6,33.08761191201565,33.777077160452194,34.67977090881456,35.54030916341267,36.11793894715983,37.385788442082784,31.737658163146975,5.64813027893581,4
final_prbs_seed1601,synthetic_final_confirmation,120.0,16.0,28.06,23.0,0.6,33.147971500955194,33.84160829347616,34.74985491651354,35.615659932779295,36.19672241226237,37.47289219509725,31.79056360717901,5.682328587918242,4
final_prbs_seed1601,synthetic_final_confirmation,140.0,16.0,28.06,23.0,0.6,33.2063541398924,33.90402599739453,34.81764388309264,35.68854339338566,36.27292623901574,37.55715699990335,31.8417307689648,5.715426230938547,4
final_prbs_seed1601,synthetic_final_confirmation,160.0,8.0,30.78,23.0,0.6,33.262824582615615,33.9643994906147,34.883212965697204,35.75904033609185,36.34663489385495,37.63867539139586,31.891216747721046,5.747458643674811,4
final_prbs_seed1601,synthetic_final_confirmation,180.0,8.0,30.78,23.0,0.6,28.08998269594328,28.39129164356684,28.780974188399284,29.1475985364293,29.38906947753707,30.00433645779679,27.41457416558894,2.5897622922078476,4
final_prbs_seed1601,synthetic_final_confirmation,200.0,8.0,30.78,23.0,0.6,28.105676460228118,28.40797327737542,28.79895049767825,29.166789678275336,29.4090462283509,30.026498053192885,27.428304950685927,2.598193102506958,4
