scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,T_zone_1_C,T_zone_2_C,T_zone_3_C,T_zone_4_C,T_zone_5_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_zone_zero_based
calibration_triangular,calibration,0.0,8.0,30.78,23.0,0.6,23.0,23.0,22.999999999999996,23.000000000000007,22.999999999999993,23.0,23.0,0.0,0
calibration_triangular,calibration,20.0,9.500000000000002,30.27,23.0,0.6,27.597567882722625,27.864846163998706,28.209229758439488,28.532889115603254,28.746356637969495,29.293821450837207,26.982939725506718,2.310881725330489,4
calibration_triangular,calibration,40.0,11.0,29.759999999999998,23.0,0.6,28.563535051013982,28.897578482730705,29.3294587329857,29.736597116660505,30.006156168814886,30.675553086646957,27.81968951777212,2.855863568874838,4
calibration_triangular,calibration,60.0,12.5,29.25,23.0,0.6,29.556736182306963,29.962887735956265,30.489666626743457,30.987686808849258,31.31859420918711,32.115556984989226,28.67993536982296,3.4356216151662657,4
calibration_triangular,calibration,80.0,13.999999999999998,28.740000000000002,23.0,0.6,30.576743973959154,31.06050185927241,31.68980662141376,32.286344756646315,32.684029273000014,33.61425302632135,29.563298978295364,4.050954048025986,4
calibration_triangular,calibration,100.0,15.5,28.23,23.0,0.6,31.623129699400845,32.1901473702671,32.92983051101771,33.632756179790526,34.102818563687734,35.17205962176998,30.469400792036467,4.702658829733515,4
calibration_triangular,calibration,120.0,17.0,27.72,23.0,0.6,32.69546325675596,33.35154941656652,34.20968874833931,35.027104997671984,35.57531801701786,36.789393761157115,31.397860054704132,5.391533706452982,4
calibration_triangular,calibration,140.0,18.5,27.21,23.0,0.6,33.79331321491024,34.544431821301146,35.52933048878041,36.46957387114689,37.10188234134845,38.466671057849155,32.34829484532396,6.118376212525192,4
calibration_triangular,calibration,160.0,20.0,26.7,23.0,0.6,34.916246858032125,35.76851712706001,36.88870363278181,37.96034424301198,38.68286505661387,40.20430579220003,33.320322117478,6.883983674722032,4
calibration_triangular,calibration,180.0,21.5,26.189999999999998,23.0,0.6,36.0638302285982,37.023526638383885,38.28775486685785,39.49959637718136,40.31861853207946,42.00271095363166,34.31355773717122,7.68915321646044,4
calibration_triangular,calibration,200.0,23.0,25.68,23.0,0.6,37.23562816897372,38.309180462845774,39.72642970328931,41.08750939660705,42.00949402290353,43.86229828139439,35.327616519420744,8.534681761973644,4
calibration_triangular,calibration,220.0,24.5,25.17,23.0,0.6,38.43120436159683,39.62519755076582,41.20467251851878,42.724261319983455,43.75584170554415,45.78347830404836,36.362112263610896,9.421366040437462,4
calibration_triangular,calibration,240.0,26.0,24.66,23.0,0.6,39.65012136781372,40.971295733606276,42.722426590290866,44.41002909727471,45.55801071204699,47.76666037770576,37.41665778765576,10.350002590050003,4
calibration_triangular,calibration,260.0,27.5,24.15,23.0,0.6,40.89194066540958,42.347191761090144,44.2796341335781,46.14498864410235,47.41634916324928,49.812252723072575,38.49086496100981,11.321387762062763,4
calibration_triangular,calibration,280.0,29.0,23.64,23.0,0.6,42.156222684880134,43.75260133708643,45.876236335332415,47.929314875029746,49.3312042009339,51.92066246132682,39.58434473656523,12.336317724761592,4
calibration_triangular,calibration,300.0,30.5,23.13,23.0,0.6,43.442526844485414,45.187239154302915,47.51217338810065,49.763181735779035,51.302922018966946,54.092295648870454,40.69670718147404,13.395588467396415,4
calibration_triangular,calibration,320.0,32.0,22.619999999999997,23.0,0.6,44.750411584126724,46.65081892782537,49.18738452254029,51.646762234413096,53.33184789344925,56.32755731098823,41.82756150693048,14.499995804057754,4
calibration_triangular,calibration,340.0,33.5,22.11,23.0,0.6,46.07943439808867,48.143053427544885,50.901808038874975,53.58022847152013,55.41832621191736,58.62685147445253,42.976516096951244,15.650335377501285,4
calibration_triangular,calibration,360.0,35.0,21.6,23.0,0.6,47.42915186667687,49.66365450950125,52.655381337314324,55.56375166942141,57.562700501611964,60.9905811990938,44.14317853618074,16.847402662913062,4
calibration_triangular,calibration,380.0,36.5,21.09,23.0,0.6,48.79911968680574,51.21233314619792,54.448040947493425,57.59750220045714,59.7653134568681,63.419148608397194,45.32715563676915,18.091992971628045,4
calibration_triangular,calibration,400.0,38.0,20.58,23.0,0.6,50.188892701542855,52.78879945589094,56.27972255692916,59.68164961434122,62.02650696561395,65.9129549191095,46.52805346432987,19.384901454779623,4
calibration_triangular,calibration,420.0,36.5,21.09,23.0,0.6,51.59802492867989,54.392762730924254,58.15036103856728,61.816362664661476,64.34662213505545,68.47240046994307,47.745477363037416,20.72692310690565,4
calibration_triangular,calibration,440.0,35.0,21.6,23.0,0.6,50.46696795872554,53.088841834173024,56.60958939446721,60.04017103133573,62.40386771770943,66.33064954615338,46.77140243285511,19.55924711329827,4
calibration_triangular,calibration,460.0,33.5,22.11,23.0,0.6,49.33535703433981,51.790726369202005,55.08363078009054,58.28802145900357,60.491936138677076,64.22346670629433,45.79642823032012,18.427038475974214,4
calibration_triangular,calibration,480.0,32.0,22.619999999999997,23.0,0.6,48.20425766004757,50.49940128372168,53.57335075243274,56.56065061142938,58.61146207276762,62.15152841667734,44.82149113123088,17.33003728544646,4
calibration_triangular,calibration,500.0,30.5,23.13,23.0,0.6,47.074716171100725,49.21582977649908,52.07958942307418,54.85876603324563,56.76304860371012,60.11547643254684,43.84751070552058,16.267965727026265,4
calibration_triangular,calibration,520.0,29.0,23.64,23.0,0.6,45.94776034931656,47.940954002997394,50.60316229314568,53.18304711387708,54.947268275098516,58.11591894911919,42.87539025808652,15.240528691032672,4
calibration_triangular,calibration,540.0,27.5,24.15,23.0,0.6,44.82440001848725,46.675695757396966,49.14486106006293,51.53414601862292,53.164664105376374,56.15343171306856,41.90601735181898,14.247414361249575,4
calibration_triangular,calibration,560.0,26.0,24.66,23.0,0.6,43.70562762073258,45.420957132529374,47.70545439779104,49.91268858888402,51.41575056899907,54.22855909709152,40.940264313864375,13.288294783227144,4
calibration_triangular,calibration,580.0,24.5,25.17,23.0,0.6,42.59241877443066,44.1776211584703,46.28568871154243,48.31927521259714,49.70101454494312,52.34181513882403,39.978988725681745,12.362826413142287,4
calibration_triangular,calibration,600.0,23.0,25.68,23.0,0.6,41.48573281429653,42.946552420460236,44.8862888677244,46.75448166584007,48.02091623362688,50.49368454526885,39.02303389739386,11.47065064787499,4
calibration_triangular,calibration,620.0,21.5,26.189999999999998,23.0,0.6,40.38651331418539,41.72859765683106,43.507958899959405,45.218859926575824,46.3758900433092,48.68462366389507,38.073229326941785,10.611394336953282,4
calibration_triangular,calibration,640.0,20.0,26.7,23.0,0.6,39.295688593167874,40.52458633757995,42.15138269195761,43.712938961454974,44.766345446979585,46.915061421513144,37.13039114452372,9.784670276989424,4
calibration_triangular,calibration,660.0,18.5,27.21,23.0,0.6,38.214172205410854,39.33533122421712,40.81722463800264,42.237225486570736,43.1926678107256,45.18540023199867,36.19532254278916,8.990077689209514,4
calibration_triangular,calibration,680.0,17.0,27.72,23.0,0.6,37.14286341438002,38.16162891149207,39.50613028178388,40.792204703030116,41.655219194528485,43.496016873900935,35.26881419324196,8.227202680658976,4
calibration_triangular,calibration,700.0,15.5,28.23,23.0,0.6,36.08264765186401,37.00426035158391,38.2187269342856,39.37834100817609,40.15433912640691,41.84726333893778,34.35164464929284,7.495618689644942,4
calibration_triangular,calibration,720.0,13.999999999999998,28.740000000000002,23.0,0.6,35.03439696230356,35.86399136132207,36.95562427141955,37.9960786832681,38.69034535079783,40.23946765234497,33.444580736386996,6.794886915957974,4
calibration_triangular,calibration,740.0,12.5,29.25,23.0,0.6,33.99897043289471,34.741573112986124,35.71741491206518,36.64584255840103,37.263534552033256,38.67293466601607,32.54837792961981,6.124556736396258,4
calibration_triangular,calibration,760.0,11.0,29.759999999999998,23.0,0.6,32.977214609919365,33.63774260921504,34.50467497716005,35.328038655417465,35.874183053743884,37.14794682533744,31.663780719239686,5.4841661060977565,4
calibration_triangular,calibration,780.0,9.500000000000002,30.27,23.0,0.6,31.969963901742616,32.553223142539565,33.31796463046155,34.04305480954235,34.52254749499196,35.66476491059285,30.79152296442505,4.873241946167802,4
calibration_triangular,calibration,800.0,8.0,30.78,23.0,0.6,30.978040968902143,31.488724740034584,32.15782860158114,32.79126127044543,33.20886548390928,34.22362875378323,29.932328235709903,4.291300518073328,4
