scenario_id,purpose,time_s,current_A,stack_voltage_V,ambient_C,fan_duty,T_zone_1_C,T_zone_2_C,T_zone_3_C,T_zone_4_C,T_zone_5_C,Tmax_C,Tmin_C,DeltaT_C,hotspot_zone_zero_based
calibration_staircase,calibration,0.0,5.0,31.8,23.0,0.6,23.0,23.0,22.999999999999996,23.000000000000007,22.999999999999993,23.0,23.0,0.0,0
calibration_staircase,calibration,20.0,5.0,31.8,23.0,0.6,25.79614342594369,25.948370244057806,26.143114141630193,26.32490581631145,26.443749026706474,26.770326037555712,25.422764854309968,1.3475611832457446,4
calibration_staircase,calibration,40.0,5.0,31.8,23.0,0.6,25.81539812659898,25.96887453246622,26.16526458443648,26.34860679816761,26.468455810711895,26.797620014855426,25.439656204500206,1.3579638103552192,4
calibration_staircase,calibration,60.0,5.0,31.8,23.0,0.6,25.834021350177505,25.988706806862726,26.18668971552934,26.37153231758528,26.492354611403144,26.824025568315207,25.455991845397453,1.3680337229177546,4
calibration_staircase,calibration,80.0,5.0,31.8,23.0,0.6,25.85203381224482,26.00788909590201,26.207413286066284,26.39370774459145,26.51547184818795,26.849571613476556,25.47179005853639,1.3777815549401673,4
calibration_staircase,calibration,100.0,15.0,28.4,23.0,0.6,25.8694555479361,26.02644270530309,26.22745826865944,26.41515761847582,26.537833075919284,26.874286123683458,25.487068523641437,1.387217600042021,4
calibration_staircase,calibration,120.0,15.0,28.4,23.0,0.6,32.22955337722003,32.84797737241295,33.65597522439391,34.42506795290129,34.94055153966081,36.09119714249364,30.993320132666668,5.0978770098269734,4
calibration_staircase,calibration,140.0,15.0,28.4,23.0,0.6,32.290630308936315,32.91326432832376,33.7268638264262,34.501268179472845,35.02021321587772,36.17923454102783,31.04687052728321,5.1323640137446205,4
calibration_staircase,calibration,160.0,15.0,28.4,23.0,0.6,32.349706676601116,32.976413028936314,33.79543104016359,34.5749733595874,35.09726662743042,36.26440269574542,31.09866139142208,5.165741304323337,4
calibration_staircase,calibration,180.0,15.0,28.4,23.0,0.6,32.40684801350339,33.03749351015414,33.86175288733375,34.64626519140339,35.17179717524919,36.34679512694346,31.148750525407785,5.198044601535678,4
calibration_staircase,calibration,200.0,15.0,28.4,23.0,0.6,32.462117704520786,33.096573512149405,33.92590289819037,34.7152226959673,35.24388746198207,36.426502303594376,31.197193830355697,5.229308473238678,4
calibration_staircase,calibration,220.0,15.0,28.4,23.0,0.6,32.515577058138796,33.153718556311354,33.98795219500762,34.781922306916556,35.313617385752785,36.50361174578437,31.244045371596066,5.259566374188303,4
calibration_staircase,calibration,240.0,15.0,28.4,23.0,0.6,32.56728537447473,33.208992017924416,34.04796957093838,34.846437955199484,35.38106422870963,36.578208120844394,31.289357438939863,5.288850681904531,4
calibration_staircase,calibration,260.0,30.0,23.299999999999997,23.0,0.6,32.617300011072906,33.262455196465645,34.10602156628989,34.908841151021164,35.44630274267515,36.65037333634697,31.333180604966987,5.317192731379986,4
calibration_staircase,calibration,280.0,30.0,23.299999999999997,23.0,0.6,43.81790175827871,45.62877151503852,48.04406680606182,50.38544789385904,51.990211543111904,54.846544791493656,41.01572851198009,13.830816279513563,4
calibration_staircase,calibration,300.0,30.0,23.299999999999997,23.0,0.6,43.94679323397811,45.767397376163885,48.1958253037468,50.54977285139674,52.16277657350662,55.03736564985872,41.12863438746548,13.908731262393239,4
calibration_staircase,calibration,320.0,30.0,23.299999999999997,23.0,0.6,44.07147156966728,45.901488099058994,48.34261363339209,50.70871085263464,52.3296809985473,55.221955167125756,41.237838155084305,13.984117012041452,4
calibration_staircase,calibration,340.0,30.0,23.299999999999997,23.0,0.6,44.19207444986755,46.03119203480753,48.48459457970371,50.862438529778956,52.49111055568454,55.400516908549584,41.34346113852389,14.057055770025691,4
calibration_staircase,calibration,360.0,30.0,23.299999999999997,23.0,0.6,44.308735057995264,46.1566526792749,48.6219255921706,51.01112671860507,52.647244882162774,55.57324778113232,41.44562068617259,14.127627094959728,4
calibration_staircase,calibration,380.0,30.0,23.299999999999997,23.0,0.6,44.421582226413,46.278008835142344,48.75475896336635,51.15494065241312,52.79825771930361,55.74033825687195,41.54443030322001,14.19590795365194,4
calibration_staircase,calibration,400.0,30.0,23.299999999999997,23.0,0.6,44.53074057852734,46.39539476537557,48.88324199785946,51.29404014580008,52.94431710608461,55.901972583166476,41.63999977742709,14.261972805739383,4
calibration_staircase,calibration,420.0,30.0,23.299999999999997,23.0,0.6,44.63633066624798,46.50894034167613,49.00751717559089,51.428579772402244,53.08558556635989,56.05832898633422,41.73243530078368,14.32589368555054,4
calibration_staircase,calibration,440.0,40.0,19.9,23.0,0.6,44.738469102959414,46.61877118807938,49.127722309900065,51.55870903680572,53.22222028993136,56.20957986847619,41.82183958718839,14.387740281287797,4
calibration_staircase,calibration,460.0,40.0,19.9,23.0,0.6,53.17695152196276,56.21807984487249,60.31368374059776,64.31583799677037,67.0839577964276,71.49157867603137,49.10556703202269,22.386011644008676,4
