% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 15 2026, 21:06"
% Table,表格 -
% uin (m/s),"intSolid(if(x<L/3,T-273.15[K],0[K]))/intSolid(if(x<L/3,1,0)) (K)","intSolid(if(x>=L/3&&x<2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=L/3&&x<2*L/3,1,0)) (K)","intSolid(if(x>=2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=2*L/3,1,0)) (K)",maxSolid(T)-273.15[K] (K),minSolid(T)-273.15[K] (K),maxSolid(T)-minSolid(T) (K),"maxSolid(T,x)/L (1)",最大值 (m),最大值 (m),aveIn(T)-273.15[K] (K),aveOut(T)-273.15[K] (K),rhoAir*uin*AinCell*CpAir*(aveOut(T)-Tin) (W),积分 4 (W),积分 4 (W),0[W] (W),积分 3 (W),abs((intHeat(qflux))-(rhoAir*uin*AinCell*CpAir*(aveOut(T)-Tin))-(intExt(hExternal*(T-Tamb)))-(intExt(emissivity*sigmaSB*(T^4-Tamb^4))))/abs(intHeat(qflux)) (1),rhoAir*uin*AinCell (kg/s),nCells*(rhoAir*uin*AinCell) (kg/s),abs(nCells*(rhoAir*uin*AinCell)-rhoAir*uin*AinStack)/(rhoAir*uin*AinStack) (1)
4,54.30985111875642,62.21320622388525,65.7347485634389,66.74460217451531,47.93783142984961,18.806770744665698,0.8666666666666665,0.049525000000000055,0.011,29.675778235885332,63.130649897275134,18.012328199931005,33.783383823877834,8.114138466759302,0,59.90984999999673,8.188493395481247E-9,4.691008E-4,0.018764032,0
5,52.39978920263295,60.03554266878213,63.59959319092824,64.61554556720637,46.018163749207986,18.597381817998382,0.8666666666666665,0.049525000000000055,0.011,29.1184415471962,59.7113125985706,20.49635780075353,31.841710898377965,7.571781558624741,0,59.90984999999673,4.302456180533448E-9,5.86376E-4,0.023455040000000003,0
6,50.89466613888791,58.309038980178855,61.83150230170058,62.84210793666881,44.472635324056284,18.369472612612526,0.8666666666666665,0.049525000000000055,0.011,28.672546829446105,56.73685553683623,22.487998218100508,30.279497979553522,7.142353950489817,0,59.90984999999673,2.4728340316019386E-9,7.036512E-4,0.028146048,0
8,48.59582753693133,55.72308945677753,59.110970387598414,60.101661985728526,42.04371735255859,18.05794463316994,0.8666666666666665,0.049525000000000055,0.011,28.089158948109457,52.00140844768515,25.510093960126827,27.899324594981394,6.500431456054011,0,59.90984999999673,1.863717878316913E-10,9.382016E-4,0.037528064,0
10,46.868031520274236,53.849321134812925,57.117276724171475,58.08979413750552,40.171922321606075,17.917871815899446,0.9,0.049525000000000055,0.011,27.682031700150276,48.464924738794025,27.71116717919106,26.145395651733402,6.037092953003651,0,59.90984999999673,2.703097415303221E-4,0.001172752,0.04691008000000001,0
12,45.477009450797226,52.40572941127926,55.60286828246998,56.56945670624589,38.647259572127325,17.922197134118562,0.9,0.049525000000000055,0.011,27.367762632388917,45.76925011939943,29.433215848005723,24.781117751405368,5.682531484422185,0,59.90984999999673,2.1674092262715704E-4,0.0014073024,0.056292096,0
