% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 15 2026, 21:06"
% Table,表格 -
% uin (m/s),"intSolid(if(x<L/3,T-273.15[K],0[K]))/intSolid(if(x<L/3,1,0)) (K)","intSolid(if(x>=L/3&&x<2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=L/3&&x<2*L/3,1,0)) (K)","intSolid(if(x>=2*L/3,T-273.15[K],0[K]))/intSolid(if(x>=2*L/3,1,0)) (K)",maxSolid(T)-273.15[K] (K),minSolid(T)-273.15[K] (K),maxSolid(T)-minSolid(T) (K),"maxSolid(T,x)/L (1)",最大值 (m),最大值 (m),aveIn(T)-273.15[K] (K),aveOut(T)-273.15[K] (K),rhoAir*uin*AinCell*CpAir*(aveOut(T)-Tin) (W),积分 4 (W),积分 4 (W),0[W] (W),积分 3 (W),abs((intHeat(qflux))-(rhoAir*uin*AinCell*CpAir*(aveOut(T)-Tin))-(intExt(hExternal*(T-Tamb)))-(intExt(emissivity*sigmaSB*(T^4-Tamb^4))))/abs(intHeat(qflux)) (1),rhoAir*uin*AinCell (kg/s),nCells*(rhoAir*uin*AinCell) (kg/s),abs(nCells*(rhoAir*uin*AinCell)-rhoAir*uin*AinStack)/(rhoAir*uin*AinStack) (1)
4,54.38671903638496,62.227480351757166,65.71458073518836,66.71447927679077,48.2165059160879,18.497973360702872,0.8500000000000003,0.04952500000000003,0.011,27.651813494669398,63.05779419844839,17.97791229666059,33.810803575699396,8.121134621812276,0,59.909850000000546,8.24858878599233E-9,4.691008E-4,0.018764032,0
5,52.51780745302256,60.071426743117875,63.58632307826775,64.58707204681713,46.41446903394649,18.17260301287064,0.866666666666667,0.04952500000000004,0.011,27.367963241053815,59.602863583231,20.432320757636024,31.892623567399312,7.584905942541562,0,59.909850000000546,4.466316451029708E-9,5.86376E-4,0.023455040000000003,0
6,51.06133804231124,58.37207906817431,61.83153671162537,62.82559250835277,44.98908333845998,17.836509169892793,0.866666666666667,0.04952500000000004,0.011,27.135189098812816,56.59391879739712,22.38671656661248,30.36002153319602,7.163112058005856,0,59.909850000000546,2.6341879752208867E-9,7.036512E-4,0.028146048,0
8,48.8826442061966,55.854837460763065,59.15297804545105,60.12614052883907,42.81680975938065,17.309330769458427,0.8833333333333336,0.049525000000000034,0.011,26.80665343504097,51.79364999685424,25.313810213966864,28.055636989368534,6.540402866079303,0,59.909850000000546,1.158643376200963E-9,9.382016E-4,0.037528064,0
10,47.2667809554638,54.03983160273801,57.20350815654388,58.15920454371849,41.17573051628182,16.98347402743667,0.8833333333333336,0.049525000000000034,0.011,26.580991501302208,48.22359404958581,27.426164983421742,26.372496320484277,6.094491890553484,0,59.909850000000546,2.786988373538276E-4,0.001172752,0.04691008000000001,0
12,45.99208757381401,52.64426334359404,55.72448982681142,56.66754480767338,39.86620886855002,16.801335939123362,0.8833333333333336,0.049525000000000034,0.011,26.413769900176476,45.51042651113477,29.06642306132259,25.074185315722893,5.755733746808904,0,59.909850000000546,2.2547003783452213E-4,0.0014073024,0.056292096,0
