time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
0.0,53.40167753960857,52.95433364398882,54.10997204100652,53.15936626281454,52.78657968313141,53.83038210624417,55.00465983224604
1.0,53.40167753960857,52.95433364398882,54.10997204100652,53.163435849642745,52.7825100963032,53.83038210624417,55.00059024541783
2.0,53.40167753960857,52.95433364398882,54.10997204100652,53.178005591798694,52.77607952780367,53.83852127990059,54.9941596769183
3.0,53.40167753960857,52.95433364398882,54.08555452003728,53.19021435228332,52.77437092264678,53.836812674743705,55.00465983224604
4.0,53.40167753960857,52.97061199130165,54.05641503572538,53.212923268095686,52.751662006834415,53.84666045355701,55.00465983224604
5.0,53.40167753960857,52.9712643678161,53.72025473749611,53.25598011804909,52.76794035414725,53.833799316557936,55.00465983224604
6.0,53.40745573159366,52.960111835973905,53.77185461323392,53.28984156570363,52.76216216216216,53.873438956197575,55.00465983224604
7.0,53.42031686859273,52.972972972972975,53.90810810810811,53.28984156570363,52.74930102516309,53.87645231438335,55.00465983224604
8.0,53.48990369680025,52.98689033861448,54.04436160298229,53.28984156570363,52.74930102516309,53.88157812985399,55.00465983224604
9.0,53.60344827586207,52.95563839701771,54.10866728797763,53.34380242311277,52.74930102516309,53.90428704566636,55.00465983224604
10.0,53.61354457906182,52.86155120637879,54.154085119602364,53.35942839391115,52.74930102516309,53.91177384280833,55.00465983224604
11.0,53.6215284249767,52.74043698871285,54.192016154085124,53.435290462876665,52.756787822305064,53.957191674433055,55.00465983224604
12.0,53.58807082945014,52.6193227710469,54.23205964585275,53.45759552656104,52.77949673811743,53.99105312208761,55.00465983224604
13.0,53.60369680024852,52.59717303510406,54.28883193538366,53.44196955576266,52.80220565392979,53.9825100963032,55.00465983224604
14.0,53.627197887542714,53.00111835973905,54.34560422491457,53.477291084187634,52.806275240758,54.05511028269649,55.00465983224604
15.0,53.666938490214356,53.13886300093196,54.415191053122086,53.50512581547064,52.834109972041006,54.077819198508855,55.00465983224604
16.0,53.70667909288599,53.112395153774465,54.4919540229885,53.54134824479652,52.87033240136689,54.100528114321214,55.01385523454489
17.0,53.74641969555763,53.00144454799627,54.50139794967381,53.56405716060888,52.89304131717925,54.13650201926064,55.0232991612302
18.0,53.77315936626282,52.763000931966445,54.36272134203168,53.604100652376516,52.91575023299161,54.14725069897484,55.04063373718546
19.0,53.79586828207518,52.722367194780986,54.181050015532776,53.67850264057161,52.93845914880398,54.259086672879775,55.02053432743088
20.0,53.79944082013048,52.681578129853996,54.054054054054056,53.676296986641816,52.968002485243865,54.293258776017396,55.00465983224604
21.0,53.758564771668226,52.70428704566636,54.06495806150979,53.69990680335508,53.04613233923579,54.34137931034483,55.00465983224604
22.0,53.71768872320597,53.25107176141659,54.08766697732215,53.714880397639014,53.09978254116185,54.34861758310034,55.00465983224604
23.0,53.67681267474371,53.40208139173656,54.11244002623313,53.77527182354769,53.104255980118054,54.390369680024854,55.00465983224604
24.0,53.64398881640261,53.42926374650512,54.251216733975355,53.81174277726002,53.14967381174277,54.426840633737186,55.000186393289844
25.0,53.66107486797142,53.46613855234545,54.38999344171758,53.83737185461324,53.195091643367505,54.47809878844362,54.986020503261884
26.0,53.933519726623175,53.4762348555452,54.5287701494598,53.892885989437715,53.21528424976701,54.55128922025474,54.98639146245637
27.0,54.137465051258154,53.092544268406336,54.667546857202026,53.921621621621625,53.29869524697111,54.590680335507926,54.98705937174497
28.0,54.09397328362845,53.06828207517863,54.80632356494426,53.96085740913327,53.33345759552656,54.62379621000311,54.987727281033564
29.0,54.122359428393914,53.29499844672259,54.94510027268648,53.973221497359425,53.389220254737495,54.70024852438645,54.988395190322166
30.0,54.15074557315937,53.75955265610438,55.083876980428705,54.01863932898416,53.43243243243243,54.75955265610438,54.98906309961077
31.0,54.179131717924825,53.82174588381485,55.13513513513514,54.02109350730041,53.486237962100034,54.861230195712956,54.98973100889937
32.0,54.20292016154085,53.83038210624417,54.87766387076732,54.07194780987885,53.45809257533396,54.91096613855234,54.990398918187964
33.0,54.22753960857409,53.87148182665424,54.613233923578754,54.076514445479965,53.52497670083877,54.897110904007455,54.991066827476565
34.0,54.26160298229264,53.902081391736566,54.629015222118674,54.107114010562285,53.59310344827586,54.986020503261884,54.99173473676516
35.0,54.31360671015844,53.94749922336129,54.6744330537434,54.14057160608885,53.68515066790929,55.08170239204722,54.99240264605376
36.0,54.333643988816405,53.992917054986016,55.37707362534949,54.163280521901214,53.718546132339235,55.13513513513514,54.99307055534236
37.0,54.3546559490525,54.0354147250699,55.56529978254117,54.18452935694315,53.77738428083256,55.15523454488972,54.993738464630965
38.0,54.39155793724759,53.8861136999068,55.54653619136378,54.20111835973905,53.833861447654556,55.20006213109661,54.99440637391956
39.0,54.42845992544268,53.532152842497666,55.39892823858341,54.250046598322456,53.895899347623484,55.26561043802423,54.995074283208154
40.0,54.46536191363777,53.54582168375271,55.25132028580305,54.27275551413482,53.95961478720099,55.34762348555452,54.995742192496756
41.0,54.50226390183287,53.67496116806462,55.10371233302268,54.3309412861137,54.01497359428394,55.395184840012426,54.99641010178535
42.0,54.53916589002796,53.83392357875117,55.119664492078286,54.33998136067102,54.02945013979497,55.492451071761415,54.99707801107395
