time_s,experiment_middle_C,experiment_T1_C,experiment_T2_C,paper_simulation_middle_C,paper_simulation_T1_C,paper_simulation_T2_C,reference_C
0.0,55.42497831743278,56.448395490026016,54.45359930615785,55.21682567215959,56.344319167389415,54.332176929748485,55.008673026886385
1.0,55.41968777103209,56.448395490026016,54.45359930615785,55.2153512575889,56.33902862098872,54.314830875975716,55.02072853425846
2.0,55.41821335646141,56.448395490026016,54.45359930615785,55.23035559410234,56.32697311361665,54.34657415437988,55.01925411968777
3.0,55.42497831743278,56.448395490026016,54.45359930615785,55.23269731136166,56.32697311361665,54.366869037294016,55.01014744145707
4.0,55.42497831743278,56.448395490026016,54.45359930615785,55.24770164787511,56.32697311361665,54.3398091934085,55.00485689505638
5.0,55.43408499566348,56.448395490026016,54.45359930615785,55.24327840416305,56.32697311361665,54.348655680832614,55.000433651344316
6.0,55.427927146574156,56.448395490026016,54.45359930615785,55.23712055507372,56.32697311361665,54.332176929748485,55.008673026886385
7.0,55.414657415437986,56.448395490026016,54.45359930615785,55.25151777970512,56.32697311361665,54.32983521248916,55.02367736339983
8.0,55.44440589765828,56.448395490026016,54.45359930615785,55.25151777970512,56.32697311361665,54.32246313963574,55.008673026886385
9.0,55.450823937554205,56.448395490026016,54.45359930615785,55.2385949696444,56.32697311361665,54.332176929748485,55.008673026886385
10.0,55.44319167389419,56.448395490026016,54.45359930615785,55.23417172593235,56.32697311361665,54.332176929748485,55.008673026886385
11.0,55.44735472679965,56.448395490026016,54.45359930615785,55.23417172593235,56.32697311361665,54.33833477883782,55.008673026886385
12.0,55.42497831743278,56.448395490026016,54.45359930615785,55.23417172593235,56.32697311361665,54.338074588031226,55.008673026886385
13.0,55.42497831743278,56.448395490026016,54.45359930615785,55.23417172593235,56.32697311361665,54.332176929748485,55.008673026886385
14.0,55.437640936686904,56.448395490026016,54.45359930615785,55.238855160450996,56.344319167389415,54.314830875975716,55.008673026886385
15.0,55.42497831743278,56.448395490026016,54.45359930615785,55.25151777970512,56.344319167389415,54.314830875975716,55.008673026886385
16.0,55.42497831743278,56.448395490026016,54.45359930615785,55.23625325238508,56.344319167389415,54.33009540329575,54.99340849956635
17.0,55.50589765828274,56.451604509973976,54.45359930615785,55.23417172593235,56.341110147441455,54.34631396357329,54.994535993061575
